line	pos	sign	conf	value	grade
PS7	17	82		e	C
PS8	1	26		s	C
PS8	2	32		t	C
PS8	3	22		r	C
PS8	4	6		o	C
PS8	5	26		s	C
PS8	6	28		s	C
PS8	7	102		i	C
PS8	8	127		NULL	C
PS8	9	291		?	U
PS9	1	38		u	C
PS9	2	87		f	C
PS9	3	148		?	U
PS9	4	79		d	C
PS9	5	82		e	C
PS9	6	115		l	C
PS9	7	136		uingt	M
PS9	8	41		v	I
PS9	9	61		a	C
PS9	10	29		s	C
PS9	11	28		s	C
PS9	12	83		e	C
PS9	13	23		r	C
PS11	1	95		g	I
PS11	2	36		u	C
PS11	3	31		t	C
PS11	4	34		t	C
PS11	5	85		e	C
PS11	6	21		r	C
PS12	1	122		NULL	C
PS12	2	137		NULL	C
PS12	3	144		NULL	C
PS12	4	339		harquebouziers	C
PS12	5	80		d	C
PS12	6	82		e	C
PS12	7	130		NULL	C
PS12	8	202		franckreich	H
PS13	1	61		a	C
PS13	2	96		h	C
PS13	3	3		n	C
PS13	4	136		uingt	M
PS13	5	79		d	C
PS13	6	83		e	C
PS13	7	22		r	C
PS13	8	129		NULL	C
PS13	9	100		h	I
PS13	10	65		a	C
PS13	11	9		o	C
PS13	12	31		t	C
PS14	1	94		g	C
PS14	2	24		r	C
PS14	4	35		t	C
PS14	5	60		z	I
PS14	6	82		e	C
PS14	7	5		n	C
PS14	8	197		?	U
PS14	9	37		u	C
PS14	10	10		o	C
PS14	11	9		o	C
PS14	12	134		NULL	C
PS14	13	271		?	U
PS15	1	336		fussvolck	H
PS16	1	336		fussvolck	H
PS16	2	136		uingt	M
PS16	3	80		d	C
PS16	4	81		e	C
PS16	5	28		s	C
PS16	6	128		NULL	M
PS16	7	157		?	U
PS17	1	137		NULL	C
PS17	2	91		g	C
PS17	3	81		e	C
PS17	4	76		d	C
PS17	5	61		a	C
PS17	6	1		n	C
PS17	7	71		c	C
PS17	8	110		k	I
PS17	9	31		t	C
PS18	1	59		z	I
PS18	2	39		u	C
PS18	3	79		d	C
PS18	4	9		o	C
PS18	5	25		r	C
PS18	6	136		uingt	M
PS18	7	92		g	C
PS18	8	127		NULL	C
PS18	9	102		i	C
PS18	10	2		n	C
PS18	11	8		o	C
PS19	1	112		l	C
PS19	2	102		i	C
PS19	3	92		g	C
PS19	4	82		e	C
PS19	5	2		n	C
PS19	6	122		NULL	C
PS19	7	132		NULL	C
PS20	1	56		z	C
PS20	2	36		u	C
PS20	3	336		fussvolck	H
PS21	1	105		i	C
PS21	2	5		n	C
PS21	3	195		?	U
PS21	4	221		hollande	H
PS21	5	191		?	U
PS21	6	57		z	C
PS21	7	104		i	C
PS21	8	99		h	I
PS21	9	81		e	C
PS22	1	39		u	C
PS22	2	9		o	C
PS22	3	113		l	C
PS22	4	73		c	C
PS22	5	109		k	I
PS22	6	129		NULL	C
PS23	1	138		NULL	C
PS23	2	127		NULL	C
PS23	3	78		d	C
PS23	4	82		e	C
PS23	5	128		NULL	M
PS23	6	114		l	C
PS23	7	36		u	C
PS23	8	119		m	C
PS23	9	66		b	C
PS23	10	21		r	C
PS23	11	81		e	C
PS23	12	26		s	C
PS23	13	129		NULL	C
PS23	14	137		NULL	C
PS24	1	67		b	I
PS24	2	84		e	C
PS24	3	51		y	I
PS24	4	142		?	U
PS24	5	153		pfaltzgraf	H
PS24	6	143		NULL	C
PS25	1	57		z	C
PS25	2	39		u	C
PS25	3	113		l	C
PS25	4	83		e	C
PS25	5	93		g	C
PS25	6	83		e	C
PS25	7	21		r	C
PS26	1	135		NULL	C
PS26	2	129		NULL	C
PS26	3	148		?	U
