code	meaning	class	crop	pass_agreement
335	soit	word	crop_335_346_v2.jpg	agree -- ANCHOR (fr3625 335 = le Roy, C) MISMATCH
336	suffisant ou suffisance	word	crop_335_346_v2.jpg	agree
337	scavoir	word	crop_335_346_v2.jpg	pass A "sinuir/sivuir" (uncertain), pass B "scavoir" -- reconciled to pass B, not an anchor
338	trouble	word	f198_hi.jpg	pass A only
339	frouver/trouver	word	f198_hi.jpg	pass A only
345	escrit	word	crop_346_v2.jpg	agree
346	volonte ou vouloir	word	crop_346_v2.jpg	agree -- ANCHOR (fr3625 346 = volonte, C) MATCH
347	vous	word	crop_346_v2.jpg	pass A "vour" (uncertain), pass B "vous" -- reconciled to pass B, not an anchor
348	soir	word	f198_hi.jpg	pass A only (pass B: illegible in its crop)
353	espagne ou espagnol	word	f198_hi.jpg	pass A only
