institution	image_portal	holding_catalogue	item_record_pattern	request_page	notes	source
PARES	dead host, 24 Sept 2026: origin server's own TLS cert chain incomplete, and the Wayback CDX index for this host also failed the same way once	none reachable	not recorded	not recorded	grep the aaymeloglu/unsolved-ciphers repo's cached PARES sweep (`catalogue/pares-*.jsonl`) instead of trying the live site	CLAUDE.md Access playbook host table ("PARES" row)
ANTT / DigitArq (Portugal)	digitarq.arquivos.pt -- `tools/digitarq_fetch.py` uses `/api/rdigital/{docId}?fromIndex=&max=` for the page list and `/api/rdigital/dissemination?fileId=` for full-size images (the search/advancedSearch endpoints ignore their own query/pagination params)	digitarq.arquivos.pt item detail page itself (same host as the image portal; no separate holding catalogue found)	the item detail page's `docId`, read via the same API	not recorded	reliable, HTTP 200, no blocks logged	CLAUDE.md Access playbook host table ("DigitArq / ANTT" row); tools/digitarq_fetch.py docstring
BNP / purl.pt (Portugal)	bndigital.bnportugal.gov.pt/records?... (NOT digital.bnportugal.gov.pt, a proxy CONNECT failure)	same host as the image portal (catalogue search respects quoted phrases)	not recorded	not recorded	5 queries/session logged, no issues	CLAUDE.md Access playbook host table ("BNP / purl.pt" row)
Huntington Library	Huntington CONTENTdm (`dmGetItemInfo/ALIAS/POINTER/json` gives the full catalogue note; the search endpoint truncates `descri` to empty for many records)	same CONTENTdm instance is both image portal and catalogue -- the documented `CISOSEARCHALL^TERM^all^and` clause (naive `dmQuery` form silently ignores the search term)	`dmGetItemInfo` per POINTER, found via the CISOSEARCHALL clause with suppressfulltextsearch=1 to search page-level OCR/notes text	not recorded (ASKS row 58 names a Clements Library order for a different item, not Huntington)	the Stowe Papers collection (p16003coll20) genuinely has no cipher hits this way; the Manuscripts collection (p15150coll7) does	CLAUDE.md Access playbook host table ("Huntington CONTENTdm" paragraph)
LoC (Library of Congress)	tile.loc.gov (IIIF image tiles, reliable, 200)	www.loc.gov/search/?fo=json (JSON search/item API, reliable, 200); crowd.loc.gov (By the People transcriptions) 403s to curl with both descriptive and browser UA	the item's own `?fo=json` record	not recorded	not recorded beyond the host table entry	CLAUDE.md Access playbook host table ("Library of Congress" row); QUEUE.md ("Library of Congress digitised manuscripts", LANE N)
NARA (US National Archives)	public IIIF Image API v3 (`catalog.archives.gov`'s image identifiers, no key needed) -- render the item's search page with tools/browser_fetch.js to get the NAID and image identifiers, then fetch each frame at its own native size (a size wider than native returns app HTML at HTTP 200, so check the content-type)	catalog.archives.gov catalog search JSON, API v2 -- requires an `x-api-key` requested by email per NARA's own GitHub README; not set in this environment, so the plain search UI returns huge unfiltered noise-dominated result counts	worked example: NAID 188671566 (RG 59 M34 roll 14, frames 0029-0032)	NARA API key: request by email per usnationalarchives/Catalog-API's GitHub README (not yet requested)	the image API itself needs no key even though the search/catalogue API does	CLAUDE.md Access playbook host table ("NARA" row); ciphers/armstrong-madison-1808/NOTES.md (ARM-IMG)
Beinecke (Yale)	collections.library.yale.edu IIIF fetch works via the browser tool once the item ID is known	same host's catalogue search is bot-challenged to plain curl; `dataverse.yale.edu` hosts some material openly (CC0, no login) as a separate route	not recorded (item ID must be found by some other means first, e.g. a citation or a web search)	not recorded	confirmed on two targets	CLAUDE.md Access playbook host table ("Beinecke" row)
Folger Shakespeare Library	luna.folger.edu (LUNA image repository)	catalog.folger.edu	not recorded	email Folger reference for a digital image or LUNA link (no online request form found)	both catalogue and image portal return a "Human Verification" bot-check page (403/202-challenge/503) across every attempt, 24 Sept 2026 -- no route works from the cloud	CLAUDE.md Access playbook host table ("Folger" row)
William L. Clements Library (Univ. of Michigan)	not recorded (no digitised-image route found; the library's model is request-and-copy, not a public image portal)	clements.umich.edu / findingaids.lib.umich.edu -- both 403 to curl; the Wayback CDX fallback also failed with a connection reset	not recorded (the finding-aid page itself could not be read to confirm the exact call-slip format, e.g. "vol. 64:14")	register with the Clements Library and place the request through the researcher account ("New Request"), or email the library first to confirm the item may be copied and get a cost estimate, per clements.umich.edu/research/duplication-and-use (found by web search, not read directly)	ASKS row 58: Clinton Papers vol. 64:14/64:15 (d'Estaing to Gérard / to Holker, 30 April 1779) requested this way	ASKS.md row 58; ciphers/destaing-gerard-1779/REQUEST.md; CATALOG.md (Clements Library, Clinton Papers 64:14 row)
HStAM Marburg (Hessisches Staatsarchiv) / Arcinsys	HCPortal (crypto.hcportal.eu / api.hcportal.eu) mirrors some HStAM cryptogram images and metadata as third-party digitisations, not HStAM's own portal	Arcinsys (the Hessian state archives' own finding-aid system) -- reachability and item-record pattern not recorded beyond being named in other targets' NOTES.md	not recorded	not recorded	HCPortal's own structured sender/recipient/date fields can be wrong or mis-year-tagged (record 506 tagged 1636-02-23 but its own description says "the year 1637") -- treat HCPortal metadata as a lead, not a source of record	CLAUDE.md host table ("HCPortal" row is not in the host table itself; see ciphers/malsburg-hessen-1636/NOTES.md, ciphers/ra-vellingk-1713/NOTES.md, ciphers/lodewijk-van-nassau-1573-74/second-opinions/chatgpt-2026-09-24.md for Arcinsys mentions)
HStAD Dresden (Sächsisches Staatsarchiv)	not recorded	not recorded	not recorded	not recorded	no route, catalogue or image portal for this institution found anywhere in the repository as of this pass (a real search of ASKS.md, NEAR.md, hub-seed/ASSIGNMENTS.md, OUTBOX.md, ciphers/, tools/, LESSONS.md turned up nothing under "HStAD" or "Dresden" as a holding institution)	not recorded
HCPortal (crypto.hcportal.eu / api.hcportal.eu)	api.hcportal.eu/api/cryptograms/<id> (JSON metadata + a key/cryptogram image per id; browser UA and header `Origin: https://crypto.hcportal.eu` required)	same API is both image portal and the record of record for the items it hosts (a third-party cryptogram catalogue aggregating scans from several German archives, not a national library catalogue in its own right)	`api.hcportal.eu/api/cryptograms/<id>`, one id per record; `solution.name` field gives "Not solved"/solved status directly	not recorded (images already served free; no copy-order route needed for items it already hosts)	confirmed live, HTTP 200; Bourdeau's own harvest cache (`catalogue_harvest/hcportal/index.json`) mirrors the same ids	ciphers/malsburg-hessen-1636/NOTES.md (HCPortal API usage, ids 496-509, 519-523)
AGR Brussels (Archives générales du Royaume / Rijksarchief)	not recorded	not recorded	not recorded	not recorded	named only as a correspondent institution in ciphers/malsburg-hessen-1636/NOTES.md and NEAR.md; no route, catalogue URL or image portal for it independently confirmed anywhere in the repository as of this pass	not recorded
Adirondack History Center Museum (Elizabethtown, NY)	none -- the manuscript (Debosnys cryptograms) is not digitised by the museum; the only images on file come from Farnsworth's and Bauer's own books and Schmeh's transcription	adkhistorycenter.org itself is blocked by this environment's egress policy, so the museum's own contact/catalogue page could not be read directly	not recorded (this is a small local-history museum, unlikely to run a formal item-record system)	echs@adkhistorycenter.org (address corroborated via nyheritage.org's organisation directory and iloveny.com's tourism listing, since the museum's own site is unreachable)	a free question first (outreach/debosnys-museum.md step 1), not yet a copy order	outreach/debosnys-museum.md; ASKS.md row 52; ciphers/debosnys-1883/NOTES.md
Salzburg Museum	sammlung-online.salzburgmuseum.at -- a real IIIF Image API v2 endpoint once a detail page is found (`.../iiif/iiif/2/{media_id}/full/{size},/0/default.jpg`); expert-search at `sammlung-online.salzburgmuseum.at/expertensuche/collection/ergebnisse?InventoryNumber_S=<shelfmark>`	same site is both catalogue and image portal for this institution; manuscripta.at is a separate medieval-manuscripts catalogue that does NOT (yet) include this item ("Keine Treffer" -- its own text says an absent shelfmark is simply not yet entered, not necessarily undigitised)	the detail page's own URL (`sammlung-online.salzburgmuseum.at/detail/collection/<uuid>`) plus its embedded HTML lists all media ids/openings in display order	not recorded (item already freely viewable online; no copy order needed for Hs. 2398)	confirmed 25 Sept 2026 (bUNT3/bUNT4): reachable, no 403/429/challenge ever logged, but a full page-by-page image search of a multi-leaf item can blow a request budget fast (28 openings at one thumbnail each already exceeds a 30-request cap) -- budget generously or use a printed catalogue's own folio citation (Herzog 1929) to target the specific opening first	ciphers/untersberg-code/NOTES.md (Salzburg Museum catalogue entry + digitised images sections)
