letter	djvu_line	raw	cleaned	doubtful	prev_word	next_word	line_is_cipher
P4	15491	19.	19.	no	25.		yes
P4	15492	36.	36.	no		35.	yes
P4	15492	35.	35.	no	36.	28.	yes
P4	15492	28.	28.	no	35.	41.	yes
P4	15492	41.	41.	no	28.	6.	yes
P4	15492	6.	6.	no	41.	34.	yes
P4	15492	34.	34.	no	6.	41-	yes
P4	15492	28.	28.	no	35-	40.	yes
P4	15492	40.	40.	no	28.	41.	yes
P4	15492	41.	41.	no	40.	40-	yes
P4	15492	35.	35.	no	fecrecy	7.	yes
P4	15492	7.	7.	no	35.	25.	yes
P4	15492	25.	25.	no	7.	39.	yes
P4	15492	39.	39.	no	25.	12.	yes
P4	15492	12.	12.	no	39.	37,	yes
P4	15492	37,	37,	no	12.		yes
P4	15494	36.	36.	no		40.	yes
P4	15494	40.	40.	no	36.	41.	yes
P4	15494	41.	41.	no	40.	6.	yes
P4	15494	6.	6.	no	41.	10.	yes
P4	15494	10.	10.	no	6.	40.	yes
P4	15494	40.	40.	no	10.	35.	yes
P4	15494	35.	35.	no	40.	28.	yes
P4	15494	28.	28.	no	35.	38.	yes
P4	15494	38.	38.	no	28.	40.	yes
P4	15494	40.	40.	no	38.	33.	yes
P4	15494	33.	33.	no	40.	35.	yes
P4	15494	35.	35.	no	33.	II.	yes
P4	15494	II.	11.	no	35.	37.	yes
P4	15494	37.	37.	no	II.	40.	yes
P4	15494	40.	40.	no	37.	43.	yes
P4	15494	43.	43.	no	40.	taking	yes
P4	15494	26.	26.	no	it	40.	yes
P4	15494	40.	40.	no	26.	37.	yes
P4	15494	37.	37.	no	40.		yes
P4	15495	10.	10.	no		37.	yes
P4	15495	37.	37.	no	10.	30.	yes
P4	15495	30.	30.	no	37.	41.	yes
P4	15495	41.	41.	no	30.	35.	yes
P4	15495	35.	35.	no	41.	12.	yes
P4	15495	12.	12.	no	35.	16.	yes
P4	15495	16.	16.	no	12.	upon	yes
P4	15495	2.	2.	no	meeting	12.	yes
P4	15495	12.	12.	no	2.	25.	yes
P4	15495	25.	25.	no	12.	19,	yes
P4	15495	19,	19,	no	25.	36.	yes
P4	15495	36.	36.	no	19,	7.	yes
P4	15495	7.	7.	no	36.	25.	yes
P4	15495	25.	25.	no	7.	12.	yes
P4	15495	12.	12.	no	25.	35.	yes
P4	15495	35.	35.	no	12.	7,	yes
P4	15495	7,	7,	no	35.		yes
P4	15496	40.	40.	no		34.	no
P4	15496	34.	34.	no	40.	10.	no
P4	15496	10.	10.	no	34.	32.	no
P4	15496	32.	32.	no	10.	35.	no
P4	15496	35.	35.	no	32.	ftealing	no
P4	15496	67.	67.	no	Whitehall	that	no
P4	15497	35.	35.	no	of	7.	no
P4	15497	7.	7.	no	35.	12.	no
P4	15497	12.	12.	no	7.	43.	no
P4	15497	43.	43.	no	12.	19.	no
P4	15497	19.	19.	no	43.	35.	no
P4	15497	35.	35.	no	19.	25.	no
P4	15497	25.	25.	no	35.	37-	no
P4	15497	18.	18.	no	37-	34.	no
P4	15497	34.	34.	no	18.	35.	no
P4	15497	35.	35.	no	34.	30.	no
P4	15497	30.	30.	no	35.	3.	no
P4	15497	3.	3.	no	30.	36.	no
P4	15497	36.	36.	no	3.	40.	no
P4	15497	40.	40.	no	36.	employed	no
P4	15498	30.	30.	no	of	39.	no
P4	15498	39.	39.	no	30.	40.	no
P4	15498	40.	40.	no	39.	35.	no
P4	15498	35.	35.	no	40.	23.	no
P4	15498	23.	23.	no	35.	7.	no
P4	15498	7.	7.	no	23.	19.	no
P4	15498	19.	19.	no	7.	35.	no
P4	15498	35.	35.	no	19.	23.	no
P4	15498	23.	23.	no	35.	19.	no
P4	15498	19.	19.	no	23.	^6.	no
P4	15498	18.	18.	no	^6.	12.	no
P4	15498	12.	12.	no	18.		no
P4	15499	25.	25.	no		41.	yes
P4	15499	41.	41.	no	25.	12.	yes
P4	15499	12.	12.	no	41.	30.	yes
P4	15499	30.	30.	no	12.	7.	yes
P4	15499	7.	7.	no	30.	35.	yes
P4	15499	35.	35.	no	7.	17.	yes
P4	15499	17.	17.	no	35.	23.	yes
P4	15499	23.	23.	no	17.	28.	yes
P4	15499	28.	28.	no	23.	41.	yes
P4	15499	41.	41.	no	28.	10.	yes
P4	15499	10.	10.	no	41.	by	yes
P4	15499	35.	35.	no	by	23.	yes
P4	15499	23.	23.	no	35.	12.	yes
P4	15499	12.	12.	no	23.	33.	yes
P4	15499	33.	33.	no	12.	7.	yes
P4	15499	7.	7.	no	33.	40.	yes
P4	15499	40.	40.	no	7.	3.	yes
P4	15499	3.	3.	no	40.	12.	yes
P4	15499	12.	12.	no	3.	39.	yes
P4	15499	39.	39.	no	12.	19,	yes
P4	15499	19,	19,	no	39.		yes
P4	15501	37.	37.	no		35.	yes
P4	15501	35.	35.	no	37.	6.	yes
P4	15501	6.	6.	no	35.	25.	yes
P4	15501	25.	25.	no	6.	40.	yes
P4	15501	40.	40.	no	25.	II.	yes
P4	15501	II.	11.	no	40.	143.	yes
P4	15501	143.	143.	no	II.	there	yes
P4	15501	18.	18.	no	queftion	34.	yes
P4	15501	34.	34.	no	18.	35.	yes
P4	15501	35.	35.	no	34.	28.	yes
P4	15501	28.	28.	no	35.	36.	yes
P4	15501	36.	36.	no	28.	7.	yes
P4	15501	7.	7.	no	36.	19.	yes
P4	15501	19.	19.	no	7.	3.	yes
P4	15501	3.	3.	no	19.	by	yes
P4	15502	6.	6.	no	felfe	37.	no
P4	15502	37.	37.	no	6.	37.	no
P4	15502	37.	37.	no	37.	12.	no
P4	15502	12.	12.	no	37.	17.	no
P4	15502	17.	17.	no	12.	40,	no
P4	15502	40,	40,	no	17.	41.	no
P4	15502	41.	41.	no	40,	17.	no
P4	15502	17.	17.	no	41.	28.	no
P4	15502	28.	28.	no	17.	6.	no
P4	15502	6.	6.	no	28.	19.	no
P4	15502	19.	19.	no	6.	18.	no
P4	15502	18.	18.	no	19.	3.	no
P4	15502	3.	3.	no	18.	^5.	no
P4	15503	23.	23.	no	35-	12.	yes
P4	15503	12.	12.	no	23.	2.	yes
P4	15503	2.	2.	no	12.	30.	yes
P4	15503	30.	30.	no	2.	36.	yes
P4	15503	36.	36.	no	30.	3.	yes
P4	15503	3.	3.	no	36.	40.	yes
P4	15503	40.	40.	no	3.	41.	yes
P4	15503	41.	41.	no	40.	10.	yes
P4	15503	10.	10.	no	41.	19.	yes
P4	15503	19.	19.	no	10.	30.	yes
P4	15503	30.	30.	no	19.	6.	yes
P4	15503	6.	6.	no	30.	3.	yes
P4	15503	3.	3.	no	6.	28.	yes
P4	15503	28.	28.	no	3.	35.	yes
P4	15503	35.	35.	no	28.	25.	yes
P4	15503	25.	25.	no	35.	and	yes
P4	15510	1	1	no		intend	no
P4	15523	38.	38.	no	the	34.	no
P4	15523	34.	34.	no	38.	30.	no
P4	15523	30.	30.	no	34.	3..	no
P4	15524	28.	28.	no		35.	no
P4	15524	35.	35.	no	28.	6.	no
P4	15524	6.	6.	no	35.	12.	no
P4	15524	12.	12.	no	6.	I	no
P4	15524	1	1	no	acquaintance	have	no
P4	15524	153,	153,	no	the	and	no
P4	15529	130	130	no	more	troope,	no
P4	15529	39.	39.	no	more	25.	no
P4	15529	25.	25.	no	39.	40.	no
P4	15529	40.	40.	no	25.	39.	no
P4	15529	39.	39.	no	40.	3.	no
P4	15529	3.	3.	no	39.	12.	no
P4	15529	12.	12.	no	3.	19,	no
P4	15529	19,	19,	no	12.	3y.	no
P4	15529	25.	25.	no	3y.	12.	no
P4	15529	12.	12.	no	25.	41.	no
P4	15529	41.	41.	no	12.	10.	no
P4	15529	10.	10.	no	41.		no
P4	15531	19.	19.	no	.	41.	yes
P4	15531	41.	41.	no	19.	6,	yes
P4	15531	6,	6,	no	41.	40.	yes
P4	15531	40.	40.	no	6,	41.	yes
P4	15531	41.	41.	no	40.	12.	yes
P4	15531	12.	12.	no	41.	40.	yes
P4	15531	40.	40.	no	12.	II.	yes
P4	15531	II.	11.	no	40.	the	yes
P4	15531	26.	26.	no	the	40.	yes
P4	15531	40.	40.	no	26.	37,	yes
P4	15531	37,	37,	no	40.		yes
P4	15533	36.	36.	no	35'	40-	yes
P4	15533	12.	12.	no	40-	34.	yes
P4	15533	34.	34.	no	12.	35.	yes
P4	15533	35.	35.	no	34.	37.	yes
P4	15533	37.	37.	no	35.	army.	yes
P4	15533	35.	35.	no	army.	23.	yes
P4	15533	23.	23.	no	35.	19.	yes
P4	15533	19.	19.	no	23.		yes
P4	15535	36.	36.	no	it	12.	no
P4	15535	12.	12.	no	36.	19.	no
P4	15535	19.	19.	no	12.	35.	no
P4	15535	35.	35.	no	19.	and	no
P4	15535	25.	25.	no	the	17.	no
P4	15535	17.	17.	no	25.	40.	no
P4	15535	40.	40.	no	17.	the	no
P4	15537	81.	81.	no	6y.	35.	yes
P4	15537	35.	35.	no	81.	7.	yes
P4	15537	7.	7.	no	35.	12.	yes
P4	15537	12.	12.	no	7.	am	yes
P4	15537	85.	85.	no	am	41.	yes
P4	15537	41.	41.	no	85.	40.	yes
P4	15537	40.	40.	no	41.	35.	yes
P4	15537	35.	35.	no	40.	3.	yes
P4	15537	3.	3.	no	35.		yes
P4	15539	37.	37.	no		3g.	no
P4	15539	6.	6.	no	it.	in.	no
P4	15539	12.	12.	no	in.	that	no
P4	15539	7.	7.	no	by	25.	no
P4	15539	25.	25.	no	7.	am.	no
P4	15539	23.	23.	no	am.		no
P4	15541	3.	3.	no		29.	no
P4	15541	29.	29.	no	3.	36.	no
P4	15541	36.	36.	no	29.	by	no
P4	15541	40.	40.	no	by	26.	no
P4	15541	26.	26.	no	40.	II.	no
P4	15541	37.	37.	no	and	35.	no
P4	15541	35.	35.	no	37.	am.	no
P4	15543	29.	29.	no		6.	yes
P4	15543	6.	6.	no	29.	35.	yes
P4	15543	35.	35.	no	6.	40,	yes
P4	15543	40,	40,	no	35.	18.	yes
P4	15543	18.	18.	no	40,	25.	yes
P4	15543	25.	25.	no	18.	12.	yes
P4	15543	12.	12.	no	25.	2.	yes
P4	15543	2.	2.	no	12.	19.	yes
P4	15543	19.	19.	no	2.	17.	yes
P4	15543	17.	17.	no	19.	25.	yes
P4	15543	25.	25.	no	17.	34.	yes
P4	15543	34.	34.	no	25.		yes
P4	15545	12.	12.	no		6.	yes
P4	15545	6.	6.	no	12.	37.	yes
P4	15545	37.	37.	no	6.	25.	yes
P4	15545	25.	25.	no	37.	18.	yes
P4	15545	18.	18.	no	25.	34.	yes
P4	15545	34.	34.	no	18.	36.	yes
P4	15545	36.	36.	no	34.	28.	yes
P4	15545	28.	28.	no	36.	41.	yes
P4	15545	41.	41.	no	28.	12.	yes
P4	15545	12.	12.	no	41.	36.'	yes
P4	15547	25.	25.	no		II.	no
P4	15547	40.	40.	no	II.	37.	no
P4	15547	37.	37.	no	40.	6.	no
P4	15547	6.	6.	no	37.	35,	no
P4	15547	35,	35,	no	6.	and	no
P4	15549	40.	40.	no	that	37.	no
P4	15549	37.	37.	no	40.		no
P4	15551	41.	41.	no	and	29.	no
P4	15551	29.	29.	no	41.	is	no
P4	15551	67.	67.	no	in	7.	no
P4	15551	7.	7.	no	67.	am.	no
P4	15551	16.	16.	no	am.	12,23.	no
P4	15551	30.	30.	no	19.36.23.	36.	no
P4	15551	36.	36.	no	30.	at	no
P4	15551	37.	37.	no	at	6.	no
P4	15551	6.	6.	no	37.	35.6.41.	no
P4	15551	35.	35.	no	35.6.41.	40.	no
P4	15551	40.	40.	no	35.	70.	no
P4	15551	70.	70.	no	40.		no
P4	15561	0,	0,	no	to	and	no
P4	15563	4	4	no		I	no
P4	15566	30.	30.	no		22.	yes
P4	15566	22.	22.	no	30.	12.	yes
P4	15566	12.	12.	no	22.	29.	yes
P4	15566	29.	29.	no	12.	35.	yes
P4	15566	35.	35.	no	29.	7.	yes
P4	15566	7.	7.	no	35.	12.	yes
P4	15566	12.	12.	no	7.	41.	yes
P4	15566	41.	41.	no	12.	28.	yes
P4	15566	28.	28.	no	41.		yes
P4	15568	41	41	no			no
P4	15570	12.	12.	no	43-	37.	yes
P4	15570	37.	37.	no	12.	40.	yes
P4	15570	40.	40.	no	37.	41.	yes
P4	15570	41.	41.	no	40.	25.	yes
P4	15570	25.	25.	no	41.	36.	yes
P4	15570	36.	36.	no	25.	33.	yes
P4	15570	33.	33.	no	36.	7.	yes
P4	15570	7.	7.	no	33.		yes
P4	15574	12.	12.	no	7'	it	no
P4	15574	25.	25.	no	it	6.	no
P4	15574	6.	6.	no	25.	36.	no
P4	15574	36.	36.	no	6.	in	no
P4	15574	17.	17.	no	in		no
P4	15578	36.	36.	no		6.	yes
P4	15578	6.	6.	no	36.	16.	yes
P4	15578	16.	16.	no	6.	12.	yes
P4	15578	12.	12.	no	16.	37.	yes
P4	15578	37.	37.	no	12.	19.	yes
P4	15578	19.	19.	no	37.	18.	yes
P4	15578	18.	18.	no	19.	3.	yes
P4	15578	3.	3.	no	18.	25.	yes
P4	15578	25.	25.	no	3.		yes
P4	15580	28.	28.	no			no
P4	15582	19.	19.	no		am.	yes
P4	15582	16.	16.	no	am.	12.	yes
P4	15582	12.	12.	no	16.	158.	yes
P4	15582	158.	158.	no	12.	35'.	yes
P4	15582	40.	40.	no	35'.	36.	yes
P4	15582	36.	36.	no	40.		yes
P4	15584	34	34	no			no
P4	15586	19.	19.	no		34.	yes
P4	15586	34.	34.	no	19.	25.	yes
P4	15586	25.	25.	no	34.	10.	yes
P4	15586	10.	10.	no	25.	6.	yes
P4	15586	6.	6.	no	10.	34.	yes
P4	15586	34.	34.	no	6.	12.	yes
P4	15586	12.	12.	no	34.	41.	yes
P4	15586	41.	41.	no	12.	I.	yes
P4	15586	I.	1.	no	41.		yes
P4	15588	19.	19.	no			no
P4	15590	81.	81.	no	armes	3.	no
P4	15590	3.	3.	no	81.	am	no
P4	15590	37.	37.	no	am	12.	no
P4	15590	12.	12.	no	37.		no
P4	15592	19	19	no			no
P4	15594	36.	36.	no		12.	yes
P4	15594	12.	12.	no	36.	and	yes
P4	15594	11.	11.	no	and	33.	yes
P4	15594	33.	33.	no	11.	7.	yes
P4	15594	7.	7.	no	33.	25.	yes
P4	15594	25.	25.	no	7.	41.	yes
P4	15594	41.	41.	no	25.	35.	yes
P4	15594	35.	35.	no	41.		yes
P4	15596	23	23	no			no
P4	15598	12.	12.	no		36.	yes
P4	15598	36.	36.	no	12.	7.	yes
P4	15598	7.	7.	no	36.	19.	yes
P4	15598	19.	19.	no	7.	3.	yes
P4	15598	3.	3.	no	19.	18.	yes
P4	15598	18.	18.	no	3.	12.	yes
P4	15598	12.	12.	no	18.	37.	yes
P4	15598	37.	37.	no	12.	6.	yes
P4	15598	6.	6.	no	37.	3	yes
P4	15598	3	3	no	6.		yes
P4	15600	9.	9.	no		:	no
P4	15602	189	189	no	&c.		no
P4	15646	13,	13,	no	March		no
P5_P6	22891	17.	17.	no	to	40,	no
P5_P6	22891	40,	40,	no	17.	2.	no
P5_P6	22891	2.	2.	no	40,	12.	no
P5_P6	22891	12.	12.	no	2.	19.	no
P5_P6	22891	19.	19.	no	12.	41.	no
P5_P6	22891	41.	41.	no	19.	29.	no
P5_P6	22891	29.	29.	no	41.	43.	no
P5_P6	22891	43.	43.	no	29.	19.	no
P5_P6	22891	19.	19.	no	43.	5,	no
P5_P6	22891	5,	5,	no	19.	25,	no
P5_P6	22891	25,	25,	no	5,		no
P5_P6	22892	2.	2.	no		31.	yes
P5_P6	22892	31.	31.	no	2.	36.	yes
P5_P6	22892	36.	36.	no	31.	12.	yes
P5_P6	22892	12.	12.	no	36.	3.	yes
P5_P6	22892	3.	3.	no	12.	II.	yes
P5_P6	22892	II.	11.	no	3.	25.	yes
P5_P6	22892	25.	25.	no	II.	©5.	yes
P5_P6	22892	39.	39.	no	©5.	37.	yes
P5_P6	22892	37.	37.	no	39.	28.	yes
P5_P6	22892	28.	28.	no	37.	36.	yes
P5_P6	22892	36.	36.	no	28.	40.	yes
P5_P6	22892	40.	40.	no	36.	42.	yes
P5_P6	22892	42.	42.	no	40.	12.	yes
P5_P6	22892	12.	12.	no	42.	37.	yes
P5_P6	22892	37.	37.	no	12.	it	yes
P5_P6	22893	3,	3,	no	in		no
P5_P6	22894	40.	40.	no		42.	no
P5_P6	22894	42.	42.	no	40.	16.	no
P5_P6	22894	16.	16.	no	42.	40.	no
P5_P6	22894	40.	40.	no	16.	41.	no
P5_P6	22894	41.	41.	no	40.	which	no
P5_P6	22894	158.	158.	no	in	40.	no
P5_P6	22894	40.	40.	no	158.	2	no
P5_P6	22894	2	2	no	40.	5.	no
P5_P6	22894	5.	5.	no	2		no
P5_P6	22895	35.	35.	no		7.	yes
P5_P6	22895	7.	7.	no	35.	28.	yes
P5_P6	22895	28.	28.	no	7.	36.	yes
P5_P6	22895	36.	36.	no	28.	41.	yes
P5_P6	22895	41.	41.	no	36.	19.	yes
P5_P6	22895	19.	19.	no	41.	35,	yes
P5_P6	22895	35,	35,	no	19.	34.	yes
P5_P6	22895	34.	34.	no	35,	12.	yes
P5_P6	22895	12.	12.	no	34.	the	yes
P5_P6	22895	37.	37.	no	the	25.	yes
P5_P6	22895	25.	25.	no	37.	36.	yes
P5_P6	22895	36.	36.	no	25.	40.	yes
P5_P6	22895	40.	40.	no	36.	3.	yes
P5_P6	22895	3.	3.	no	40.	34.	yes
P5_P6	22895	34.	34.	no	3.	35,	yes
P5_P6	22895	35,	35,	no	34.	6.	yes
P5_P6	22895	6.	6.	no	35,	40.	yes
P5_P6	22895	40.	40.	no	6.	42.	yes
P5_P6	22895	42.	42.	no	40.	'3,6.	yes
P5_P6	22895	17.	17.	no	'3,6.		yes
P5_P6	22896	23.	23.	no		30.	no
P5_P6	22896	30.	30.	no	23.	41.	no
P5_P6	22896	41.	41.	no	30.	10.	no
P5_P6	22896	10.	10.	no	41.	25.	no
P5_P6	22896	25.	25.	no	10.	every	no
P5_P6	22898	2.	2.	no	againfl:	31.	yes
P5_P6	22898	31.	31.	no	2.	30.	yes
P5_P6	22898	30.	30.	no	31.	16.	yes
P5_P6	22898	16.	16.	no	30.	43.	yes
P5_P6	22898	43.	43.	no	16.	6.	yes
P5_P6	22898	6.	6.	no	43.	35	yes
P5_P6	22898	35	35	no	6.	35.	yes
P5_P6	22898	35.	35.	no	35	19.	yes
P5_P6	22898	19.	19.	no	35.	41.	yes
P5_P6	22898	41.	41.	no	19.	17.	yes
P5_P6	22898	17.	17.	no	41.	25.	yes
P5_P6	22898	25.	25.	no	17.	42.	yes
P5_P6	22898	42.	42.	no	25.	40.	yes
P5_P6	22898	40.	40.	no	42.	'3,'^.	yes
P5_P6	22898	35.	35.	no	6.41.		yes
P5_P6	22900	40.	40.	no		6'].	no
P5_P6	22900	43.	43.	no	of	31.	no
P5_P6	22900	31.	31.	no	43.	25.	no
P5_P6	22900	25.	25.	no	31.	41.	no
P5_P6	22900	41.	41.	no	25.	22.	no
P5_P6	22900	22.	22.	no	41.	19.	no
P5_P6	22900	19.	19.	no	22.	10.	no
P5_P6	22900	10.	10.	no	19.	28,	no
P5_P6	22900	28,	28,	no	10.	42.	no
P5_P6	22900	42.	42.	no	28,	in	no
P5_P6	22901	130.	130.	no		and	no
P5_P6	22901	34.	34.	no	by	36,	no
P5_P6	22901	36,	36,	no	34.		no
P5_P6	22902	35.	35.	no		both	no
P5_P6	22903	1	1	no	more	examine	no
P5_P6	22906	35.	35.	no	voluntarily	7.	no
P5_P6	22906	7.	7.	no	35.	"o,""]."	no
P5_P6	22906	40.	40.	no	"o,""]."	7,2.	no
P5_P6	22906	2.	2.	no	7,2.	31.	no
P5_P6	22906	31.	31.	no	2.	35.	no
P5_P6	22906	35.	35.	no	31.		no
P5_P6	22907	12.	12.	no		3.	yes
P5_P6	22907	3.	3.	no	12.	26.	yes
P5_P6	22907	26.	26.	no	3.	25._	yes
P5_P6	22907	6.	6.	no	25._	41.	yes
P5_P6	22907	41.	41.	no	6.	35.	yes
P5_P6	22907	35.	35.	no	41.	40.	yes
P5_P6	22907	40.	40.	no	35.	'3,6.	yes
P5_P6	22907	34.	34.	no	'3,6.	17.	yes
P5_P6	22907	17.	17.	no	34.	23.	yes
P5_P6	22907	23.	23.	no	17.	19.	yes
P5_P6	22907	19.	19.	no	23.	17.	yes
P5_P6	22907	17.	17.	no	19.	40.	yes
P5_P6	22907	40.	40.	no	17.	42.	yes
P5_P6	22907	42.	42.	no	40.	16.	yes
P5_P6	22907	16.	16.	no	42.	28.	yes
P5_P6	22907	28.	28.	no	16.	'^c,.	yes
P5_P6	22907	6.	6.	no	'^c,.	40.	yes
P5_P6	22907	40.	40.	no	6.		yes
P5_P6	22908	42.	42.	no		without	no
P5_P6	22908	22.	22.	no	to	12.	no
P5_P6	22908	12.	12.	no	22.	25.	no
P5_P6	22908	25.	25.	no	12.	40.	no
P5_P6	22908	40.	40.	no	25.	11.	no
P5_P6	22908	11.	11.	no	40.	2.6.	no
P5_P6	22908	19.	19.	no	2.6.	10,	no
P5_P6	22908	10,	10,	no	19.		no
P5_P6	22909	30.	30.	no		31.	no
P5_P6	22909	31.	31.	no	30.	41.	no
P5_P6	22909	41.	41.	no	31.	12.	no
P5_P6	22909	12.	12.	no	41.	which	no
P5_P6	22909	18.	18.	no	but	31.	no
P5_P6	22909	31.	31.	no	18.	16.	no
P5_P6	22909	16.	16.	no	31.	40.	no
P5_P6	22909	40.	40.	no	16.	6.	no
P5_P6	22909	6.	6.	no	40.	41.	no
P5_P6	22909	41.	41.	no	6.	22.	no
P5_P6	22909	22.	22.	no	41.	©	no
P5_P6	22910	12.	12.	no		37.	no
P5_P6	22910	37.	37.	no	12.	34.	no
P5_P6	22910	34.	34.	no	37.	28.	no
P5_P6	22910	28.	28.	no	34.	17.	no
P5_P6	22910	17.	17.	no	28.	25.	no
P5_P6	22910	25.	25.	no	17.	Soe	no
P5_P6	22913	18.	18.	no		40.	yes
P5_P6	22913	40.	40.	no	18.	^5.	yes
P5_P6	22913	35.	35.	no	^5.	40.	yes
P5_P6	22913	40.	40.	no	35.	2.	yes
P5_P6	22913	2.	2.	no	40.	25.	yes
P5_P6	22913	25.	25.	no	2.	40.	yes
P5_P6	22913	40.	40.	no	25.	26.	yes
P5_P6	22913	26.	26.	no	40.	35.	yes
P5_P6	22913	35.	35.	no	26.	23.	yes
P5_P6	22913	23.	23.	no	35.	6.	yes
P5_P6	22913	6.	6.	no	23.	36.	yes
P5_P6	22913	36.	36.	no	6.	130.	yes
P5_P6	22913	130.	130.	no	36.	I	yes
P5_P6	22913	I	1	no	130.	confeffe	yes
P5_P6	22913	43.	43.	no	then	31.	yes
P5_P6	22913	31.	31.	no	43.	28.	yes
P5_P6	22913	28.	28.	no	31.		yes
P5_P6	22915	41.	41.	no		35.	no
P5_P6	22915	35.	35.	no	41.	25.	no
P5_P6	22915	25.	25.	no	35.	3.	no
P5_P6	22915	3.	3.	no	25.	3.	no
P5_P6	22915	3.	3.	no	3.	6.	no
P5_P6	22915	6.	6.	no	3.	22.	no
P5_P6	22915	22.	22.	no	6.	12.	no
P5_P6	22915	12.	12.	no	22.	42.	no
P5_P6	22915	42.	42.	no	12.	17.	no
P5_P6	22915	17.	17.	no	42.	25.	no
P5_P6	22915	25.	25.	no	17.	would	no
P5_P6	22917	40.	40.	no		36.	yes
P5_P6	22917	36.	36.	no	40.	25.	yes
P5_P6	22917	25.	25.	no	36.	17.	yes
P5_P6	22917	17.	17.	no	25.	40.	yes
P5_P6	22917	40.	40.	no	17.	42.	yes
P5_P6	22917	42.	42.	no	40.	36.	yes
P5_P6	22917	36.	36.	no	42.	16.	yes
P5_P6	22917	16.	16.	no	36.	25.	yes
P5_P6	22917	25.	25.	no	16.	37.	yes
P5_P6	22917	37.	37.	no	25.	30.	yes
P5_P6	22917	30.	30.	no	37.	18.	yes
P5_P6	22917	18.	18.	no	30.	3.	yes
P5_P6	22917	3.	3.	no	18.		yes
P5_P6	22918	35.	35.	no	and	23.	yes
P5_P6	22918	23.	23.	no	35.	40.	yes
P5_P6	22918	40.	40.	no	23.	36.	yes
P5_P6	22918	36.	36.	no	40.	12.	yes
P5_P6	22918	12.	12.	no	36.	33.	yes
P5_P6	22918	33.	33.	no	12.	7.	yes
P5_P6	22918	7.	7.	no	33.	40.	yes
P5_P6	22918	40.	40.	no	7.	^6.	yes
P5_P6	22918	25.	25.	no	^6.	19.	yes
P5_P6	22918	19.	19.	no	25.	39.	yes
P5_P6	22918	39.	39.	no	19.		yes
P5_P6	22919	33.	33.	no	bufinefle	40.	yes
P5_P6	22919	40.	40.	no	33.	34.	yes
P5_P6	22919	34.	34.	no	40.	3.	yes
P5_P6	22919	3.	3.	no	34.	16.	yes
P5_P6	22919	16.	16.	no	3.	18.	yes
P5_P6	22919	18.	18.	no	16.	25.	yes
P5_P6	22919	25.	25.	no	18.	12.	yes
P5_P6	22919	12.	12.	no	25.	43.	yes
P5_P6	22919	43.	43.	no	12.		yes
P5_P6	22920	41.	41.	no	knowledge	30.	no
P5_P6	22920	30.	30.	no	41.	35.	no
P5_P6	22920	35.	35.	no	30.	35.	no
P5_P6	22920	35.	35.	no	35.	30.	no
P5_P6	22920	30.	30.	no	35.	21.	no
P5_P6	22920	21.	21.	no	30.		no
P5_P6	22921	40.	40.	no		26.	yes
P5_P6	22921	26.	26.	no	40.	and	yes
P5_P6	22921	84,	84,	no	and	19.	yes
P5_P6	22921	19.	19.	no	84,	3.	yes
P5_P6	22921	3.	3.	no	19.	3.	yes
P5_P6	22921	3.	3.	no	3.	35.	yes
