value	plaintext	grade	source_line
501	E	H	raw/WE028.txt:501
502	ea	H	raw/WE028.txt:502
503	each	H	raw/WE028.txt:503
504	eager	H	raw/WE028.txt:504
505	eal	H	raw/WE028.txt:505
506	eam	H	raw/WE028.txt:506
507	ean	H	raw/WE028.txt:507
508	ear	H	raw/WE028.txt:508
509	earth	H	raw/WE028.txt:509
510	ease	H	raw/WE028.txt:510
511	east	H	raw/WE028.txt:511
512	east=Indies	H	raw/WE028.txt:512
513	eat	H	raw/WE028.txt:513
514	eav	H	raw/WE028.txt:514
515	eb	H	raw/WE028.txt:515
516	ec	H	raw/WE028.txt:516
517	eck	H	raw/WE028.txt:517
518	ect	H	raw/WE028.txt:518
519	ection	H	raw/WE028.txt:519
520	ed	H	raw/WE028.txt:520
521	ede	H	raw/WE028.txt:521
522	edge	H	raw/WE028.txt:522
523	eed	H	raw/WE028.txt:523
524	een	H	raw/WE028.txt:524
525	ef	H	raw/WE028.txt:525
526	eg	H	raw/WE028.txt:526
527	ege	H	raw/WE028.txt:527
528	ei	H	raw/WE028.txt:528
529	eight	H	raw/WE028.txt:529
530	eighteen	H	raw/WE028.txt:530
531	eighth	H	raw/WE028.txt:531
532	eighty	H	raw/WE028.txt:532
533	either	H	raw/WE028.txt:533
534	el	H	raw/WE028.txt:534
535	eld	H	raw/WE028.txt:535
536	eleven	H	raw/WE028.txt:536
537	elm	H	raw/WE028.txt:537
538	else	H	raw/WE028.txt:538
539	em	H	raw/WE028.txt:539
540	embass	H	raw/WE028.txt:540
541	emble	H	raw/WE028.txt:541
542	eme	H	raw/WE028.txt:542
543	emi	H	raw/WE028.txt:543
544	emp	H	raw/WE028.txt:544
545	en	H	raw/WE028.txt:545
546	ence	H	raw/WE028.txt:546
547	ency	H	raw/WE028.txt:547
548	end	H	raw/WE028.txt:548
549	endous	H	raw/WE028.txt:549
550	enemy	H	raw/WE028.txt:550
551	those	H	raw/WE028.txt:551
552	thought	H	raw/WE028.txt:552
553	thousand	H	raw/WE028.txt:553
554	thr	H	raw/WE028.txt:554
555	three	H	raw/WE028.txt:555
556	thrice	H	raw/WE028.txt:556
557	thro	H	raw/WE028.txt:557
558	thus	H	raw/WE028.txt:558
559	thy	H	raw/WE028.txt:559
560	ti	H	raw/WE028.txt:560
561	til	H	raw/WE028.txt:561
562	tile	H	raw/WE028.txt:562
563	time	H	raw/WE028.txt:563
564	tin	H	raw/WE028.txt:564
565	tion	H	raw/WE028.txt:565
566	tir	H	raw/WE028.txt:566
567	tive	H	raw/WE028.txt:567
568	tle	H	raw/WE028.txt:568
569	to	H	raw/WE028.txt:569
570	tol	H	raw/WE028.txt:570
571	ton	H	raw/WE028.txt:571
572	too	H	raw/WE028.txt:572
573	tor	H	raw/WE028.txt:573
574	total	H	raw/WE028.txt:574
575	toward	H	raw/WE028.txt:575
576	town	H	raw/WE028.txt:576
577	tra	H	raw/WE028.txt:577
578	trac	H	raw/WE028.txt:578
579	tract	H	raw/WE028.txt:579
580	traction	H	raw/WE028.txt:580
581	hum	H	raw/WE028.txt:581
582	hungary	H	raw/WE028.txt:582
583	hur	H	raw/WE028.txt:583
584	hy	H	raw/WE028.txt:584
585	lay	H	raw/WE028.txt:585
586	le	H	raw/WE028.txt:586
587	lea	H	raw/WE028.txt:587
588	learn	H	raw/WE028.txt:588
589	least	H	raw/WE028.txt:589
590	lect	H	raw/WE028.txt:590
591	led	H	raw/WE028.txt:591
592	ledge	H	raw/WE028.txt:592
593	left	H	raw/WE028.txt:593
594	lence	H	raw/WE028.txt:594
595		H	raw/WE028.txt:595
596	lent	H	raw/WE028.txt:596
597	ler	H	raw/WE028.txt:597
598	les	H	raw/WE028.txt:598
599	lest	H	raw/WE028.txt:599
600	let	H	raw/WE028.txt:600
601	M	H	raw/WE028.txt:601
602	ma	H	raw/WE028.txt:602
603	mac	H	raw/WE028.txt:603
604	mad	H	raw/WE028.txt:604
605	made	H	raw/WE028.txt:605
606	madrid	H	raw/WE028.txt:606
607	mag	H	raw/WE028.txt:607
608	mai	H	raw/WE028.txt:608
609	maintain	H	raw/WE028.txt:609
610	major	H	raw/WE028.txt:610
611	make	H	raw/WE028.txt:611
612	mal	H	raw/WE028.txt:612
613	mani	H	raw/WE028.txt:613
614	manifest	H	raw/WE028.txt:614
615	many	H	raw/WE028.txt:615
616	map	H	raw/WE028.txt:616
617	mar	H	raw/WE028.txt:617
618	march	H	raw/WE028.txt:618
619	marine	H	raw/WE028.txt:619
620	mark	H	raw/WE028.txt:620
621	mas	H	raw/WE028.txt:621
622	master	H	raw/WE028.txt:622
623	mat	H	raw/WE028.txt:623
624	material	H	raw/WE028.txt:624
625	mation	H	raw/WE028.txt:625
626	matter	H	raw/WE028.txt:626
627	may	H	raw/WE028.txt:627
628	me	H	raw/WE028.txt:628
629	mea	H	raw/WE028.txt:629
630	mean	H	raw/WE028.txt:630
631	med	H	raw/WE028.txt:631
632	media	H	raw/WE028.txt:632
633	mel	H	raw/WE028.txt:633
634	mem	H	raw/WE028.txt:634
635	memorial	H	raw/WE028.txt:635
636	men	H	raw/WE028.txt:636
637	ment	H	raw/WE028.txt:637
638	mention	H	raw/WE028.txt:638
639	mer	H	raw/WE028.txt:639
640	mes	H	raw/WE028.txt:640
641	met	H	raw/WE028.txt:641
642	method	H	raw/WE028.txt:642
643	mi	H	raw/WE028.txt:643
644	mid	H	raw/WE028.txt:644
645	middle	H	raw/WE028.txt:645
646	might	H	raw/WE028.txt:646
647	mil	H	raw/WE028.txt:647
648	million	H	raw/WE028.txt:648
649	min	H	raw/WE028.txt:649
650	mind	H	raw/WE028.txt:650
651	X	H	raw/WE028.txt:651
652	xy	H	raw/WE028.txt:652
653	Y	H	raw/WE028.txt:653
654	ya	H	raw/WE028.txt:654
655	yea	H	raw/WE028.txt:655
656	year	H	raw/WE028.txt:656
657	yet	H	raw/WE028.txt:657
658	yield	H	raw/WE028.txt:658
659	yo	H	raw/WE028.txt:659
660	yoke	H	raw/WE028.txt:660
661	yond	H	raw/WE028.txt:661
662	york	H	raw/WE028.txt:662
663	you	H	raw/WE028.txt:663
664	your	H	raw/WE028.txt:664
665	Z	H	raw/WE028.txt:665
666	Zeal	H	raw/WE028.txt:666
667	ancy	H	raw/WE028.txt:667
668	and	H	raw/WE028.txt:668
669	ang	H	raw/WE028.txt:669
670	ange	H	raw/WE028.txt:670
671	angue	H	raw/WE028.txt:671
672	ani	H	raw/WE028.txt:672
673	ant	H	raw/WE028.txt:673
674	any	H	raw/WE028.txt:674
675	ap	H	raw/WE028.txt:675
676	aph	H	raw/WE028.txt:676
677	appear	H	raw/WE028.txt:677
678	april	H	raw/WE028.txt:678
679	apt	H	raw/WE028.txt:679
680	ar	H	raw/WE028.txt:680
681	arc	H	raw/WE028.txt:681
682	arch	H	raw/WE028.txt:682
683	ard	H	raw/WE028.txt:683
684	are	H	raw/WE028.txt:684
685	arl	H	raw/WE028.txt:685
686	arm	H	raw/WE028.txt:686
687	army	H	raw/WE028.txt:687
688	arn	H	raw/WE028.txt:688
689	arp	H	raw/WE028.txt:689
690	art	H	raw/WE028.txt:690
691	ary	H	raw/WE028.txt:691
692	as	H	raw/WE028.txt:692
693	ase	H	raw/WE028.txt:693
694	ash	H	raw/WE028.txt:694
695	ask	H	raw/WE028.txt:695
696	asp	H	raw/WE028.txt:696
697	ast	H	raw/WE028.txt:697
698	asy	H	raw/WE028.txt:698
699	at	H	raw/WE028.txt:699
700	ate	H	raw/WE028.txt:700
701	Qu	H	raw/WE028.txt:701
702	qua	H	raw/WE028.txt:702
703	quan	H	raw/WE028.txt:703
704	quarter	H	raw/WE028.txt:704
705	que	H	raw/WE028.txt:705
706	queen	H	raw/WE028.txt:706
707	quer	H	raw/WE028.txt:707
708	quest	H	raw/WE028.txt:708
709	qui	H	raw/WE028.txt:709
710	quin	H	raw/WE028.txt:710
711	quo	H	raw/WE028.txt:711
712	quota	H	raw/WE028.txt:712
713	R	H	raw/WE028.txt:713
714	ra	H	raw/WE028.txt:714
715	race	H	raw/WE028.txt:715
716	rag	H	raw/WE028.txt:716
717	rai	H	raw/WE028.txt:717
718	ral	H	raw/WE028.txt:718
719	ram	H	raw/WE028.txt:719
720	ran	H	raw/WE028.txt:720
721	rap	H	raw/WE028.txt:721
722	rare	H	raw/WE028.txt:722
723	ras	H	raw/WE028.txt:723
724	rash	H	raw/WE028.txt:724
725	rat	H	raw/WE028.txt:725
726	rate	H	raw/WE028.txt:726
727	rather	H	raw/WE028.txt:727
728	ration	H	raw/WE028.txt:728
729	rch	H	raw/WE028.txt:729
730	rd	H	raw/WE028.txt:730
731	re	H	raw/WE028.txt:731
