line	col	A	B	score_A	score_B	decision	note
p1_L14	9	=quaduisez	=qu'advise	-3.313	-3.232	M	margin 0.35
p1_L15	6	=souuent	=sous	-2.816	-2.581	M	margin 0.35
p1_L15	8	15	25	-2.944	-3.113	M	margin 0.35
p1_L15	19	-	=affing			M	gap: passes disagree on segmentation, needs image
p1_L15	20	=affin	=d	-2.937	-3.038	M	margin 0.35
p1_L16	1	=pouuoir	=pourvoir	-3.420	-3.265	M	margin 0.35
p1_L16	2	=ouurir	=ouvrir	-3.345	-3.356	M	margin 0.35
p1_L16	4	=csoiny	=esting	-3.235	-3.070	M	margin 0.35
p1_L17	2	120	128	-3.114	-3.344	M	margin 0.35
p1_L17	7	64	84	-3.468	-3.492	M	margin 0.35
p1_L17	16	=merveilleusement	=mesuscauoit	-2.994	-3.294	M	margin 0.35
p1_L18	1	=ay	=ny	-2.855	-2.847	M	margin 0.35
p1_L18	3	=fait	=fault	-2.872	-3.027	M	margin 0.35
p1_L18	4	=je	=Je			A	case-only, no content difference
p1_L18	5	=sol	=vol	-3.167	-3.060	M	margin 0.35
p1_L18	6	=dig	=dis	-3.152	-2.966	M	margin 0.35
p1_L18	7	=aut	=aussi	-2.985	-2.955	M	margin 0.35
p1_L19	4	64	84	-3.246	-3.462	M	margin 0.35
p1_L19	7	-	=sry			M	gap: passes disagree on segmentation, needs image
p1_L19	8	=exp	=m	-3.375	-3.373	M	margin 0.35
p1_L19	11	=et	=ou	-3.132	-3.183	M	margin 0.35
p1_L19	19	31	81	-3.375	-3.216	M	margin 0.35
p1_L20	6	=je	=Je			A	case-only, no content difference
p1_L21	15	=deu	=du	-3.385	-3.361	M	margin 0.35
p1_L22	7	=deu	=du	-3.101	-3.200	M	margin 0.35
p1_L23	1	=stauccuna	=Stancourt	-3.297	-3.127	M	margin 0.35
p1_L23	8	25	26	-3.446	-3.446	M	margin 0.35
p1_L23	11	-	=affingé			M	gap: passes disagree on segmentation, needs image
p1_L23	12	=affayd	=pourvoir	-3.166	-3.038	M	margin 0.35
p1_L23	13	=pouuoir	=aduis	-3.147	-3.176	M	margin 0.35
p1_L23	14	=aduisera	=a	-3.218	-3.227	M	margin 0.35
p1_L25	1	=col	=vol	-2.913	-2.913	M	margin 0.35
p1_L25	4	=no	=vol	-2.955	-2.919	M	margin 0.35
p1_L25	5	=lenuoyer	=renvoye	-3.121	-3.152	M	margin 0.35
p1_L25	7	=geif	=C	-3.129	-3.076	M	margin 0.35
p1_L25	8	=admis	=fadura	-3.057	-3.083	M	margin 0.35
p1_L26	6	80	86	-3.488	-3.009	B	settled
p1_L27	3	=la	=ea	-3.250	-3.284	M	margin 0.35
p1_L27	15	=alea	=Slea	-3.380	-3.384	M	margin 0.35
p1_L29	7	=dy	=D'y	-3.089	-3.104	M	margin 0.35
p1_L29	8	=entendu	=entendre	-3.137	-2.953	M	margin 0.35
p1_L29	9	=quesgune	=geusgue	-3.130	-3.157	M	margin 0.35
p1_L29	10	=fuger	=Guge	-3.068	-3.093	M	margin 0.35
p1_L29	12	=au	=aux	-3.024	-3.124	M	margin 0.35
p1_L29	13	=ffy	=psy	-3.030	-2.968	M	margin 0.35
p1_L30	15	=a	=A			A	case-only, no content difference
p1_L31	1	=gmg	=guy	-3.337	-3.337	M	margin 0.35
p1_L31	2	=go	60	-3.343	-3.344	M	margin 0.35
p1_L32	3	=autre	=austri	-2.753	-3.191	A	settled
p1_L32	12	=goulau	=Goulain	-3.275	-3.271	M	margin 0.35
p1_L32	13	=fort	=sort	-3.323	-3.306	M	margin 0.35
p1_L32	16	=nfisin	=mafessom	-3.374	-3.386	M	margin 0.35
p1_L33	1	=g	=gu	-3.367	-3.350	M	margin 0.35
p1_L34	9	=de	-			M	gap: passes disagree on segmentation, needs image
p1_L34	10	=lavans	=d'esfauons	-2.666	-2.808	M	margin 0.35
p1_L34	16	=de	=le	-3.070	-3.118	M	margin 0.35
p1_L35	3	=de	-			M	gap: passes disagree on segmentation, needs image
p1_L35	4	=fu	=d?f	-2.967	-2.968	M	margin 0.35
p1_L35	13	131	135	-3.306	-3.306	M	margin 0.35
p1_L36	9	=may	-			M	gap: passes disagree on segmentation, needs image
p1_L36	10	=n	=maya	-3.093	-3.236	M	margin 0.35
p1_L36	11	=cest	=J'est	-3.140	-3.274	M	margin 0.35
p2_L01	1	-	=puistttmuit			M	gap: passes disagree on segmentation, needs image
p2_L01	2	=quelquement	=de	-2.911	-3.101	M	margin 0.35
p2_L01	20	=gru	=que	-3.180	-2.554	B	settled
p2_L01	21	=len	=lui	-2.554	-2.936	A	settled
p2_L02	1	-	192			M	gap: passes disagree on segmentation, needs image
p2_L02	2	-	112			M	gap: passes disagree on segmentation, needs image
p2_L02	3	-	182			M	gap: passes disagree on segmentation, needs image
p2_L02	4	-	81			M	gap: passes disagree on segmentation, needs image
p2_L02	14	64	84	-3.448	-3.384	M	margin 0.35
p2_L02	20	80	50	-3.358	-3.680	M	margin 0.35
p2_L03	1	-	130			M	gap: passes disagree on segmentation, needs image
p2_L03	2	-	139			M	gap: passes disagree on segmentation, needs image
p2_L03	3	=qu	=que	-3.277	-3.135	M	margin 0.35
p2_L03	4	=sbuoiuent	=scauoit	-3.284	-3.289	M	margin 0.35
p2_L03	15	=put	=peut	-3.399	-3.407	M	margin 0.35
p2_L04	11	=moiuga	=moyen	-3.026	-2.957	M	margin 0.35
p2_L05	5	=yaa	=par	-3.265	-3.120	M	margin 0.35
p2_L05	16	-	=bien			M	gap: passes disagree on segmentation, needs image
p2_L05	17	=vet	=est	-2.923	-2.855	M	margin 0.35
p2_L06	9	-	=vu			M	gap: passes disagree on segmentation, needs image
p2_L06	10	=eu	=quel	-3.311	-3.142	M	margin 0.35
p2_L06	11	=guerguer	=que	-3.234	-2.809	B	settled
p2_L07	5	148	118	-3.529	-3.445	M	margin 0.35
p2_L07	9	=fontana	=fontaine	-3.428	-3.360	M	margin 0.35
p2_L07	20	115	118	-3.367	-2.674	B	settled
p2_L08	16	=trouue	=trouvé	-2.803	-2.764	M	margin 0.35
p2_L09	5	31	71	-3.634	-3.620	M	margin 0.35
p2_L10	9	=pres	=prest	-2.762	-2.951	M	margin 0.35
p2_L11	4	138	137	-3.278	-3.278	M	margin 0.35
p2_L11	5	37	87	-3.337	-3.224	M	margin 0.35
p2_L11	8	61	81	-3.419	-3.139	M	margin 0.35
p2_L12	6	=fg	=Il	-3.356	-3.272	M	margin 0.35
p2_L12	7	=guillaume	=Guillaume			A	case-only, no content difference
p2_L12	11	101	105	-3.371	-3.371	M	margin 0.35
p2_L12	14	=6c	=car	-3.548	-3.382	M	margin 0.35
p2_L13	14	143	145	-3.084	-3.084	M	margin 0.35
p2_L13	15	=de	=d	-3.537	-3.341	M	margin 0.35
p2_L13	16	=6	=mais	-3.537	-2.781	B	settled
p2_L13	17	=ou	120	-2.781	-2.823	M	margin 0.35
p2_L14	8	=at	=et	-3.382	-3.254	M	margin 0.35
p2_L14	18	103	108	-3.620	-3.620	M	margin 0.35
p2_L15	8	=si	=Il	-3.379	-3.203	M	margin 0.35
p2_L15	10	-	=va			M	gap: passes disagree on segmentation, needs image
p2_L15	11	=ay	=en	-3.363	-3.278	M	margin 0.35
p2_L15	12	=amy	=sfy	-3.369	-3.363	M	margin 0.35
p2_L16	6	38	78	-3.492	-3.431	M	margin 0.35
p2_L16	13	-	127			M	gap: passes disagree on segmentation, needs image
p2_L16	14	-	7			M	gap: passes disagree on segmentation, needs image
p2_L16	16	-	=g			M	gap: passes disagree on segmentation, needs image
p2_L17	3	75	78	-3.041	-2.949	M	margin 0.35
p2_L17	16	=lpfg	=frijs	-2.919	-2.883	M	margin 0.35
p2_L18	16	=34	-			M	gap: passes disagree on segmentation, needs image
p2_L18	17	=leur	=d?Len	-3.064	-3.223	M	margin 0.35
p2_L18	18	=si	61	-3.064	-3.170	M	margin 0.35
p2_L19	5	-	=fenuoyen			M	gap: passes disagree on segmentation, needs image
p2_L19	6	=fervoyer	=Gol'	-3.336	-3.387	M	margin 0.35
p2_L19	7	=coladmierg	=adressez	-3.350	-3.278	M	margin 0.35
p2_L19	8	=nara	=sera	-3.414	-3.311	M	margin 0.35
p2_L19	14	137	138	-3.424	-3.424	M	margin 0.35
p2_L20	9	=at	=ce	-3.354	-3.116	M	margin 0.35
p2_L20	11	=guel	=quel	-3.228	-2.950	M	margin 0.35
p2_L20	12	51	71	-3.206	-3.203	M	margin 0.35
p2_L20	19	=il	=Il			A	case-only, no content difference
p2_L20	22	=donne	=dans	-2.818	-3.231	A	settled
p2_L22	18	=fouuoir	=fouvoir	-3.237	-3.175	M	margin 0.35
p2_L23	8	=6	-			M	gap: passes disagree on segmentation, needs image
p2_L23	9	=boultez	=Goultjs	-3.092	-2.961	M	margin 0.35
p2_L23	10	=de	=Je	-3.071	-3.205	M	margin 0.35
p2_L24	1	101	105	-3.254	-3.254	M	margin 0.35
p2_L24	14	136	-			M	gap: passes disagree on segmentation, needs image
p2_L24	15	=6	130	-3.266	-3.266	M	margin 0.35
p2_L24	16	=oy	=Goy	-3.133	-3.142	M	margin 0.35
p2_L24	17	=leur	=len	-3.161	-3.131	M	margin 0.35
p2_L24	18	=pouuoir	=pourroit	-3.161	-2.964	M	margin 0.35
p2_L25	2	-	2			M	gap: passes disagree on segmentation, needs image
p2_L25	3	25	5	-3.373	-3.277	M	margin 0.35
p2_L25	6	-	65			M	gap: passes disagree on segmentation, needs image
p2_L25	7	-	105			M	gap: passes disagree on segmentation, needs image
p2_L25	8	66	21	-3.357	-3.463	M	margin 0.35
p2_L25	9	140	84	-3.352	-3.351	M	margin 0.35
p2_L25	10	26	4	-3.409	-3.380	M	margin 0.35
p2_L25	20	=sang	=sam	-3.185	-3.236	M	margin 0.35
p2_L25	21	=gm	=que	-3.185	-2.852	M	margin 0.35
p2_L26	1	-	85			M	gap: passes disagree on segmentation, needs image
p2_L26	2	-	148			M	gap: passes disagree on segmentation, needs image
p2_L26	3	-	120			M	gap: passes disagree on segmentation, needs image
p2_L26	4	-	=le			M	gap: passes disagree on segmentation, needs image
p2_L26	5	-	=parlé			M	gap: passes disagree on segmentation, needs image
p2_L26	17	=le	-			M	gap: passes disagree on segmentation, needs image
p2_L26	18	=moiuga	-			M	gap: passes disagree on segmentation, needs image
p2_L26	19	=auoir	-			M	gap: passes disagree on segmentation, needs image
p2_L26	20	70	-			M	gap: passes disagree on segmentation, needs image
p2_L26	21	10	-			M	gap: passes disagree on segmentation, needs image
p2_L26	22	25	-			M	gap: passes disagree on segmentation, needs image
p2_L26	23	77	-			M	gap: passes disagree on segmentation, needs image
p2_L26	24	85	-			M	gap: passes disagree on segmentation, needs image
p2_L26	25	24	-			M	gap: passes disagree on segmentation, needs image
p2_L28	1	102	-			M	gap: passes disagree on segmentation, needs image
p2_L28	8	=at	=arG	-3.123	-3.250	M	margin 0.35
p2_L29	7	145	148	-3.396	-3.396	M	margin 0.35
p2_L29	9	=fd	=fb	-3.450	-3.527	M	margin 0.35
p2_L29	11	81	83	-3.454	-3.454	M	margin 0.35
p2_L29	19	=la	=La			A	case-only, no content difference
p2_L29	20	=isso	=iso	-3.200	-3.180	M	margin 0.35
p2_L30	5	=dla	=deca	-2.927	-2.927	M	margin 0.35
p2_L30	17	=loy	-			M	gap: passes disagree on segmentation, needs image
p2_L30	18	=nol	-			M	gap: passes disagree on segmentation, needs image
p2_L30	19	=affiver	=loynolapitmor	-3.300	-3.416	M	margin 0.35
p2_L31	17	38	39	-3.243	-3.243	M	margin 0.35
p2_L31	19	=6	-			M	gap: passes disagree on segmentation, needs image
p2_L31	20	=boil	=Goul	-2.876	-2.903	M	margin 0.35
p2_L31	21	=suppli	=suppl	-2.787	-2.880	M	margin 0.35
p2_L32	1	=d	-			M	gap: passes disagree on segmentation, needs image
p2_L32	2	=no	-			M	gap: passes disagree on segmentation, needs image
p2_L32	3	=q	-			M	gap: passes disagree on segmentation, needs image
p2_L32	4	=boulois	=Dumo	-3.058	-3.076	M	margin 0.35
p2_L32	5	=manda	=Goulois	-3.077	-3.187	M	margin 0.35
p2_L32	6	=ou	=mande	-3.049	-2.863	M	margin 0.35
p2_L32	7	=aduis	=adui	-3.159	-3.136	M	margin 0.35
p2_L32	8	=cau	=Cau			A	case-only, no content difference
p2_L32	9	=flg	=fz	-3.245	-3.246	M	margin 0.35
p2_L33	5	=cause	=Jos	-2.692	-3.101	A	settled
p2_L33	21	=et	-			M	gap: passes disagree on segmentation, needs image
p3_L01	11	=la	=La			A	case-only, no content difference
p3_L01	12	26	25	-3.287	-3.591	M	margin 0.35
p3_L01	20	=pour	=dont	-3.066	-3.256	M	margin 0.35
p3_L01	21	=go	=Gol	-3.066	-3.122	M	margin 0.35
p3_L01	22	=ag	=ay	-3.066	-3.066	M	margin 0.35
p3_L02	1	=faict	=faut	-2.786	-3.142	A	settled
p3_L02	2	=autrey	=entrer	-2.794	-2.564	M	margin 0.35
p3_L02	4	-	=ce			M	gap: passes disagree on segmentation, needs image
p3_L02	5	=cy	=que	-2.957	-2.703	M	margin 0.35
p3_L02	6	=disant	=savoir	-3.098	-3.156	M	margin 0.35
p3_L02	7	=af	=ce	-3.154	-3.087	M	margin 0.35
p3_L02	8	=sana	=sans	-3.255	-3.174	M	margin 0.35
p3_L02	9	=autrem	=aucune	-3.361	-3.347	M	margin 0.35
p3_L02	10	=auditrey	=entretien	-3.410	-3.140	M	margin 0.35
p3_L03	3	=6	=Gol	-3.308	-3.379	M	margin 0.35
p3_L03	6	=auiz	=avlez	-3.316	-3.203	M	margin 0.35
p3_L03	18	=destre	=lestuduo	-2.910	-2.963	M	margin 0.35
p3_L03	19	=6	6	-2.910	-2.917	M	margin 0.35
p3_L03	22	=sungefir	=sengaser	-3.341	-3.248	M	margin 0.35
p3_L04	1	=toui	=vira	-3.390	-3.350	M	margin 0.35
p3_L04	18	115	116	-3.166	-3.363	M	margin 0.35
p3_L05	6	=de	-			M	gap: passes disagree on segmentation, needs image
p3_L05	7	=soy	=descoy	-3.196	-3.017	M	margin 0.35
p3_L05	8	=fait	=fis	-3.156	-3.351	M	margin 0.35
p3_L06	6	=d	-			M	gap: passes disagree on segmentation, needs image
p3_L06	7	81	=D'81	-3.117	-3.214	M	margin 0.35
p3_L06	13	=goulut	-			M	gap: passes disagree on segmentation, needs image
p3_L06	14	=pouuoir	=Goulez	-3.098	-3.224	M	margin 0.35
p3_L06	15	6	=prouvoir	-3.058	-3.062	M	margin 0.35
p3_L07	11	70	130	-3.336	-3.257	M	margin 0.35
p3_L08	1	=gm	=gu	-3.350	-3.350	M	margin 0.35
p3_L08	17	=oultra	-			M	gap: passes disagree on segmentation, needs image
p3_L08	18	=fu	=oultrafre	-3.395	-3.295	M	margin 0.35
p3_L09	9	=de	-			M	gap: passes disagree on segmentation, needs image
p3_L09	10	=mistre	=d'histoire	-3.029	-3.147	M	margin 0.35
p3_L09	13	71	78	-3.346	-3.339	M	margin 0.35
p3_L10	6	=coudroins	=Coudroins			A	case-only, no content difference
p3_L11	3	-	=et			M	gap: passes disagree on segmentation, needs image
p3_L11	4	=at	=encores	-3.192	-3.126	M	margin 0.35
p3_L11	5	=mrcubet	=noust	-3.066	-2.803	M	margin 0.35
p3_L11	9	-	91			M	gap: passes disagree on segmentation, needs image
p3_L11	10	-	124			M	gap: passes disagree on segmentation, needs image
p3_L12	2	=disons	=d'auec	-2.556	-3.008	A	settled
p3_L12	14	=les	=La	-2.896	-2.917	M	margin 0.35
p3_L12	15	=grandes	=grande	-2.877	-2.828	M	margin 0.35
p3_L12	16	=orraisons	=oraine	-2.905	-2.912	M	margin 0.35
p3_L12	19	65	61	-3.339	-3.339	M	margin 0.35
p3_L14	4	=la	=La			A	case-only, no content difference
p3_L14	10	131	121	-3.236	-3.236	M	margin 0.35
p3_L14	11	128	120	-3.261	-3.431	M	margin 0.35
p3_L14	14	=lauez	-			M	gap: passes disagree on segmentation, needs image
p3_L14	15	=cu	=l'anx	-3.262	-3.137	M	margin 0.35
p3_L14	16	=vaya	=sait	-3.312	-3.272	M	margin 0.35
p3_L14	20	25	21	-3.553	-3.553	M	margin 0.35
p3_L15	5	125	121	-3.367	-3.367	M	margin 0.35
p3_L15	13	=lest	-			M	gap: passes disagree on segmentation, needs image
p3_L15	14	=bien	=let	-2.720	-2.986	M	margin 0.35
p3_L15	15	=inutile	=Gien	-2.736	-2.733	M	margin 0.35
p3_L15	16	=de	=nourdlon	-2.883	-3.030	M	margin 0.35
p3_L15	17	=nuire	=famines	-3.020	-3.045	M	margin 0.35
p3_L16	1	=je	-			M	gap: passes disagree on segmentation, needs image
p3_L16	2	=no	=si	-3.012	-3.061	M	margin 0.35
p3_L16	3	=6	=m'God	-2.982	-3.147	M	margin 0.35
p3_L16	4	=escripra	=escripa	-2.976	-2.984	M	margin 0.35
p3_L16	6	=ora	-			M	gap: passes disagree on segmentation, needs image
p3_L16	7	=dun	=ma	-3.194	-3.159	M	margin 0.35
p3_L16	8	=pouuez	=daig	-3.241	-3.366	M	margin 0.35
p3_L16	9	=ici	=pouvoir	-3.209	-3.046	M	margin 0.35
p3_L16	11	80	70	-3.292	-3.204	M	margin 0.35
p3_L17	9	38	33	-3.404	-3.419	M	margin 0.35
p3_L17	12	8	3	-3.346	-3.346	M	margin 0.35
p3_L17	18	150	130	-2.931	-2.931	M	margin 0.35
p3_L18	1	8	6	-3.386	-3.386	M	margin 0.35
p3_L18	18	=6	-			M	gap: passes disagree on segmentation, needs image
p3_L18	19	=boil	=d?Gol	-3.219	-3.278	M	margin 0.35
p3_L18	21	81	61	-3.219	-3.082	M	margin 0.35
p3_L19	1	-	1			M	gap: passes disagree on segmentation, needs image
p3_L19	2	-	31			M	gap: passes disagree on segmentation, needs image
p3_L19	3	83	29	-3.338	-3.396	M	margin 0.35
p3_L19	4	71	84	-3.313	-3.230	M	margin 0.35
p3_L19	5	100	24	-3.362	-3.518	M	margin 0.35
p3_L19	6	100	84	-3.336	-3.329	M	margin 0.35
p3_L19	7	70	102	-3.336	-3.347	M	margin 0.35
p3_L19	8	60	3	-3.355	-3.377	M	margin 0.35
p3_L19	10	20	26	-3.288	-3.500	M	margin 0.35
p3_L19	19	-	=Aprys			M	gap: passes disagree on segmentation, needs image
p3_L19	20	=affuign	=gm	-3.302	-3.326	M	margin 0.35
p3_L20	1	100	148	-3.082	-3.344	M	margin 0.35
p3_L20	2	101	143	-3.046	-3.439	A	settled
p3_L20	4	-	60			M	gap: passes disagree on segmentation, needs image
p3_L20	9	=quel	=gu	-2.857	-3.219	A	settled
p3_L20	10	=estat	=etat	-2.693	-2.855	M	margin 0.35
p3_L20	13	=gostz	=forces	-2.980	-2.507	B	settled
p3_L20	14	180	150	-2.731	-2.731	M	margin 0.35
p3_L20	16	=ne	-			M	gap: passes disagree on segmentation, needs image
p3_L20	17	=fceipt	-			M	gap: passes disagree on segmentation, needs image
p3_L20	18	=guis	-			M	gap: passes disagree on segmentation, needs image
p3_L20	19	=auoir	-			M	gap: passes disagree on segmentation, needs image
p3_L20	20	=tenu	-			M	gap: passes disagree on segmentation, needs image
p3_L20	21	=de	=m'escript	-3.117	-3.154	M	margin 0.35
p3_L21	1	114	104	-3.233	-3.302	M	margin 0.35
p3_L21	12	151	251	-3.339	-3.339	M	margin 0.35
p3_L21	17	-	118			M	gap: passes disagree on segmentation, needs image
p3_L21	18	=mande	4	-2.862	-3.363	A	settled
p3_L21	19	=gm	25	-2.601	-2.582	M	margin 0.35
p3_L22	13	38	30	-3.457	-3.457	M	margin 0.35
p3_L22	16	=aftr	=a	-3.355	-3.344	M	margin 0.35
p3_L22	23	21	-			M	gap: passes disagree on segmentation, needs image
p3_L22	24	10	-			M	gap: passes disagree on segmentation, needs image
p3_L22	25	55	-			M	gap: passes disagree on segmentation, needs image
p3_L22	26	150	-			M	gap: passes disagree on segmentation, needs image
p3_L22	27	125	-			M	gap: passes disagree on segmentation, needs image
p3_L23	9	=mesurect	=meschief	-2.962	-3.032	M	margin 0.35
p3_L23	11	=mesme	=meur	-2.840	-2.814	M	margin 0.35
p3_L23	13	=maffineroy	-			M	gap: passes disagree on segmentation, needs image
p3_L23	14	=6	=mafessom	-2.966	-3.139	M	margin 0.35
p3_L23	15	=la	=cela	-2.976	-3.043	M	margin 0.35
p3_L23	20	85	-			M	gap: passes disagree on segmentation, needs image
p3_L23	21	64	-			M	gap: passes disagree on segmentation, needs image
p3_L23	22	104	-			M	gap: passes disagree on segmentation, needs image
p3_L23	23	73	-			M	gap: passes disagree on segmentation, needs image
p3_L23	24	33	-			M	gap: passes disagree on segmentation, needs image
p3_L24	1	-	=La			M	gap: passes disagree on segmentation, needs image
p3_L24	2	-	28			M	gap: passes disagree on segmentation, needs image
p3_L24	3	-	7			M	gap: passes disagree on segmentation, needs image
p3_L24	4	-	112			M	gap: passes disagree on segmentation, needs image
p3_L24	5	-	101			M	gap: passes disagree on segmentation, needs image
p3_L24	6	-	72			M	gap: passes disagree on segmentation, needs image
p3_L24	7	-	104			M	gap: passes disagree on segmentation, needs image
p3_L24	8	9	111	-3.363	-3.388	M	margin 0.35
p3_L25	7	=estre	-			M	gap: passes disagree on segmentation, needs image
p3_L25	8	=isuivue	-			M	gap: passes disagree on segmentation, needs image
p3_L25	9	53	-			M	gap: passes disagree on segmentation, needs image
p3_L25	10	90	-			M	gap: passes disagree on segmentation, needs image
p3_L25	11	63	-			M	gap: passes disagree on segmentation, needs image
p3_L25	12	104	=otte	-3.408	-3.402	M	margin 0.35
p3_L25	13	74	=Tehussy	-3.367	-3.379	M	margin 0.35
p3_L25	14	34	77	-3.381	-3.363	M	margin 0.35
p3_L25	15	15	85	-3.251	-3.026	M	margin 0.35
p3_L25	16	115	113	-3.265	-3.265	M	margin 0.35
p3_L26	7	=du	=de	-3.062	-2.789	M	margin 0.35
p3_L26	11	-	=crest			M	gap: passes disagree on segmentation, needs image
p3_L26	12	=este	6	-3.086	-3.293	M	margin 0.35
p3_L27	7	=gm	-			M	gap: passes disagree on segmentation, needs image
p3_L27	8	=sy	=quirty	-3.294	-3.378	M	margin 0.35
p3_L27	9	=fua	=fba	-3.282	-3.285	M	margin 0.35
p3_L28	1	=il	=Il			B	case-only, no content difference
p3_L28	2	=auoit	=auois	-3.302	-3.282	M	margin 0.35
p3_L28	3	=guelque	=quiquant	-3.302	-3.116	M	margin 0.35
p3_L28	8	75	-			M	gap: passes disagree on segmentation, needs image
p3_L28	10	=cau	-			M	gap: passes disagree on segmentation, needs image
p3_L28	11	=au	-			M	gap: passes disagree on segmentation, needs image
p3_L28	12	=ny	-			M	gap: passes disagree on segmentation, needs image
p3_L28	13	=bicy	-			M	gap: passes disagree on segmentation, needs image
p3_L28	14	=faudroins	-			M	gap: passes disagree on segmentation, needs image
p3_L29	5	=cau	=cav	-3.097	-3.102	M	margin 0.35
p3_L29	6	=ffg	=iz	-3.079	-3.072	M	margin 0.35
p3_L29	7	=augmentation	=conquestat	-3.100	-3.319	M	margin 0.35
p3_L29	8	59	19	-3.077	-3.059	M	margin 0.35
p3_L29	12	=pour	-			M	gap: passes disagree on segmentation, needs image
p3_L29	13	=fs	-			M	gap: passes disagree on segmentation, needs image
p3_L29	14	21	-			M	gap: passes disagree on segmentation, needs image
p3_L29	15	81	-			M	gap: passes disagree on segmentation, needs image
p3_L29	16	31	-			M	gap: passes disagree on segmentation, needs image
p3_L29	17	101	-			M	gap: passes disagree on segmentation, needs image
p3_L29	18	22	-			M	gap: passes disagree on segmentation, needs image
p3_L30	7	133	73	-3.487	-3.418	M	margin 0.35
p3_L30	10	=sinon	-			M	gap: passes disagree on segmentation, needs image
p3_L30	11	=a	-			M	gap: passes disagree on segmentation, needs image
