kind	cluster	sign_id	desc	confidence
sign	31	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents OX-TILDE 9, XX-TILDE 5, DOTS-TILDE 3, OO-TILDE 2, ...] was MISC-31: mixed swirl/hook variants ("ox" pairs, spiral), n=22 -- not one shape	L
sign	32	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents BLOB 7, _ 3, CROSS-T 1] was MISC-32: mixed solid blocks (square/triangle/arrow), n=11 -- not one shape	L
sign	33	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-DASH2 8, O-TILDE 6, II-DASH 2, BUCKET 1, ...] was MISC-33: mixed hook/circle-tailed shapes, n=18 -- not one shape	L
sign	34	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PHI 8, MULTI 1] was PHI: phi-like: loop crossed by a vertical stroke	H
sign	35	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents BAR-THIN 2, PICT-TREE 2, DOLLAR 1, X-DOT 1] was MISC-35: mixed thin marks (line/small figure/X), n=6 -- not one shape	L
sign	36	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents C-BAR-X 4, X-CURL 3, OX-TILDE 2, QQ-O 1, ...] was MISC-36: mixed complex squiggles, n=14 -- not one shape	L
sign	37	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X-CURL 4, O-SLASH 2, C-BAR-X 1, NINE-BAR 1, ...] was MISC-37: mixed complex squiggles (bird-like/hook), n=12 -- not one shape	L
sign	38	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents CIRC-O 4, _ 4, C-DOT 2, DBL-SLASH 2, ...] was CIRC-TAIL: circle or loop with a small tail/hook	M
sign	39	TRIDENT	trident/psi-like fork (V with extra prong)	H
sign	40	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents II-DASH 2, MULTI 1, LOOP-TAIL 1, Y-CURL 1, ...] was MISC-40: mixed small glyphs (bird-track/staff/circle-crossbar), n=9 -- not one shape	L
sign	41	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents SCROLL-X 4, X-SLASH 2, QQ-O 1, PICT-BARREL 1, ...] was MISC-41: mixed ornate scissor-like shapes, n=14 -- not one shape	L
sign	42	CIRC-O	plain circle/donut (letter O / zero-like)	H
sign	43	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents MULTI 4, F-LETTER 1, Y-LOOPS 1, V-LOOP 1, ...] was MISC-43: mixed ornate (V-loop/box/staff/hook), n=12 -- not one shape	L
sign	44	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents C-DOT 4, O-DASH2 2, PICT-FACE 1, SIX-CURL 1, ...] was CRESCENT: crescent/C-shape, moon-like	H
sign	45	BAR-SOLID	solid vertical bar, clean, same family as c8/c10	M
sign	46	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X-SLASH 3, PCT-SLASH 2, HASH 1, II-DASH 1, ...] was MISC-46: mixed pct-ish plus rare letters (A, T), n=14 -- not one shape	L
sign	47	X	clean X, tall	H
sign	48	CROSS-T	Latin cross / dagger (cross with horizontal bar near top)	H
sign	49	VENUS	loop over a small cross/tail (Venus-symbol-like)	H
sign	50	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents QUESTION 2, _ 1, BAR-THIN 1, QQ-O 1] was MISC-50: small mixed marks (short vertical + dot), n=5 -- possibly attribute marks misclassified as signs	L
sign	51	BAR-THIN	thin vertical bar/dashed variant, same family as c12	M
sign	52	X	X with a small loop/tail at the base (variant)	M
sign	53	X	bold doubled X / starburst variants	M
sign	54	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PHI 2, C-DOT 2, A-LOOP 2, O-SLASH 1, ...] was MISC-54: mixed ornate loop-with-descender (bird-head-like), n=10 -- not one shape	L
sign	55	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents BLOB 18] was MISC-55: mixed solid filled rounded/blocky shapes, n=18 -- several distinct solid pictograms, not one shape	L
sign	56	X	clean X	H
sign	57	PCT	percent-like variants (a few outliers: T, ?)	M
sign	58	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents WAVE 3, XX-TILDE 1, DOTS-TILDE 1] was WAVE: small wave/zigzag, same family as c27	M
sign	59	VEE	V or checkmark stroke	H
sign	60	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PICT-HORSE 1, PICT-EAGLE 1, PICT-LEAF 1, PICT-BIRD 1, ...] was MISC-60: rare pictograms (animal/bird silhouettes), n=6 -- likely several distinct pictograms, not one sign	L
sign	61	DASH-H	short horizontal dash/bar	H
sign	62	X	X with curl/dot variant	M
sign	63	NOTE	loop with descending tail (musical-note/letter-b-like)	H
sign	64	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents DOUBLE-LOOP 2, BUCKET 1, PICT-FISH 1, PICT-JUG 1, ...] was MISC-64: mixed boxy pictograms (bucket/boxed-M/hook/U/star), n=7 -- not one shape	L
sign	65	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents A-LOOP 6, PCT-SLASH 2, PCT 1, X 1, ...] was TRIPOD: triangular/tripod-like shape with legs	M
sign	66	PCT	percent-like, heavy confirming cluster, same family as c9/c57	H
sign	67	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents STAR 3, QQ-O 2, ARCH-DASH 2, CC-DOT 1, ...] was MISC-67: mixed ornate loop pictograms (M-shape/asterisk/spiral), n=17 -- not one shape	L
sign	68	CROSS-T	Latin cross / dagger, bold variant, same family as c48	M
sign	69	AMP	ampersand-like ligature (loop + crossbar)	H
sign	70	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents WAVE 7, O-TILDE 1, O-SLASH 1, CC-O 1, ...] was WAVE: larger/ornate wave/S-curve, same family as c27/c58	M
sign	71	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents LAMBDA 1, LAMBDA-DASH 1, A-LOOP 1, ARC-LOOPS 1, ...] was MISC-71: mixed pictograms (crown-like/winged-T/moon+circle), n=7 -- not one shape	L
sign	72	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents LOOP-STEM 7] was RHO: loop with descending tail (rho/P-like)	H
sign	73	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents CIRC-O 12, _ 1] was EYE-DOT: solid round shape with a white gap/dot (eye-like)	M
sign	74	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-TILDE 3, PICT-ARROW 1, VEE 1] was MISC-74: mixed small hook/check shapes, n=5 -- not one shape	L
sign	75	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X 4, II-DASH 2, VENUS 1, VEE 1, ...] was MISC-75: bold X/dagger-like variants, ambiguous between X and CROSS-T families	L
sign	76	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X-BAR 1, EIGHT 1, PICT-BOTTLE 1, _ 1, ...] was MISC-76: mixed ornate (H-ladder/bottle/pct/spiral), n=11 -- not one shape	L
sign	77	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents DAGGER-O 13, MULTI 2, DIAMOND 1, NINE 1, ...] was DELTA-TAIL: circle/loop with a tail, cursive-delta-like	M
sign	78	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-SLASH 3] was MISC-78: mixed bird-head/hook shapes, n=3, small sample	L
sign	79	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents WAVE-V 2, PICT-RUNNER 1, O-SLASH 1, O-BAR-O 1] was MISC-79: mixed small squiggle/hook, n=5, small sample	L
sign	80	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X 5, _ 1] was MISC-80: bold X/star with cross-hatching, uncertain X-family variant	L
sign	81	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X-DOT 1, X-SLASH 1, X-O 1] was MISC-81: mixed small (arrow-circle/star/X), n=3, small sample	L
sign	82	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents CC-DASH 4, II-DASH 2, DOUBLE-LOOP 2, C-DOT 1, ...] was MISC-82: mixed circle/loop varieties (tally/tadpole/teardrop), n=11 -- not one shape	L
sign	83	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PICT-TREE 3, S-CURL 1, PICT-ARROW 1] was MISC-83: mixed pictogram (bird/scepter/checkmark), n=5, small sample	L
sign	84	X	clean bold X	H
sign	85	V-DOT	V/vee with a dot above	M
sign	86	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents PHI 9, VEE 1, QUESTION 1] was PHI: phi-like loop-with-vertical-stroke, same family as c34	H
sign	87	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents X 2, VENUS 1, SIX-CURL 1, X-BAR 1, ...] was MISC-87: mixed ornate (staff/loop/pct/Venus-like), n=10 -- not one shape	L
sign	88	Y-CURL	Y/chi-fork/dagger-tail, same family as c19 (or possibly a key pictogram)	M
sign	89	PER-BOX	[GOLD-4C 25 Sept 2026: split per box by eye, see box_labels.tsv; contents O-DASHBELOW 2, NINE 2, CC-DASH 1, NINE-BAR 1] was LOOP-TAIL: small loop-tail variant, same family as c23	M
mark	0	M-TILDE	short horizontal wave/tilde above the sign	H
mark	1	M-DOT-FLAG	small flag-like blob mark	M
mark	2	M-RING	small ring/donut mark	H
mark	3	M-DOT	solid small dot/block mark (most common mark)	H
mark	4	M-TICK-V	short vertical tick mark	H
mark	5	M-DASH-H	short horizontal dash mark (very common)	H
mark	6	M-LOOP-SM	small loop/circle variant mark	M
mark	7	M-DOT	solid block variant, same family as m3	M
mark	8	M-RING	donut/circle small, same family as m2	M
mark	9	M-TICK-V	thin vertical tick, same family as m4	M
mark	10	M-TILDE	wavy squiggle, same family as m0	M
mark	11	M-TICK-V	tick/curl mix, same family as m4 -- heterogeneous, lower confidence	L
mark	12	MISC-M12	mixed tick/flag shapes, n=21 -- not one mark	L
mark	13	M-SLASH-SM	short diagonal tick	M
mark	14	MISC-M14	single caret/chevron mark, n=1	L
mark	15	M-RING	mixed round blobs, same family as m2, n=13	L
mark	16	MISC-M16	single distinct blob, n=1	L
mark	17	M-DASH-H	horizontal dash variant, same family as m5	M
mark	18	MISC-M18	single hook mark, n=1	L
mark	19	MISC-M19	single hook mark, n=1	L
