code	letter	surtees_page	printed_as	context_surtees	context_csp	other_occurrences_surtees	identification	grade	reasoning
149	CLXXXVII (7 Apr 1583)	405	149	either dissembleth or is abused, knowing 870 to be so entangled as he cannot abandon 149, 19, 29, and 85. Therefore it is mete that he be won from 870, and nevertheless kee	token count only (running text unreadable): p369:0;p370:0;p371:0	CCXXXII.x1 CCXXXVI.x1 CLXIII.x2 CLXXXIX.x4	Henri III, King of France	M	'an ambassador ... from 149 into this realm' (CCXXXII); '23 had dealt with Mauvisier to persuade 140 [149] to send hither an ambassador' (CCXXXVI); '149 might chiefly advance 91 greatness' (CLXIII); heads both lists '149, 19, 29/23, and 85'. Alternative: Catherine de Medici. Not in CSP p.371 token bag. Settle: key or CSP p.371 running text
19	CLXXXVII (7 Apr 1583)	405	19	r dissembleth or is abused, knowing 870 to be so entangled as he cannot abandon 149, 19, 29, and 85. Therefore it is mete that he be won from 870, and nevertheless keep h	token count only (running text unreadable): p369:0;p370:0;p371:0	CLXXXIX.x3 CXXIILx1	Henri, Duke of Guise	M	'149 and 19 will not give full credit ... until advertised by Manningville' (Maineville, Guise's agent, CLXXXIX); second in both lists after 149; '19 is come into Piccardy with the French army' (CXXIII, 1582). Alternative: Anjou. Weak. Settle: key
29	CLXXXVII (7 Apr 1583)	405	29	ssembleth or is abused, knowing 870 to be so entangled as he cannot abandon 149, 19, 29, and 85. Therefore it is mete that he be won from 870, and nevertheless keep him- 	token count only (running text unreadable): p369:0;p370:0;p371:0	-	probably = 23, Mary Queen of Scots (misprint or OCR for 23)	M	occurs once only; the same list a week later reads '149, 19, 23, and 85' (CLXXXIX); 23 = Mary: '23 had dealt with Mauvisier', 'to have intelligence with 23 will satisfy G. Douglas' (CCXLIII), 'at the request of 23 an ambassador ... from 149'. Settle: print page image of p.405 and the MS f.196
85	CLXXXVII (7 Apr 1583)	405	85	 or is abused, knowing 870 to be so entangled as he cannot abandon 149, 19, 29, and 85. Therefore it is mete that he be won from 870, and nevertheless keep him- self in t	token count only (running text unreadable): p369:0;p370:0;p371:0	CLXXXIX.x1	unread (candidates: King of Spain, the Pope, the Queen Mother, Archbishop Beaton)	-	only in the two lists '149, 19, 29/23, and 85' (CLXXXVII, CLXXXIX): a fourth foreign patron of Lennox and Mary; CSP p.567 has a token 85 in the 31 Jul entry, context unreadable. Settle: key or CSP p.567 text
870	CLXXXVII (7 Apr 1583)	405	870	as he cannot abandon 149, 19, 29, and 85. Therefore it is mete that he be won from 870, and nevertheless keep him- self in the good opinion of 870. Lastly, for his better 	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
870	CLXXXVII (7 Apr 1583)	405	870	ete that he be won from 870, and nevertheless keep him- self in the good opinion of 870. Lastly, for his better success, it shall be good that he bring with him some cred	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
870	CLXXXVII (7 Apr 1583)	405	870	, for his better success, it shall be good that he bring with him some credit from 870 and others in 54 ; and that he make it known that 870 hath appointed him to return	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
54	CLXXXVII (7 Apr 1583)	405	54	uccess, it shall be good that he bring with him some credit from 870 and others in 54 ; and that he make it known that 870 hath appointed him to return to him with repo	token count only (running text unreadable): p369:0;p370:0;p371:1	CCXL.x1	France (the French)	M	'credit from 870 and others in 54' (a place, CLXXXVII); 'favour ... of 54, and chiefly of the duke of Guyse' (CCXL). CSP pp.371 and 567 keep 54. Settle: key
870	CLXXXVII (7 Apr 1583)	405	870	g with him some credit from 870 and others in 54 ; and that he make it known that 870 hath appointed him to return to him with report of the present state and resolution 	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
870	CLXXXVII (7 Apr 1583)	405	870	 order ; which, upon the re- ceipt, I shall gladly accomplish. Albeit, I am sure that 870 will speedily advertise 91 of all this matter, and send him the doubles of all thin	token count only (running text unreadable): p369:0;p370:0;p371:7	CLXXXIX.x8 CXV.x1 CXVIII.x6	Esme Stewart, Duke of Lennox	M	in France with Cobham and Smallet Apr 1583; Glencairn commended Smallet to him; to 'return this summer into 70' with French forces (CLXXXIX); in Scotland 1582 entertaining Venables (CXVIII); last use Apr 1583, before Lennox's death 26 May 1583. Settle: Bowes/Cary cipher key (the 'cypher left me by Sir George Cary', CLXXXVII) or a decipher with the name
91	CLXXXVII (7 Apr 1583)	405	91	 ceipt, I shall gladly accomplish. Albeit, I am sure that 870 will speedily advertise 91 of all this matter, and send him the doubles of all things to be either delivered 	token count only (running text unreadable): p369:0;p370:0;p371:3	CCLXII.x1 CCLXIV.x1 CCLXVII.x2 CCLXVIII.x1 CCXVII.x1 CCXXXI.x1 CCXXXII.x3 CCXXXVI.x7 CLXIII.x6 CLXXXIX.x3 CXLVI.x1 CXLVII.x1 CXXIx2	James VI, King of Scots	M	'223 shall be on his knees before 91 and council' (CCXXXVI, Gowrie's submission); 'offers to 91 and the lords' (CLXXXIX); 'advance 91 greatness' (CLXIII). CSP vi p.371 keeps 91 (x3, as Surtees). Settle: key
32	CLXXXVII (7 Apr 1583)	405	32	 this course in hand should be discovered by any mean proceeding by the minister of 32, or that the enterprises in this late action should understand the same; and I am t	token count only (running text unreadable): p369:0;p370:0;p371:1	CCXL.x2 CCXXILx1 CCXXXVI.x6 CLXIII.x2 CLXXXIX.x1 CXCIVx1 CXVIII.x1	Queen Elizabeth / England	M	'win 870 to 32 devotion', 'the minister of 32' (CLXXXVII); 'betwixt 32 and him for the delivery of 0100 to 32' (CCXL); '32 hath shaken him off ... run headlong the course of France' (CCXXXVI). CSP p.371 keeps 32. Settle: key
91	CLXXXVII (7 Apr 1583)	405	91	is realm, whose advice is worthy asking, that it shall be soon after disclosed to 91, and also to the im- poBerti aforesaid, whereby the purpose in band shall be defeat,	token count only (running text unreadable): p369:0;p370:0;p371:3	CCLXII.x1 CCLXIV.x1 CCLXVII.x2 CCLXVIII.x1 CCXVII.x1 CCXXXI.x1 CCXXXII.x3 CCXXXVI.x7 CLXIII.x6 CLXXXIX.x3 CXLVI.x1 CXLVII.x1 CXXIx2	James VI, King of Scots	M	'223 shall be on his knees before 91 and council' (CCXXXVI, Gowrie's submission); 'offers to 91 and the lords' (CLXXXIX); 'advance 91 greatness' (CLXIII). CSP vi p.371 keeps 91 (x3, as Surtees). Settle: key
223	CCXL (31 Jul 1583)	530	223	 CCXL.— " The Private Letter of the same date." From the Tins day Glencarne and 223 have given me understanding that the King and sundry of the council especially chosen	token count only (running text unreadable): p564:0;p565:0;p566:1;p567:0	CCLXII.x2 CCLXIII.x1 CCLXVII.x4 CCXXXI.x1 CCXXXII.x1 CCXXXVI.x2	William Ruthven, 1st Earl of Gowrie	M	'223 shall be on his knees before 91 and council, to acknowledge his fault done at Ruthen' (CCXXXVI); in CCXL 223 cannot consent to condemn 'that act done by him and others' (the Ruthven raid); '91 doth stand so fast to 223' (CCLXVII, the treasurer); CSP p.566 keeps 223. Caveat: CCXL also prints 'Gowrye' in clear in the same passage. Settle: key or MS f.299
223	CCXL (31 Jul 1583)	531	223	that he hath done by his late submission at Ruthen shall nothing avail him. In this 223 hath sent for mine advice ; wherein I have let him see that he cannot with honour 	token count only (running text unreadable): p564:0;p565:0;p566:1;p567:0	CCLXII.x2 CCLXIII.x1 CCLXVII.x4 CCXXXI.x1 CCXXXII.x1 CCXXXVI.x2	William Ruthven, 1st Earl of Gowrie	M	'223 shall be on his knees before 91 and council, to acknowledge his fault done at Ruthen' (CCXXXVI); in CCXL 223 cannot consent to condemn 'that act done by him and others' (the Ruthven raid); '91 doth stand so fast to 223' (CCLXVII, the treasurer); CSP p.566 keeps 223. Caveat: CCXL also prints 'Gowrye' in clear in the same passage. Settle: key or MS f.299
189	CCXL (31 Jul 1583)	532	189	 that he should be kept in like sort as his mother is. Moreover upon suit made to 189 for the relief of Drumquhassell, 1S9 said that he must be examined what had passed 	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:0	-	John Graham, 3rd Earl of Montrose	C	Tomokiyo 24 Sept 2026: MS f.196 has 189 where the Surtees print has 'Montrosse' (CLXXXVII); CSP vi p.371 token bag has Montrose and no 189. CCXL use (suit to 189 for Drumquhassell's relief) consistent with a council lord
189	CCXL (31 Jul 1583)	532	1S9	t as his mother is. Moreover upon suit made to 189 for the relief of Drumquhassell, 1S9 said that he must be examined what had passed betwixt 32 and him for the de- liver	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:0	-	John Graham, 3rd Earl of Montrose	C	Tomokiyo 24 Sept 2026: MS f.196 has 189 where the Surtees print has 'Montrosse' (CLXXXVII); CSP vi p.371 token bag has Montrose and no 189. CCXL use (suit to 189 for Drumquhassell's relief) consistent with a council lord
32	CCXL (31 Jul 1583)	532	32	e relief of Drumquhassell, 1S9 said that he must be examined what had passed betwixt 32 and him for the de- livery of 0100 to 32. Besides the King is noted by sundry hone	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:0	CCXXILx1 CCXXXVI.x6 CLXIII.x2 CLXXXIX.x1 CLXXXVILx2 CXCIVx1 CXVIII.x1	Queen Elizabeth / England	M	'win 870 to 32 devotion', 'the minister of 32' (CLXXXVII); 'betwixt 32 and him for the delivery of 0100 to 32' (CCXL); '32 hath shaken him off ... run headlong the course of France' (CCXXXVI). CSP p.371 keeps 32. Settle: key
0100	CCXL (31 Jul 1583)	532	0100	 that he must be examined what had passed betwixt 32 and him for the de- livery of 0100 to 32. Besides the King is noted by sundry honest persons about him to be carried 	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:0	-	unread (candidates: the King, Dumbarton Castle)	-	once only: Drumquhassell to be examined on 'what had passed betwixt 32 and him for the delivery of 0100 to 32' (CCXL). Not in CSP pp.564-567 token bags. Settle: key or CSP p.566-567 text
32	CCXL (31 Jul 1583)	532	32	 must be examined what had passed betwixt 32 and him for the de- livery of 0100 to 32. Besides the King is noted by sundry honest persons about him to be carried away wi	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:0	CCXXILx1 CCXXXVI.x6 CLXIII.x2 CLXXXIX.x1 CLXXXVILx2 CXCIVx1 CXVIII.x1	Queen Elizabeth / England	M	'win 870 to 32 devotion', 'the minister of 32' (CLXXXVII); 'betwixt 32 and him for the delivery of 0100 to 32' (CCXL); '32 hath shaken him off ... run headlong the course of France' (CCXXXVI). CSP p.371 keeps 32. Settle: key
54	CCXL (31 Jul 1583)	532	54	est persons about him to be carried away with an especial favour and good liking of 54, and chiefly of the duke of Guyse, who, as I am advised, hath offered to him that 	token count only (running text unreadable): p564:0;p565:0;p566:0;p567:1	CLXXXVILx1	France (the French)	M	'credit from 870 and others in 54' (a place, CLXXXVII); 'favour ... of 54, and chiefly of the duke of Guyse' (CCXL). CSP pp.371 and 567 keep 54. Settle: key
223	CCXL (31 Jul 1583)	533	223	gence. Albeit that Glencarne at his departure hence sent me word that the labour of 223 and himself could nothing prevail with the King to stay or alter the proclamation ma	token count only (running text unreadable): p564:0;p565:0;p566:1;p567:0	CCLXII.x2 CCLXIII.x1 CCLXVII.x4 CCXXXI.x1 CCXXXII.x1 CCXXXVI.x2	William Ruthven, 1st Earl of Gowrie	M	'223 shall be on his knees before 91 and council, to acknowledge his fault done at Ruthen' (CCXXXVI); in CCXL 223 cannot consent to condemn 'that act done by him and others' (the Ruthven raid); '91 doth stand so fast to 223' (CCLXVII, the treasurer); CSP p.566 keeps 223. Caveat: CCXL also prints 'Gowrye' in clear in the same passage. Settle: key or MS f.299
223	CCXL (31 Jul 1583)	533	223	ein, yet at the making up of these yesternight very late, I was again advertised by 223 that upon his earnest dealing with the King, he was with great difficulty brought to	token count only (running text unreadable): p564:0;p565:0;p566:1;p567:0	CCLXII.x2 CCLXIII.x1 CCLXVII.x4 CCXXXI.x1 CCXXXII.x1 CCXXXVI.x2	William Ruthven, 1st Earl of Gowrie	M	'223 shall be on his knees before 91 and council, to acknowledge his fault done at Ruthen' (CCXXXVI); in CCXL 223 cannot consent to condemn 'that act done by him and others' (the Ruthven raid); '91 doth stand so fast to 223' (CCLXVII, the treasurer); CSP p.566 keeps 223. Caveat: CCXL also prints 'Gowrye' in clear in the same passage. Settle: key or MS f.299
