rank	queue_row	keys	bourdeau_hits	aymeloglu_hits
19	BL Harley MS 1582 cipher letters: Sir Edward Stafford 1586, N. Wotton? 1554, and unsigned 	Harley MS 1582;R8499;R8500;R8501;R8502;R8503;R8504;R8505	harley1582r8499[read in part;0.75;Harley MS 1582,R8499] | harley1582r8500[read;1.0;Harley MS 1582,R8500,R8501] | harley1582r8504[read;1.0;Harley MS 1582,R8500,R8501] | harley1582r8505[read;0.951;Harley MS 1582,R8501,R8502] | stafford1586[already solved;1;Harley MS 1582,R8501,R8502]	catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 1582 f 263-264.", "Author": "", "Sender": "", "Rece | catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 1582 f 76-77.", "Author": "Sr. Ed. Stafford", "Send | catalogue/decode-records.jsonl:{"Holder": "British L
20	Nicholas Throckmorton to Elizabeth I, 10 July 1559, marginal ciphertext in an unknown ciph	Add MS 4136;DECRYPT 2988	bl32305[not read;0.09;Add MS 4136] | coligny1563[already solved;1.0;Add MS 4136] | foix1563[read in part;0.0;Add MS 4136] | lomer1563[already solved;unknown;Add MS 4136] | middelmore1563[already solved;1.0;Add MS 4136] | moray[not read;0;Add MS 4136] | norreys1567[read in part;0.33;Add MS 4136] | percy1559[not read;0;Add MS 4136] | smith1562[read;unknown;Add MS 4136] | throck1560[already solved;1.	moray-1568/README.md:of 6 September 1568 on the decipherer's specimen sheet BL Add MS 4136 f. 33 (DECODE R2989) | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 4136 f 172.", "Author": "Henry Percy", "Sender": "", " | catalogue/decode-records.jsonl:{"Holder": "British Library, Ad
21	[Prince Maurice to Prince Rupert, Worcester, 7 July 1645 (Warburton, Memoirs of Prince Rup			
22	Unknown (York) to Lord Goring, 5 June 1645 (TNA SP 106/10, DECODE R932)	R932;SP 106/10	goring1645[already solved;unknown;R932,SP 106/10] | hm1645[already solved;unknown;SP 106/10] | rupert1645[read;0.95;SP 106/10] | sp106box10[read in part;0.1;R932,SP 106/10] | sp106r927[read in part;0.5;SP 106/10]	catalogue/decode-ranked.md:- R932 1645 The National Archives, State Papers, inv.nr. 106 box 10.: → Lord Goring (Parti
23	William Cecil to Sir Ralph Sadler and Sir James Croft, 11 Sept - 30 Oct 1559 (BL Add MS 33	Add MS 33591;R4847;R4848;R4849;R4850;R4851;R4852;R4853;R4854;R4855;R4856;R4857;R	burghley1559[already solved;1.0;Add MS 33591,R4847,R4851]	catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 33591, f 248.", "Author": "William Cecil, 1st Baron Bu | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 33591, f 102-103.", "Author": "William Cecil, 1st Baro | catalogue/decode-catalog.csv:4861,"London ,British L
24	Queen Anne to Charles Mordaunt, Earl of Peterborough, 22 Feb 1711 (BL Add MS 4107 f.184, D	Add MS 4107;R4878	anne1711[already solved;1.0;Add MS 4107,R4878]	catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 4107, f 184.", "Author": "Queen Anne", "Sender": "", " | catalogue/decode-catalog.csv:4879,"London ,British Library, Add MS 4107, f 243. BL_Add_MS_4107_243",1598 - 1745,,Cleart | catalogue/decode-catalog.csv:4878,"London ,British Lib
25	Intercepted letter of Edward Hyde, 1 Nov 1659, f.93 full of undecoded code numbers (BL Add	Add MS 4166;R4886		catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 4166, f 92-93.", "Author": "Sir Edward Hyde", "Sender" | catalogue/decode-catalog.csv:4913,"London ,British Library, Add MS 4166, f 143-144. BL_Add_MS_4166_143-144",1655 - 1668 | catalogue/decode-catalog.csv:4912,"London ,British Lib
26	Charles I to Henrietta Maria, 8 April 1645, one sentence in their private cipher (The King			
27	John Armstrong to James Madison, Paris, 20 Feb 1808 (unique code, 369 groups)			
28	Sir Francis Walsingham, autograph letter partly in cipher to an unknown recipient, 26 May 			
29	[John Dalrymple, 2nd Earl of Stair, to Viscount Townshend, diplomatic report, 27 Feb 1710 			
30	Charles I in the Isle of Wight: to Worsley 22 May 1648 and to Prince Charles 1 Aug 1648 (B	Harley MS 6988	charlesi[not read;0;Harley MS 6988]	catalogue/decode-ranked.md:| 5 | [8342](https://de-crypt.org/decrypt-web/RecordsView/8342) | 1648 | British Library,  | catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 6988 f 208.", "Author": "Charles R.", "Sender": "", | catalogue/decode-catalog.csv:8343,"London ,British Libra
31	John Wood to Secretary Cecil, 6 Sept 1568, 'Wool letter' on the sheet of DECRYPT 2989 (BL 	Add MS 4136;DECRYPT 2989	bl32305[not read;0.09;Add MS 4136] | coligny1563[already solved;1.0;Add MS 4136] | foix1563[read in part;0.0;Add MS 4136] | lomer1563[already solved;unknown;Add MS 4136] | middelmore1563[already solved;1.0;Add MS 4136] | moray[not read;0;Add MS 4136] | norreys1567[read in part;0.33;Add MS 4136] | percy1559[not read;0;Add MS 4136] | smith1562[read;unknown;Add MS 4136] | throck1560[already solved;1.	moray-1568/README.md:of 6 September 1568 on the decipherer's specimen sheet BL Add MS 4136 f. 33 (DECODE R2989) | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 4136 f 172.", "Author": "Henry Percy", "Sender": "", " | catalogue/decode-records.jsonl:{"Holder": "British Library, Ad
32	BL Harley MS 260 cipher letters 1571-72: Elizabeth R., Burghley, Walsingham and unsigned (	Harley MS 260;R8356;R8357;R8358;R8359;R8360;R8361;R8362;R8363;R8364	burghley1572[not read;0;Harley MS 260,R8356,R8357] | r8356[not read;0.0;Harley MS 260,R8356,R8357] | r8358[not read;0.13;Harley MS 260,R8356,R8358] | r8361[not read;0.19;Harley MS 260,R8357,R8361] | r8362[not a cipher;1.0;Harley MS 260,R8357,R8361] | r8364[read in part;0.23;Harley MS 260,R8356,R8361] | walsingham1572[not read;?;Harley MS 260,R8356,R8361] | walsingham1572nov[not read;?;Harley MS 26	catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 260 f 419.", "Author": "", "Sender": "", "Receiver" | catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 260 f 398-399.", "Author": "Frauncis Walsingham?",  | catalogue/decode-records.jsonl:{"Holder": "British L
33	[Ormond to Arran, 24 Jan 1678, short undeciphered segments (HMC Ormonde iv.93)](ciphers/or			
34	William, Baron Craven to Prince Rupert, The Hague, 6 Nov 1648 (BL Add MS 18982 ff.134-135,	Add MS 18982;R8447		catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 18982 f 134-135.", "Author": "...", "Sender": "", "Rec | catalogue/decode-records.jsonl:{"Holder": "British Library, Add MS 18982 f 71.", "Author": "Sek Niklas", "Sender": "", "R | catalogue/decode-records.jsonl:{"Holder": "British L
35	Unsigned letter from Paris, 19 April 1641 (BL Harley MS 7001 ff.148-149, DECODE R7766)	Harley MS 7001;R7766	harley7001[read in part;0.94;Harley MS 7001,R7766]	catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 7001 f 148-149.", "Author": "...", "Sender": "", "R | catalogue/decode-catalog.csv:7767,"London ,British Library, Harley MS 7001 f 202. BL_Harley_MS_7001_202",1645 -,... Par | catalogue/decode-catalog.csv:7766,"London ,British Lib
36	Gun Wa advertisement cipher, 1889 (77 letters)			
37	Thurloe State Papers intercepts with undeciphered portions: vol. 5 (1656, du Gard to White			
38	'Mr. Conley's hand', Paris, 28 Dec 1652 and 3 May 1653 (BL Harley MS 7003, DECODE R7768-R7	Harley MS 7003;R7768;R7769	conley1652[not read;0;Harley MS 7003,R7768,R7769]	catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 7003 f 314-315.", "Author": "Mr. Conleys Hand", "Se | catalogue/decode-records.jsonl:{"Holder": "British Library, Harley MS 7003 f 314.", "Author": "Mr. Conleys Hand", "Sender | catalogue/decode-catalog.csv:7769,"London ,British L
39	[Unidentified cipher/symbol manuscript, 18th century (National Library of Scotland MS 2076			
