nr	date	correspondent	place	opmerkingen	bronnen	has_ontcijferd	has_edition_source
1109	| | 18-9-1564 |	| Aan |Willem van Hessen|	| | |Brussel (Bruxelles)	| Met een eigenhandig ondertekende in cijferschrift geschreven bijlage. Vgl. 1107. | |	HSAM	False	False
1127	| | 28-1-1567 |	| Van |Willem van Hessen|	| | |Kassel	| Een gedeelte van het origineel is in onopgelost cijferschrift. De minuut geeft de complete tekst. Inliggend in het origineel een los bericht, zonder datum, plaats en ondertekening. | |	HSAM ; KHAG	False	False
4494	| | 15-4-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Gedeeltelijk in cijferschrift, met oplossing. | |	GPA ; KHAG	False	True
4495	| | 8-5-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Gedeeltelijk in cijferschrift, met oplossing. | |	GPA ; KHAG	False	True
4496	| | Datum door bewerker bepaald tussen 1-4-1573 en 30-4-1573. |	| Aan |Lodewijk van Nassau|	| | |	| Met artikelen. Oplossing van een brief in cijferschrift, die niet aanwezig is. Wel aanwezig zijn de in cijferschrift gestelde artikelen. Datering naar Groen van Prinsterer, |Archives d’Orange-Nassau|.	GPA ; KHAG	False	True
4497	| | 17-6-1573 |	| Aan |Lodewijk van Nassau|	| | |Leiden	| In cijferschrift met oplossing. Met een postscriptum. Antwoord op nr. 4610. | |	GPA ; KHAG	False	True
4498	| | 22-7-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| In cijferschrift, met gedeeltelijke oplossing. De editie Groen van Prinsterer, |Archives d’Orange-Nassau| naar een niet aangetroffen duplicaat. Antwoord op nr. 4611.	GPA ; KHAG	False	True
4499	| | 10-8-1573 |	| Aan |Lodewijk van Nassau|	| | |Dordrecht	| In cijferschrift, met oplossing. | |	GB ; GPA ; KHAG	False	True
4502	| | 23-11-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Het origineel in cijferschrift, met oplossing en met een duplicaatschrijven. | |	GPA ; KHAG	False	True
4503	| | 15-4-1574 |	| Aan |Lodewijk van Nassau|	| | |Gorinchem	| Gedeeltelijk in cijferschrift. Met een postscriptum. Antwoord op de nrs. 4615 en 4616. | |	GPA ; KHAG	False	True
4610	| | 3-6-1573 |	| Van |Lodewijk van Nassau|	| | |	| Duplicaat-schrijven, hoofdzakelijk in cijferschrift. Geadresseerd 'Pour Hollande'. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. Zie voor het antwoord nr. 4497. | |	KHAG	False	False
4611	| | 2-7-1573 |	| Van |Lodewijk van Nassau|	| | |	| Hoofdzakelijk in cijferschrift. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. | |	KHAG	False	False
4612	| | 6-3-1574 |	| Van |Lodewijk van Nassau|	| | |Meer	| Hoofdzakelijk in cijferschrift. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. | |	KHAG	False	False
4613	| | 25-3-1574 |	| Van |Lodewijk van Nassau|	| | |Cartilz	| Hoofdzakelijk in cijferschrift. Tevens aanwezig de oplossing daarvan, die ook is afgebeeld. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. | |	KHAG	False	False
4614	| | 4-4-1574 |	| Van |Lodewijk van Nassau|	| | |Cartilz	| Het origineel hoofdzakelijk in cijferschrift. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. De contemporaine kopie Koninklijk Huisarchief, die ook is afgebeeld, is opgelost. | |	GPAS ; KHAG	False	True
4615	| | 7-4-1574 |	| Van |Lodewijk van Nassau|	| | |Cartilz	| Hoofdzakelijk in cijferschrift. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. Tevens aanwezig de oplossing, die ook is afgebeeld. | |	KHAG	False	False
4616	| | 12-4-1574 |	| Van |Lodewijk van Nassau|	| | |Weeze	| Hoofdzakelijk in cijferschrift. Op grond van de secretarishand en het lakzegel te identificeren als een brief van Lodewijk van Nassau. | |	KHAG	False	False
5033	| | 19-5-1575 |	| Van |Jan van Nassau|	| | |Dillenburg	| Met opgelost cijferschrift en een postscriptum. Op 20 mei schreef Jan van Nassau een overeenkomstige brief aan Marnix van St. Aldegonde, zie Groen van Prinsterer, |Archives|, dl. V, p. 201-204. ie voor het antwoord nr. 5037.	KHAG	False	False
5109	| | 24-3-1561 |	| Aan |Günther van Schwarzburg|	| | |Brussel (Bruxelles)	| Gedeeltelijk in cijferschrift, de editie met oplossing. De minuut is op 22 maart gedateerd en wijkt af van het eigenhandige origineel. Op de minuut in de hand van Johann Lorich de aantekening dat de brief als eigenhandig schrijven is uitgegaan. | |	JC ; KHAG ; SAR	False	True
5194	| | 24-6-1572 |	| Aan |Lodewijk van Nassau|	| | |Frankfurt am Main	| De brief is in cijferschrift, gericht aan Lambert Certain, de schuilnaam voor Lodewijk van Nassau, ondertekend door George Certain, de schuilnaam van de prins en in de vorm van een koopmansbrief geschreven. Het adres luidt: 'Soit donné a mon frere Lambert Certain a Londres'. Zie voor het antwoord nr. 11096. | |	GPA ; KHAG	False	True
5198	| | 21-9-1572 |	| Aan |Jan van Nassau|	| | |Mechelen (Malines)	| Met een postscriptum. Ten dele in cijferschrift. De gedeeltelijke editie van Nepveu tot Ameyde, die ook is afgebeeld, biedt de oplossing daarvan. | |	GPA ; KHAG ; NAC	False	True
5199	| | 24-9-1572 |	| Aan |Jan van Nassau|	| | |Geel	| Grotendeels in cijferschrift. Groen van Prinsterer, |Archives d’Orange-Nassau| geeft ook de tekst van het in cijfer gestelde gedeelte.De gedeeltelijke editie van Nepveu tot Ameyde, die ook is afgebeeld, biedt de oplossing daarvan. Zie voor het begin van deze editie nr. 5198.	GPA ; KHAG ; NAC	False	True
5200	| | 18-10-1572 |	| Aan |Jan van Nassau|	| | |Zwolle	| Grotendeels in cijferschrift. | |	GPA ; KHAG	False	True
5201	| | 8-3-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Grotendeels in (opgelost) cijferschrift. | |	GPA ; KHAG	False	True
5204	| | 22-4-1574 |	| Aan |Jan van Nassau|	| | |Zaltbommel	| Gedeeltelijk in cijferschrift, met afzonderlijke oplossing van de tekst. Met een postscriptum. | |	GPA ; KHAG	False	True
5205	| | 28-4-1574 |	| Aan |Jan van Nassau|	| | |Dordrecht	| Gedeeltelijk in cijferschrift. Met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5207	| | 23-5-1574 |	| Aan |Jan van Nassau|	| | |Gorinchem	| Met een postscriptum. Grotendeels in cijferschrift. | |	GPA ; KHAG	False	True
5208	| | 7-6-1574 |	| Aan |Jan van Nassau|	| | |Rotterdam	| Grotendeels in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5209	| | 24-6-1574 |	| Aan |Jan van Nassau|	| | |Rotterdam	| Grotendeels in cijferschrift. Met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5210	| | 7-9-1574 |	| Aan |Jan van Nassau|	| | |Rotterdam	| Grotendeels in cijferschrift. Met afzonderlijke oplossing. Antwoord op nrs. 5575 en 10961. | |	GPA ; KHAG	False	True
5213	| | 26-11-1574 |	| Aan |Jan van Nassau|	| | |Delft	| De brief is grotendeels in cijferschrift. | |	GPA ; KHAG	False	True
5214	| | 25-12-1574 |	| Aan |Jan van Nassau|	| | |Middelburg	| Gedeeltelijk in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5218	| | 4-3-1575 |	| Aan |Jan van Nassau|	| | |Dordrecht	| Gedeeltelijk in cijferschrift. Aan koningsgezinde zijde namen aan de besprekingen deel: Elbertus Leoninus, Maximiliaan de Rassinghien, Arnold Sasbout en Cornelis Suys. Een geauthentiseerde kopie van hun paspoort in Nationaal Archief (Den Haag), Archief huis Duivenvoorde 150. Zie voor het antwoord nr. 5774. | |	GPA ; KHAG	False	True
5219	| | 21-3-1575 |	| Aan |Jan van Nassau|	| | |Dordrecht	| Gedeeltelijk in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5221	| | 30-7-1575 |	| Aan |Jan van Nassau|	| | |Dordrecht	| Gedeeltelijk in cijferschrift. Met een postscriptum. Bij de brief berust een duplicaatschrijven van gelijke inhoud. Antwoord op nr. 1699. | |	GPA ; KHAG	False	True
5222	| | 29-9-1575 |	| Aan |Jan van Nassau|	| | |Dordrecht	| Gedeeltelijk in cijferschrift. Met een duplicaatschrijven. | |	GPA ; KHAG	False	True
5224	| | 11-11-1575 |	| Aan |Jan van Nassau|	| | |Rotterdam	| Met een postscriptum. Gedeeltelijk in cijferschrift. Met afzonderlijke oplossing. Bij de brief berust een vertaling in het Duits. Antwoord op nr. 1702. | |	GPA ; KHAG	False	True
5227	| | 4-2-1576 |	| Aan |Jan van Nassau|	| | |Rotterdam	| Met een postscriptum, hoofdzakelijk in cijferschrift, met afzonderlijke oplossing. Antwoord op de nrs. 5560 en 5781. | |	GPA ; KHAG	False	True
5228	| | 4-4-1576 |	| Aan |Jan van Nassau|	| | |Delft	| Met een postscriptum. Gedeeltelijk in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5549	| | 21-11-1573 |	| Van |Jan van Nassau|	| | |Dillenburg	| Gedeeltelijk in cijferschrift. | |	GPAS ; KHAG	False	True
5550	| | 25-12-1573 |	| Van |Jan van Nassau|	| | |Dillenburg	| Gedeelten in opgelost cijferschrift. | |	GPAS ; KHAG	False	True
5551	| | 17-4-1574 |	| Van |Jan van Nassau|	| | |Keulen (Köln)	| Twee regels in cijferschrift. | |	KHAG	False	False
5552	| | 21-4-1574 |	| Van |Jan van Nassau|	| | |Wesel (Wezel)	| Enige woorden in opgelost cijferschrift. | |	KHAG	False	False
5557	| | 31-5-1574 |	| Van |Jan van Nassau|	| | |Dillenburg	| Gedeeltelijk in (opgelost) cijferschrift. | |	GPAS ; KHAG	False	True
5561	| | 9-5-1576 |	| Van |Jan van Nassau|	| | |Dillenburg	| Het origineel met enige woorden in opgelost cijferschrift. | |	GPA ; KHAG	False	True
5564	| | 11-1-1577 |	| Van |Jan van Nassau|	| | |Siegen	| Met opgelost cijferschrift. | |	GPA ; KHAG	False	True
5575	| | 31-7-1574 |	| Van |Jan van Nassau|	| | |Dillenburg	| Met delen in cijferschrift en een postscriptum. De minuut zonder datum. De contemporaine kopie met de oplossing van het cijferschrift. Antwoord op nrs. 5208 en 5209. | |	KHAG	False	False
5797	| | 22-10-1573 |	| Van |Lodewijk van Nassau|	| | |Dillenburg	| Met enige passages in cijferschrift. Antwoord op nr. 5804. | |	GPA ; KHAG	False	True
5798	| | 4-2-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Grotendeels in cijferschrift, met oplossing. De 19de-eeuwse kopie en de editie met de datum 5 februari. | |	GPA ; KHAG	False	True
5799	| | 3-4-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Grotendeels in cijferschrift. | |	GPA ; KHAG	False	True
5800	| | 16-5-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Met een eigenhandig postscriptum. Grotendeels in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5801	| | 28-5-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Grotendeels in cijferschrift, met afzonderlijke oplossing. | |	GPA ; KHAG	False	True
5802	| | 21-8-1573 |	| Aan |Lodewijk van Nassau|	| | |Dordrecht	| Grotendeels in cijferschrift, met oplossing. | |	GPA ; KHAG	False	True
5803	| | 13-9-1573 |	| Aan |Lodewijk van Nassau|	| | |Dordrecht	| Grotendeels in cijferschrift, met oplossing. Met eigenhandig postscriptum. | |	GB ; GPA ; KHAG ; MOBG	False	True
5804	| | 2-10-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Gedeeltelijk in cijferschrift, met oplossing. | |	GB ; GPA ; KHAG	False	True
5805	| | 31-10-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Grotendeels in cijferschrift, met oplossing. Met een eigenhandig postscriptum. Tevens een duplicaat, eveneens in cijferschrift met marginale aantekeningen in het Duits, meegezonden met nr. 5806 d.d. 13 nov. 1573. | |	GB ; GPA ; KHAG	False	True
5808	| | 2-12-1573 |	| Aan |Lodewijk van Nassau|	| | |Delft	| Het origineel betreft een duplicaat, met een postscriptum, gedeeltelijk in cijferschrift, met afzonderlijke oplossing. De contemporaine kopie alleen het niet in cijferschrift geschreven gedeelte van de brief. | |	GPA ; KHAG	False	True
5810	| | 6-1-1574 |	| Aan |Lodewijk van Nassau|	| | |Vlissingen	| Gedeeltelijk in cijferschrift. Met een duplicaatschrijven, ook gedeeltelijk in cijferschrift. | |	GPA ; KHAG	False	True
5811	| | 13-4-1574 |	| Aan |Lodewijk van Nassau|	| | |Dordrecht	| Grotendeels in cijferschrift. Met postscriptum. Antwoord op de nrs. 4614 en 4615. De brief is bij afwezigheid van de prins ondertekend door Nicolaas Brunynck. Met duplicaatschrijven. | |	GPA ; KHAG	False	True
5812	| | Datum door bewerker bepaald tussen 17-4-1574 en 18-4-1574. |	| Aan |Lodewijk van Nassau|	| | |Zaltbommel	| Grotendeels in cijferschrift, met afzonderlijke oplossing. Met duplicaatschrijven. | |	GPA ; KHAG	False	True
5922	| | Datum door bewerker bepaald op 30-9-1566. |	| Van |Willem van Hessen|	| | |	| Met een postscriptum, vrijwel geheel in opgelost cijferschrift. Het origineel zonder adres en ondertekening, die blijken uit de minuut. Zie hiervoor ook nr. 1260. Voor datering zie de brief van Lodewijk van Sayn-Wittgenstein aan Jan van Nassau d.d. 2 oktober 1566 (editie Groen van Prinsterer, |Archives d’Orange-Nassau|, II, 356-359).	GPA ; HSAM ; KHAG	False	True
6131	| | 12-1-1575 |	| Aan |Nicolaas Brunynck, secretaris van de prins|	| | |Middelburg	| Bovenaan de contemporaine kopie staat: 'copie déchyffrés'. De oorspronkelijke brief moet dus in cijferschrift geweest zijn. De contemporaine kopie zelf nog gedeeltelijk in cijfer, dat bij Groen van Prinsterer, |Archives d’Orange-Nassau| evenwel is opgelost. Bij de brief de toevoeging: 'vous ne laisserez incontinent ceste lettre dechiffree de l'envoyer a Mons.r mon frere le conte Jehan comme je luy ay mentionné en sa lettre'. Zie hiervoor het schrijven van Nicolaas Brunynck aan Jan van Nassau d.d. 28 jan. 1575 (editie Groen van Prinsterer,	GPA ; KHAG	True	True
6136	| | 14-2-1576 |	| Van |Reinier Cant|	| | |Bremen	| Grotendeels in cijferschrift. Onder inv. nr. C-4 berust de door de secretarie vervaardigde omzetting van de tekst, onder C-6 een duplicaatschrijven d.d. 16 februari eveneens hoofdzakelijk in cijferschrift. Afgebeeld zijn het origineel en de ontcijfering C-4. | |	KHAG	False	False
6178	| | 26-4-1576 |	| Van |Guislain de Fiennes, heer van Lumbres|	| | |Aken (Aachen)	| Een deel in cijferschrift, hetgeen is opgelost. | |	KHAG	False	False
6179	| | 28-11-1577 |	| Van |de la Garde, superintendent van Schoonhoven|	| | |	| Gedeeltelijk in onopgelost cijferschrift. | |	GPA ; KHAG	False	True
6221	| | 19-5-1576 |	| Van |Guillaume David|	| | |Parijs (Paris)	| Enkele passages in cijferschrift, waarvan sommigen zijn opgelost. De ondertekening luidt: 'de vostre petit serviteur David'. Groen heeft deze op grond van het handschrift geïdentificeerd als Michel La Huguerye. In andere brieven tekent deze als Guillaume David. | |	GPA ; KHAG	False	True
6238	| | 26-1-1576 |	| Van |Johan Junius de jonge, heer van Rederheim en Cormaillon|	| | |Arnstadt	| Eigenhandig door Dirk van Egmond van der Nijenburg. Met een gedeelte in cijferschrift, hetgeen is opgelost. Met een postscriptum. Zonder geadresseerde, welke blijkt uit nr. 6237 van dezelfde datum, waarin aan deze brief wordt gerefereerd. | |	KHAG	False	False
6467	| | 2-11-1577 |	| Van |Filips van Marnix van St. Aldegonde|	| | |Brussel (Bruxelles)	| Twee passages in cijferschrift, waarvan de eerste met oplossing in de marge. | |	GPA ; GSME ; KHAG ; LMSAC	False	True
6754	| | 27-3-1564 |	| Aan |Filips II koning van Spanje|	| | |Brussel (Bruxelles)	| Anders dan in Gachard, |Correspondance de Guillaume le Taciturne| staat aangegeven schrijft de prins het jaartal 1564 in Arabische cijfers. Zie voor het antwoord nr. 6755.	AGSV ; ARAB ; DAGS ; GCGT	False	True
7205	| | 16-1-1574 |	| Aan |Lodewijk van Nassau|	| | |Vlissingen	| Het origineel is een duplicaat, grotendeels in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 211 r - 212 r. | |	ARAB ; KHAG	False	False
7206	| | 30-1-1574 |	| Aan |Lodewijk van Nassau|	| | |Vlissingen	| Gedeelten in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 218 r. | |	ARAB ; KHAG	False	False
7208	| | 21-2-1574 |	| Aan |Lodewijk van Nassau|	| | |Vlissingen	| Het origineel is een duplicaat, grotendeels in cijferschrift. De contemporaine oplossing is bijgevoegd op f. 223 r. Met een postscriptum, waarin mededeling van het vertrek van de vijand uit Middelburg en Arnemuiden. | |	ARAB	False	False
7466	| | 14-5-1574 |	| Van |Michel La Huguerye|	| | |Keulen (Köln)	| Gedeeltelijk in cijferschrift, met oplossing. Inliggend een 19de-eeuwse transcriptie van de brief. | |	GPAS ; KHAG	False	True
7630	| | Datum door bewerker bepaald tussen 1-1-1566 en 31-12-1566. |	| Van |Willem van Gulik-Kleef (Jülich-Kleve)|	| | |	| Blijkens het slot 'Datum ut in litteris' betreft het een toevoeging aan een brief. Aangezien deze ontbreekt, althans niet aanwijsbaar is, is dit schrijven afzonderlijk opgenomen. Het stuk is geheel in cijfer. Een sleutel, uit dit stuk gereconstrueerd en in machineschrift geschreven, is toegevoegd, alsmede de ontcijfering van de brief. | |	KHAG	False	False
8246	| | Datum door bewerker bepaald op 2-5-1561. |	| Aan |Günther van Schwarzburg|	| | |Brussel (Bruxelles)	| Grotendeels in cijfer. Zonder jaartal, wat is ontleend aan Japikse, |Correspondentie Willem den Eerste|.	JC ; SAR	False	True
10260	| | 17-12-1580 |	| Van |Filips van Marnix van St. Aldegonde|	| | |Courtras	| De brief is vercijferd geweest. Met een postscriptum. De contemporaine kopie Stadsarchief Gent heeft alleen het postscriptum. De edities Groen van Prinsterer, |Archives d’Orange-Nassau| en Lacroix,	GPA ; GSME ; HUA ; LMSAC ; MBWI ; NA ; SAG	False	True
10700	| | 13-7-1579 |	| Aan |gedeputeerden van Duitse Rijk|	| | |Antwerpen (Anvers)	| Ontcijferd en uit het Frans in het Spaans vertaald. Door de hertog van Terranova op 28 juli 1579 naar Filips II gezonden. Antwoord op nr. 12630. | |	AGSV ; DAGS ; GCGT	True	True
10725	| | 20-6-1579 |	| Aan |Jan van der Linden, abt van St. Geertruid|	| | |Antwerpen (Anvers)	| Ontcijferd en uit het Frans in het Spaans vertaald. | |	AGSV ; DAGS ; GCGT	True	True
11250	| | 20-12-1572 |	| Aan |Lodewijk van Nassau|	| | |Delft	| De aanhef luidt: 'Mon frere', het adres echter 'A mes freres'. De brief is een kleine strook papier, thans gehecht aan de ontcijfering van nr. 5801. | |	KHAG	False	False
11643	| | Datum door bewerker bepaald tussen 1-5-1584 en 31-5-1584. |	| Aan |Staten van Overijssel|	| | |Delft	| Het dagcijfer is niet ingevuld. Medeondertekend door J. Milander. | |	SABDE	False	False
12630	| | 25-6-1579 |	| Van |gedeputeerden van Duitse Rijk|	| | |Keulen (Köln)	| Ontcijferd en in het Spaans vertaald. Door de hertog van Terranova op 28 juli 1579 naar Filips II gezonden. Zie voor het antwoord nr. 10700. | |	AGSV	True	False
12631	| | 29-4-1579 |	| Aan |Heinrich-Otto von Schwartzemberg|	| | |Antwerpen (Anvers)	| Door de hertog van Terranova op 28 juli 1579 naar Filips II gezonden. Ontcijferd en in het Spaans vertaald. | |	AGSV ; DAGS	True	False
