folio_line	pos_start	pos_end	status	source
f110-13	1	46	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-14	1	40	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-15	1	49	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-16	1	60	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-17	1	39	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-18	1	53	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-19	1	48	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-20	1	57	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-21	1	55	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-22	1	55	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-23	1	53	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-24	1	41	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-25	1	46	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-26	1	43	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-27	1	43	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-28	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-29	1	43	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-30	1	24	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-31	1	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-32	1	43	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-33	1	24	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-34	1	23	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-35	1	45	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-36	1	44	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f110-37	1	19	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-1	1	29	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-2	1	27	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-3	1	29	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-4	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-5	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-6	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-7	1	28	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-8	1	9	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-8	10	22	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-8	23	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-9	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-10	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-11	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-12	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-13	1	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-14	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-15	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-16	1	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-17	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-18	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-19	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-20	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-21	1	10	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-21	11	20	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-21	21	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-22	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-23	1	25	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-24	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-25	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-26	1	27	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-27	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-28	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-29	1	29	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-30	1	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-31	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-32	1	16	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-33	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-34	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-35	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123r-36	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-1	1	29	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-2	1	26	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-3	1	28	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-4	1	29	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-5	1	30	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-6	1	19	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-7	1	37	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-8	1	9	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-8	10	22	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-8	23	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-9	1	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-10	1	36	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-11	1	36	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-12	1	37	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-13	1	18	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-14	1	6	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-14	7	17	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-14	18	19	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-15	1	18	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-16	1	5	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-16	6	15	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-16	16	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-17	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-18	1	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-19	1	9	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-19	10	16	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-20	1	16	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-21	1	18	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-22	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-23	1	19	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-23	20	28	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-23	29	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-24	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-25	1	9	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-25	10	21	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-25	22	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-26	1	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-27	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-28	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-29	1	35	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-30	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-31	1	17	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-31	18	26	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-31	27	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-32	1	32	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-33	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-34	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-35	1	33	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-36	1	3	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-36	4	14	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-36	15	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-37	1	31	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-38	1	34	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-39	1	4	unread	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
f123v-39	5	12	read	this job, sense-run rule (MINWORDS=3,MINLETTERS=10) on fr16 lettresdecatheri01, proxy for Bourdeau measure.py (his lm.pkl/corpus_words.txt gitignored, unavailable in the shallow clone)
