line	pos	code	marks	conf	note
7	22	L		M	simple single diagonal stroke with a small hook at the base matches 'L' atlas better than y's forked complexity
8	1	_		M	stray flat stroke crossed by a diagonal, consistent with archival-stamp bleed-through ink in this region (line8 pos3-5 already independently read as stamp text 'octobre' per L5's notes), not a clean ']' glyph
9	7	_		M	large sweeping curved loops match the round archival stamp border ink bleeding into this line (L5's notes: stamp overlaps lines 8-9), not the compact 'bh' hook shape
9	8	_	1	M	crossing diagonal strokes in the same stamp/bleed region as pos7 and the leaf's noted pos4/8/16 stamp interference; kept plain per L5's independent stamp identification
11	14	o.	dot	H	clean circle with a centered dot, exact match to the 'o.' atlas plate -- neither A's plain nor B's 'H' read matches this shape
12	1	phi		H	clean circle crossed by a long diagonal stroke, exact 'phi' atlas match
12	16	e	dot|3	M	cursive loop matches 'e' atlas; marks below (dot, numeral-3-like stroke) read tentatively, consistent with A's own flagged mark uncertainty
13	20	y		M	loop-plus-tail shape with a '3'-like flourish on top matches 'y' atlas numeral-marked hook exemplars
14	16	e	dot|+	H	clean cursive loop matches 'e' atlas; dot and + marks below both passes already agree on
15	7	e		M	rounded loop with a smooth curling tail matches 'e' atlas's rounder style better than eps's tighter pinched curl (this leaf's known eps/e confusable pair)
15	8	#		M	clear crossing hash strokes at top, genuine '#' glyph
16	1	_		M	loop+cross ligature, same 'Et'-opening shape as line1 pos3/4, plain
16	2	_		M	continues the same plain ligature as pos1
16	3	_		H	clear cursive 'no' fragment, plain
16	5	_		L	two plain diagonal connecting strokes, no hook/loop features of a sign; weak read but consistent with the plain run
16	8	_	dot	H	clear cursive word fragment ('sog'), plain
16	11	_		M	joined cursive strokes (plain m/n-like), part of the plain run
16	12	_		M	scripted loop resembling cursive 'ch' but part of an ordinary plain word here, not an isolated sign
16	13	_		M	simple plain cursive stroke, part of the plain run
16	14	_		M	small dotted 's.' abbreviation-like shape, plain
16	17	_		M	plain cursive 'cy' fragment
16	18	_		H	clear cursive 'Pa', opens the word 'Pagare' named in L5's notes
16	27	_		M	plain cursive fragment resuming after the pos23-25 cipher insertion
16	28	_	dot	M	plain cursive fragment, same resumed-plain-text stretch as pos27
17	10	_		H	clear cursive 'qui', part of 'Contentato qui'
17	13	_		H	clear cursive 'Ma'
17	14	_		M	joined cursive stroke, part of 'faccendo'
17	19	_		M	plain cursive fragment, part of 'gra[n]'
17	20	_		M	plain cursive fragment, continues same word
17	21	_		M	plain cursive fragment, continues same word
17	22	_		L	single short plain connecting stroke
17	24	_		H	clear cursive 'lilig', part of 'diligentia'
17	25	_		M	plain cursive fragment continuing 'diligentia'
17	26	_		M	plain cursive fragment continuing 'diligentia'
17	27	_		M	plain cursive fragment, tail of 'diligentia'
17	30	_		M	simple 'v' stroke, part of the 'V.S.' abbreviation closing the sentence
17	31	_		M	small dotted 's' shape, part of 'V.S.'
17	32	_		M	's' with tail, continues 'V.S.'
18	2	_		M	flat wavy connecting stroke, same shape as line2 pos23's plain ligature
18	5	_		M	bold N-like flourish but within the plain 'el Beveraggio' stretch named in L5's notes, kept plain
18	6	_		M	loop shape within the same plain stretch, likely a cursive letter of 'Beveraggio'
18	8	_		H	clear cursive capital 'B' opening 'Beveraggio'
18	11	_		H	clear cursive 'rag', matches '...veraggio'
18	18	a		M	clean cursive 'a' shape; sits after the plain 'el Beveraggio' stretch ends (L5's notes: cipher resumes after pos13), kept as the cipher-code 'a'
18	22	a	1	M	same 'a' shape and context as pos18, within the resumed-cipher stretch; numeral-1 mark shared by both passes
20	1	_		M	straight vertical-plus-foot stroke identical to the 'L' atlas shape, but reads as the capital L opening 'La' given the whole-line closing-formula context
20	3	_		M	small looped flourish, part of the abbreviation/diacritic on 'p[rese]nte'
20	10	_		M	plain letter fragment, part of 'stata'
20	14	_		M	arc-plus-stroke shape, plain letter fragment within 'suggellata'
20	17	_		H	clear cursive 'Vo', part of 'volte'
