order	date_read	cipher_numerals	key_table	interlinear	note
320	Lesten Januarij 1605 (dated header)	no	no	no	"List of circular letters sent to princes/cities via ""Agent In Duitschlandt Doctor Peter Van Brederode"" -- addressees include Electors, Dukes, and free cities (Osnabruck, Nurnberg, Zurich, Bern, Basel, Schaffhausen, Lubeck, Hamburg, Bremen), dated end of Jan 1605; plain list of place names, not a numeral code"
321	"8 January 1605 (main letter); attached slip signed ""21 [8bris/Octobris] anno 1604"""	no	no	no	"Dutch/German letter (dated Bramming, 8 Jan 1605) with an ATTACHED SLIP listing two columns of place-names/territories (Wurtenburg, Baden, Coburg, Holstein, Mecklenburg, Pommern, Lüneburg, Dennemarck, Stifft Bremen, Stifft Magdeburg / Stadt Nürnberg, Straßburg, Metz, Basel and other Evangelical, imperial cities, Bremen, Lübeck, Hamburg) -- a political list of Protestant Estates/free cities, NOT a numeral cipher key: no numbers are paired with the names, only plain place-names in two columns; examined at 2400px to confirm. Logged in detail since it superficially resembles a ""list"" but does not match the key/nomenclator pattern (no codes)"
322	anno 1605 (partial, flap)	no	no	no	Same document as o321 continued; blank/verso side of the attached slip showing several wax seal impressions bleeding through; text visible is a repeat of o321's opening lines (bleed-through), no cipher
323	none visible	no	no	no	"Dense Dutch draft/minute, plain prose, ""Rijks Archief"" stamp"
324	7 November 1605(6?)	no	no	no	"Dense Dutch draft with multiple attached slips, closing dated ""7en November 160[5/6]""; plain prose"
325	none visible (continuation)	no	no	no	Continuation of o324's draft correspondence; plain prose
326	none visible	no	no	no	Multi-layered Dutch/German document re: Marquis Joachim Ernst von Brandenburg, several attached slips; plain prose
327	none visible	no	no	no	Continuation of o326 document (Joachim Ernst/Brandenburg matter); plain prose
328	none visible	no	no	no	Continuation of o326/327 document; a blank grey repair/reinforcement patch obscures part of the right page; remaining text plain prose
329	1606 written on a repair patch (archival, not part of original text)	no	no	no	"Continuation of o326-328 document; a repair patch bears a modern pencil ""1606"" (archival dating note, not part of the cipher/letter text); underlying prose plain"
330	24 Aug (year not confirmed)	no	no	no	"Dutch prose, page 285-ish, mentions ""Marquis Joachim Ernst van Brandenburgh te Middelburgh"""
331	20 November 1605, Hanau	no	no	no	"Dutch letter closing ""wt Hanau desen 20 [November] 1605"" signed P. Brederode, mentions Marquis Joachim; plain prose"
332	20 Junij 1605 (marginal header, partially legible)	no	no	no	Dutch prose, page 264/364, wax seal visible on facing leaf
333	none visible	no	no	no	"Dutch letter, plain prose, mentions ""21"" (unclear context, possibly a date)"
334	"26th (partial, ""26eme"")"	no	no	no	French letter, plain prose, diplomatic content re: Empire/Spain
335	(not legible)	no	no	no	"French prose, page 371, ""Empire""/""Espagnols"" policy discussion"
336	"24 June (partial, ""24 Junii"")"	no	no	no	French document, plain prose, diplomatic content re: Empire/Spain/Catholic League
337	8 May 1606	no	no	no	"French letter closing ""8e May 1606"", signed; plain prose"
338	21 [Apr?]ilis 1605	no	no	no	"German letter from ""Fridericus Pfaltzgraff von Rhein"" (Elector Palatine Frederick IV) himself, page 281, item-marker ""A"" in margin"
339	"none visible (mentions ""23"" and ""26"" as day-numbers within prose)"	no	no	no	Copia (copy) label; French letter, plain prose, diplomatic/religious peace negotiation content
340	(not legible)	no	no	no	"French prose, page 276, ""l'Espagnol""/monarchy discussion"
341	6 May (year not confirmed, cross-ref to leaf 344)	no	no	no	French prose, page 277, Empire/Ligue discussion
342	1604 and 1606 (both as years mentioned within running prose)	no	no	no	French document, plain prose, diplomatic content (Duc de Bouillon, Cleves-Julich context)
343	May 1605 (letter on left); undated diagram (right)	no	no	no	"Left: Latin legal document closing ""May 1605"" signed ""Pedro Actor""/""Antonio Roelkerio"". RIGHT PAGE: a bracketed/tree-structured Latin outline of legal categories (Regis Hispaniae, Rebellio, Calumnia, Legalitas, etc, with sub-branches) -- this is a legal-argument classification diagram, NOT a nomenclator/cipher key: it pairs Latin category terms with sub-terms via brackets, no numbers or codes anywhere on the page"
344	"response dated per header ""du 6 May 1605"""	no	no	no	"French ""Responce sur les poincts"", numbered response points 1-8 (enumeration, not code), page ~309"
345	none visible	no	no	no	Left: French memoire in short question/answer format (re: Hungary, Transylvania, Bohemia religious matters). Right: Dutch letter, plain prose. Neither shows numerals or codes
346	22 May 1605	no	no	no	"Dutch letter closing ""wt Cranau(?) desen 22 May 1605"" signed P. Brederode; plain prose"
347	23 July 1606	no	no	no	Short dated note/slip, wax seal visible on facing leaf
348	none legible (faded bleed-through)	no	no	no	"Faint bleed-through text plus a blank grey repair patch obscuring the centre of the page; last leaf of the range examined (adjacent to already-checked blank leaf 349 and the ""1607-1608"" folder-cover at 350)"
349	(blank leaf)	no	no	no	Completely blank verso, immediately before the 1607-1608 divider
350	1607-1608 (folder cover)	no	no	no	"Folder-cover leaf handwritten ""1607 - 1608"" -- confirms the 1605-1606 folder runs image order 260-349; walk stopped here per job brief"
