line	segment	group_index	tokens
f277r_L7	2	4	[chibar] u ~
f277r_L7	3	1	~ [eqbar] Q [chibar] q o [theta] [dash] x [eps]
f277r_L7	3	2	[loopdesc] r u x x
f277r_L7	3	3	m ~
f277r_L7	4	1	~ m u [theta] [eps] o x
f277r_L7	4	2	m g [rho] [loopdesc]
f277r_L7	4	3	o ~
f277r_L8	1	1	m x 5 u x H
f277r_L8	1	2	m [chibar] I [eps]
f277r_L8	1	3	o m x ~
f277r_L8	2	1	~ x r [eps] [loopdesc] Q
f277r_L8	2	2	[hash] g o [loopdesc] q
f277r_L8	2	3	g I S l ~
f277r_L8	3	1	[PLAIN:"?all reght not"]
f277r_L8	3	2	[rho] ~
f277r_L8	4	1	[PLAIN:"?poken of my p?"]
f277r_B1	1	1	[PLAIN:"??d. to be sent w?th y?"]
f277r_B1	2	1	o [loopdesc] o C o+[bar-above]
f277r_B1	2	2	[hash] [loopdesc] u o [dash] ~
f277r_B2	1	1	[eps] L4 x
f277r_B2	1	2	o [chibar] H i x [loopdesc]
f277r_B2	1	3	[loopdesc] o f
f277r_B2	1	4	C x 4 ~
f277r_B3	1	1	[chibar] 4 x [eps]
f277r_B3	1	2	[tilde2] [tilde2] u
f277r_B3	1	3	[rho] o
f277r_B3	1	4	q g x ~
f277r_C1	1	1	[loopdesc] u x [chibar] [chibar] [eps] [eps] o
f277r_C1	1	2	[dash] [chibar] [gamma] I [loopdesc]
f277r_C1	1	3	u o o ~
f277r_C1	2	1	~ o [dash] o [dash]
f277r_C1	2	2	[PLAIN:"vnto ?e ?ritten th?s"]
f277r_C2	1	1	[struck] [PLAIN:"?????? ?nto ?ryp?ogr"]
f277r_C2	1	2	[tilde2] [chibar] ~
f277r_C2	2	1	~ [chibar] 5 4 o+[bar-above] u D q
f277r_C2	2	2	[gamma] 3 [chibar]
f277r_C2	2	3	m x o [chibar] ~
f277r_C2	3	1	~ [chibar] [eps] [loopdesc] [hash]
f277r_C2	3	2	[eps] 8 x o m
f277r_C2	3	3	[hash] [gamma] ~
f277r_C2	4	1	[eqbar] x [PLAIN:"Er Dwight?e cordi?"]
f277v_L1	1	1	[PLAIN:"?ochet r?? ?"]
f277v_L1	2	1	[PLAIN:"I ?nowe se b?berge"]
f277v_L1	3	1	m x [theta] [theta] [dash]
f277v_L1	3	2	2 1 [chibar] [loopdesc] o g
f277v_L1	3	3	[eqbar] ~

# legend: [yogh] a reversed/tailed "3" shape resembling a script z or yogh (ʒ), often word-initial.
# legend: [eps] a backward-C / epsilon shape (ε), sometimes with a short horizontal bar through the opening.
# legend: [theta] a small circle bisected by a horizontal bar (θ); frequently doubled (θθ) at line/segment openings.
# legend: [omega] a rounded arch or horseshoe shape open at the bottom (Ω), sometimes sitting on a short underbar.
# legend: [rho] a p-like letter whose descender curls back into a full loop to the left (ρ).
# legend: [boxbar] a small square or rectangle enclosing a vertical or cross stroke (looks like a boxed H or ⊞).
# legend: [chibar] an X-shape crossed by an extra short diagonal or horizontal tick, distinct from a plain unmarked "x".
# legend: [hash] the # (gridiron) mark.
# legend: [eqbar] two short parallel horizontal strokes stacked, like "=".
# legend: [dash] an isolated short horizontal stroke used as its own glyph between other symbols (not a hyphen joining letters).
# legend: [tilde2] two small stacked wavy horizontal squiggles, drawn as a free-standing glyph (resembles a doubled nasal tilde or sideways "m").
# legend: [cross] a small "+" or dagger-like mark standing alone as a glyph.
# legend: [gamma] an upside-down-L / right-angle stroke (Γ-like).
# legend: [loopdesc] a letter-like shape with an extra descending or looping tail that does not match an ordinary Latin letterform (e.g. an over-elaborated d/g/8 shape); used for several distinct but similarly-elaborated shapes, see notes.
# legend: [bar-above] a straight horizontal stroke drawn over a base symbol (combining mark; written as base+[bar-above]).
# legend: [dot-above] a single dot drawn over a base symbol (combining mark; written as base+[dot-above]).
# legend: [hook] a small hook or comma-like flourish attached to the side of a base symbol, read as an addition to it.
# note: This is a single-pass, moderate-confidence reading. The cipher hand mixes invented symbols with reused Latin letters and digits at small size with faint, uneven ink; several shapes coded here as [loopdesc] are NOT necessarily the same glyph as each other (elaborated d/g/8-like forms recur but with visibly different loop placement) and should be split into distinct codes once compared against passA and higher-resolution originals.
# note: f277r_L1 s1-s2 and f277r_L4 s2-s3, f277r_L8 s3-s4, f277r_B1 s1, f277r_C1 s2 (part), f277r_C2 s4, and f277v_L1 s1-s2 were read as ordinary English cursive (plaintext), but the hand is difficult secretary/mixed cursive and many letters inside those [PLAIN:...] tokens are marked "?"; these stretches need a second, careful look, ideally at higher zoom.
# note: f277r_C2 s1-s2 contains a stretch that appears struck through (crossed by horizontal pen strokes) before a plaintext phrase resembling "...vnto ...proof/cryptograph..."; the [struck] tag was applied to that group, but the exact extent of the strike (which tokens it covers) is uncertain.
# note: The dash-like tokens transcribed as [dash] between letters/symbols (e.g. "o [dash] o [dash] [omega]") may instead be a single connecting flourish/ligature rather than three separate glyphs; treat with caution.
# note: Segment overlaps (~10%) were used to align repeated symbols at segment boundaries (e.g. [omega] shared between L1 s3 end and s4 start; [theta][theta] shared between L2 s1/L3 s1 line openings), but exact token-for-token boundary alignment was not independently re-verified pixel by pixel.
# note: Greek-letter-like shapes (theta, epsilon, rho, omega, gamma) are treated here as invented cipher symbols (bracket-coded) rather than "ordinary letters," per the instruction that only standard Latin letters/digits are written as themselves; this choice should be revisited if the reconciler judges them to be actual Greek letters used as such.
