label	folder	prompt	added	status	pr	outcome
SO-LINHARES-M0002	ciphers/antt-linhares-chave	ciphers/antt-linhares-chave/second-opinions/PROMPT-chatgpt.md	2026-09-25	checked	10	checked 25 Sept 2026 (V6-SOCHK): 7 of 9 citations confirmed, 1 a repo record, 1 unreachable (bportugal 403); no class move; CHECK-SO-LINHARES-M0002.md
SO-VANBEUNINGEN-1657	ciphers/vanbeuningen-dewitt-1657	ciphers/vanbeuningen-dewitt-1657/second-opinions/PROMPT-chatgpt.md	2026-09-25	checked	11	checked 25 Sept 2026 (V6-SOCHK): 8 of 9 confirmed (one misquote, penningem for penmingem), 1 not confirmed (Postma page count 125 vs 160); no class move; CHECK-SO-VANBEUNINGEN-1657.md
SO-NASSAU-5551	ciphers/jan-van-nassau-1572-75	ciphers/jan-van-nassau-1572-75/second-opinions/PROMPT-chatgpt-5551.md	2026-09-25	checked	12	checked 25 Sept 2026 (V6-SOCHK): 9 of 10 confirmed, 1 repo-reported not re-confirmed (Glawischnig snippet); no class move; CHECK-SO-NASSAU-5551.md
SO-MERCY-F22	ciphers/espagnol142-mercy-1648	ciphers/espagnol142-mercy-1648/second-opinions/PROMPT-chatgpt.md	2026-09-25	checked	16	merge, 9 confirmed / 4 not confirmed (PR's own admitted access gaps); no confirmed lead moves N3; see CHECK-SO-MERCY-F22.md
SO-LODEWIJK-5797	ciphers/lodewijk-van-nassau-1573-74	ciphers/lodewijk-van-nassau-1573-74/second-opinions/PROMPT-chatgpt-5797.md	2026-09-26	posted	26	confirms-N4
SO-MATIGNON-LEADS	ciphers/matignon-mayenne-1586	ciphers/matignon-mayenne-1586/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
SO-MCCORMICK-LEADS	ciphers/mccormick-1999	ciphers/mccormick-1999/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
SO-BULLET-LEADS	ciphers/bullet-tuscany-1944	ciphers/bullet-tuscany-1944/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
SO-UNTERSBERG-LEADS	ciphers/untersberg-code	ciphers/untersberg-code/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
SO-HESSEN1824-LEADS	ciphers/hessen-1824	ciphers/hessen-1824/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
SO-LAURIERE-LEADS	ciphers/fr3625-lauriere-1593	ciphers/fr3625-lauriere-1593/second-opinions/PROMPT-chatgpt-leads.md	2026-09-26	queued		
