crop_file	line_no	token_no	token	note
f28r_L17_s1.jpg	1	1	"[PLAIN: ""autrement / et aussi que comme je croy, vous entendrez""]"	single line recorded for this band (opening/margin material)
f28r_L18_s1.jpg	1	1	"[PLAIN: ""yn de venise, je ne me advanceray de vous en escript(re)""]"	single line recorded for this band (opening/margin material)
f28r_L19_s1.jpg	1	1	"[PLAIN: ""roy, vous entendrez de monseigneur le tresorier""]"	single line recorded for this band (opening/margin material)
f28r_L20_s1.jpg	1	1	"[PLAIN: ""Robertet, ne que par luy en escriptz du 6e. Ihnr(?) 6.""]"	single line recorded for this band (opening/margin material)
f28r_L21_s1.jpg	1	1	"[PLAIN: ""Madame, vous devez, par ce que l'on a escript /""]"	single line recorded for this band (opening/margin material)
f28r_L08_s1.jpg	2	1	[Rk]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	2	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	3	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	4	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	5	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	6	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	7	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	8	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	9	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	10	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	11	[del]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	12	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	13	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	14	[boxx]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	15	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	16	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	17	[to]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	18	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	19	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	20	[boxx?]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	21	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	22	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	23	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	24	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	25	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	26	[6]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	27	[n]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	28	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L08_s1.jpg	2	29	[star]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	1	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	2	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	3	[boxx]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	4	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	5	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	6	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	7	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	8	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	9	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	10	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	11	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	12	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	13	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	14	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	15	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	16	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	17	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	18	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	19	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	20	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	21	[Rk]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	22	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	23	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	24	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	25	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	26	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	27	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	28	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	29	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	30	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	31	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	32	[A]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	33	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	34	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	35	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	36	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	1	37	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	1	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	2	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	3	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	4	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	5	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	6	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	7	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	8	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	9	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	10	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	11	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	12	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	13	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	14	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	15	[del]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	16	[eps]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	17	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	18	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	19	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	20	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	21	[box]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	22	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	23	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	24	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	25	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	26	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	27	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	28	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	29	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	30	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	31	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	32	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	33	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L09_s1.jpg	2	34	[?]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	1	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	2	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	3	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	4	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	5	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	6	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	7	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	8	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	9	[A]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	10	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	11	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	12	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	13	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	14	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	15	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	16	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	17	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	18	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	19	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	20	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	21	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	22	[n]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	23	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	24	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	25	[the]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	26	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	27	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	28	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	29	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	30	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	31	[3]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	32	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	33	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	34	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	35	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	1	36	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	1	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	2	[box]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	3	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	4	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	5	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	6	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	7	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	8	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	9	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	10	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	11	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	12	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	13	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	14	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	15	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	16	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	17	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	18	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	19	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	20	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	21	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	22	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	23	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	24	[on]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	25	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	26	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	27	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	28	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	29	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	30	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	31	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	32	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	33	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	34	[eps]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L10_s1.jpg	2	35	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	1	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	2	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	3	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	4	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	5	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	6	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	7	[eps]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	8	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	9	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	10	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	11	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	12	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	13	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	14	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	15	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	16	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	17	[psi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	18	[n]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	19	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	20	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	21	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	22	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	23	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	24	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	25	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	26	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	27	[psi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	28	[s]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	29	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	30	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	31	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	32	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	33	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	34	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	35	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	1	36	[?]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	1	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	2	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	3	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	4	[phi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	5	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	6	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	7	[T]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	8	[x]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	9	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	10	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	11	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	12	[f]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	13	[n]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	14	[v]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	15	[dag]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	16	[s]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	17	[o]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	18	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	19	[rho]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	20	[I]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	21	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	22	[psi]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	23	[z]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	24	[lam]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
f28r_L11_s1.jpg	2	25	[box]	merged reading of the 2-line band; content attributed to the _s1 file, see footer note on method
