line	pos	group	conf	note
f129_L10	10	,	H	
f129_L10	11	50	H	
f129_L10	12	18	H	
f129_L10	13	46	H	
f129_L10	14	66	H	
f129_L10	15	18	H	
f129_L10	16	19	H	
f129_L10	17	73	M	"could be ""77"""
f129_L10	18	7	H	
f129_L10	19	20	H	
f129_L10	20	6	H	
f129_L10	21	7	H	
f129_L10	22	_12	H	
f129_L10	23	24	H	
f129_L11	1	18	H	
f129_L11	2	20	H	
f129_L11	3	76	M	7/9 ambiguous
f129_L11	4	20	H	
f129_L11	5	66	H	
f129_L11	6	_19	H	
f129_L11	7	_11	H	
f129_L11	8	20	H	
f129_L11	9	6	H	
f129_L11	10	23	H	
f129_L11	11	_11	H	
f129_L11	12	18	H	
f129_L11	13	3	H	
f129_L11	14	_11	H	
f129_L11	15	70	H	
f129_L11	16	61	H	
f129_L11	17	80	H	
f129_L11	18	,	H	
f129_L11	19	2	H	
f129_L11	20	19	H	
f129_L11	21	6	H	
f129_L11	22	16	H	
f129_L11	23	_18	H	
f129_L11	24	15	H	
f129_L11	25	18	H	
f129_L12	1	_6	H	
f129_L12	2	61	H	
f129_L12	3	42	H	
f129_L12	4	16	H	
f129_L12	5	10	H	
f129_L12	6	,	H	
f129_L12	7	2	H	
f129_L12	8	19	H	
f129_L12	9	60	H	
f129_L12	10	66	H	
f129_L12	11	11	H	
f129_L12	12	X	M	"an X/cross-shaped ink mark between ""11"" and ""66"", clearly not a digit shape -- likely a scribal correction or deletion mark"
f129_L12	13	66	H	
f129_L12	14	20	H	
f129_L12	15	66	H	
f129_L12	16	61	H	
f129_L12	17	7	H	
f129_L12	18	21	H	
f129_L12	19	20	H	
f129_L12	20	23	H	
f129_L12	21	_12	H	
f129_L12	22	18	H	
f129_L12	23	72	H	
f129_L12	24	_0	M	"single digit ""0"" with overline, unusual code"
f129_L13	1	7	H	
f129_L13	2	8	H	
f129_L13	3	67	H	
f129_L13	4	72	H	
f129_L13	5	20	H	
f129_L13	6	19	H	
f129_L13	7	_11	H	
f129_L13	8	20	H	
f129_L13	9	23	H	
f129_L13	10	_12	H	
f129_L13	11	20	H	
f129_L13	12	_16	H	
f129_L13	13	18	H	
f129_L13	14	19	H	
f129_L13	15	96	H	
f129_L13	16	30	M	"could be ""70"""
f129_L13	17	4	H	
f129_L13	18	51	H	
f129_L13	19	21	M	small dark ink mark over this digit, possible correction
f129_L13	20	91	H	
f129_L13	21	19	H	
f129_L14	1	_21	H	
f129_L14	2	66	H	
f129_L14	3	20	H	
f129_L14	4	15	H	
f129_L14	5	18	H	
f129_L14	6	_21	H	
f129_L14	7	16	H	
f129_L14	8	62	H	
f129_L14	9	46	H	
f129_L14	10	18	H	
f129_L14	11	31	M	"could be ""21"""
f129_L14	12	15	H	
f129_L14	13	16	H	
f129_L14	14	71	H	
f129_L14	15	_16	H	
f129_L14	16	_13	H	
f129_L14	17	15	H	
f129_L14	18	19	H	
f129_L14	19	_0	M	"single digit ""0"" with overline, unusual code"
f129_L14	20	20	H	
f129_L14	21	—	H	
f129_L15	1	_7	H	
f129_L15	2	20	H	
f129_L15	3	_17	H	
f129_L15	4	5	H	
f129_L15	5	61	H	
f129_L15	6	6	H	
f129_L15	7	_28	H	
f129_L15	8	7	H	
f129_L15	9	20	H	
f129_L15	10	71	H	
f129_L15	11	18	H	
f129_L15	12	2	H	
f129_L15	13	7	H	
f129_L15	14	20	H	
f129_L15	15	_17	H	
f129_L15	16	2	H	
f129_L15	17	10	H	
f129_L15	18	77	H	
f129_L15	19	18	H	
f129_L15	20	73	H	
f129_L15	21	15	H	
f129_L15	22	20	H	
f129_L16	1	15	H	
f129_L16	2	18	H	
f129_L16	3	91	H	
f129_L16	4	,	H	
f129_L16	5	_7	H	
f129_L16	6	6	H	
f129_L16	7	_26	H	
f129_L16	8	10	H	
f129_L16	9	6	H	
f129_L16	10	7	H	
f129_L16	11	20	H	
f129_L16	12	20	H	
f129_L16	13	9	H	
f129_L16	14	6	H	
f129_L16	15	6	H	
f129_L16	16	23	H	
f129_L16	17	23	H	
f129_L16	18	62	H	
f129_L16	19	6	H	
f129_L16	20	21	H	
f129_L16	21	_23	H	
f129_L16	22	7	H	
f129_L16	23	20	H	
f130a_L01	1	_28	H	
f130a_L01	2	10	H	
f130a_L01	3	_18	H	
f130a_L01	4	15	H	
f130a_L01	5	18	H	
f130a_L01	6	20	H	
f130a_L01	7	6	H	
f130a_L01	8	_1	H	
f130a_L01	9	71	M	"could be ""41"""
f130a_L01	10	19	H	
f130a_L01	11	_11	H	
f130a_L01	12	21	H	
f130a_L01	13	_6	H	
f130a_L01	14	16	H	
f130a_L01	15	61	H	
f130a_L01	16	_1	H	
f130a_L01	17	7	H	
f130a_L01	18	19	H	
f130a_L01	19	2	H	
f130a_L01	20	20	H	
f130a_L02	1	62	H	
f130a_L02	2	18	H	
f130a_L02	3	42	H	
f130a_L02	4	62	H	
f130a_L02	5	70	H	
f130a_L02	6	_22	H	
f130a_L02	7	24	H	
f130a_L02	8	18	H	
f130a_L02	9	99	H	
f130a_L02	10	80	H	
f130a_L02	11	_7	H	
f130a_L02	12	7	H	
f130a_L02	13	21	H	
f130a_L02	14	_16	H	
f130a_L02	15	65	H	
f130a_L02	16	_12	H	
f130a_L02	17	20	H	
f130a_L03	1	7	H	
f130a_L03	2	20	H	
f130a_L03	3	60	H	
f130a_L03	4	_1	H	
f130a_L03	5	2	H	
f130a_L03	6	_18	H	
f130a_L03	7	18	H	
f130a_L03	8	71	H	
f130a_L03	9	,	H	
f130a_L03	10	2	H	
f130a_L03	11	19	H	
f130a_L03	12	_7	H	
f130a_L03	13	7	H	
f130a_L03	14	21	H	
f130a_L03	15	61	H	
f130a_L03	16	_21	H	
f130a_L03	17	17	H	
f130a_L03	18	23	H	
f130a_L03	19	20	H	
f130a_L03	20	,	H	
f130a_L04	1	31	H	
f130a_L04	2	20	H	
f130a_L04	3	19	H	
f130a_L04	4	_70	H	
f130a_L04	5	154	M	unusual 3-digit cipher group
f130a_L04	6	43	H	
f130a_L04	7	18	H	
f130a_L04	8	36	H	
f130a_L04	9	66	H	
f130a_L04	10	18	H	
f130a_L04	11	19	H	
f130a_L04	12	_6	H	
f130a_L04	13	63	H	
f130a_L04	14	18	H	
f130a_L04	15	_4	H	
f130a_L04	16	5	H	
f130a_L04	17	62	M	end of line partly obscured by page-edge/binding shadow; a further token may be cut off
f130a_L05	1	65	H	
f130a_L05	2	35	H	
f130a_L05	3	68	H	
f130a_L05	4	15	H	
f130a_L05	5	_16	H	
f130a_L05	6	16	H	
f130a_L05	7	61	H	
f130a_L05	8	6	H	
f130a_L05	9	_11	H	
f130a_L05	10	18	H	
f130a_L05	11	39	H	
f130a_L05	12	19	H	
f130a_L05	13	_11	H	
f130a_L05	14	20	H	
f130a_L05	15	65	H	
f130a_L05	16	7	H	
f130a_L05	17	_25	H	
f130a_L05	18	15	H	
f130a_L06	1	24	H	
f130a_L06	2	1	H	
f130a_L06	3	42	H	
f130a_L06	4	31	H	
f130a_L06	5	6	H	
f130a_L06	6	65	H	
f130a_L06	7	35	H	
f130a_L06	8	68	H	
f130a_L06	9	15	H	
f130a_L06	10	_16	H	
f130a_L06	11	16	H	
f130a_L06	12	61	H	
f130a_L06	13	78	H	
f130a_L06	14	21	H	
f130a_L06	15	61	H	
f130a_L06	16	6	H	
f130a_L06	17	18	H	
f130a_L07	1	15	H	
f130a_L07	2	_18	H	
f130a_L07	3	2	H	
f130a_L07	4	7	H	
f130a_L07	5	21	H	
f130a_L07	6	;	M	semicolon before clear text; not the comma/dash convention token but clearly scribal punctuation
f130a_L07	7	[Desja ie vous ay mandé ce qui s'est]	C	clear text runs to the edge of the crop and is cut off; line likely continues beyond what was captured
f130b_L01	1	[presupposé]	C	
f130b_L01	2	_6	H	
f130b_L01	3	31	H	
f130b_L01	4	_7	H	
f130b_L01	5	16	H	
f130b_L01	6	37	H	
f130b_L01	7	19	H	
f130b_L01	8	96	M	"could be ""76"""
f130b_L01	9	60	H	
f130b_L01	10	66	H	
f130b_L01	11	20	H	
f130b_L01	12	15	H	
f130b_L01	13	18	H	
f130b_L01	14	_11	H	
f130b_L02	1	62	H	
f130b_L02	2	46	H	
f130b_L02	3	18	H	
f130b_L02	4	31	H	
f130b_L02	5	76	M	"7/9 ambiguous, could be ""96"""
f130b_L02	6	18	H	
f130b_L02	7	19	H	
f130b_L02	8	_11	H	
f130b_L02	9	61	H	
f130b_L02	10	42	H	
f130b_L02	11	16	H	
f130b_L02	12	10	M	a lower-resolution pass of this page read a comma after this group; not seen at higher zoom
f130b_L02	13	2	H	
f130b_L02	14	19	H	
f130b_L02	15	60	H	
f130b_L02	16	66	H	
f130b_L02	17	_11	H	
f130b_L03	1	15	H	
f130b_L03	2	19	H	
f130b_L03	3	_26	H	
f130b_L03	4	_12	H	
f130b_L03	5	_20	H	
f130b_L03	6	5	H	
f130b_L03	7	61	H	
f130b_L03	8	_17	H	
f130b_L03	9	61	H	
f130b_L03	10	65	H	
f130b_L03	11	21	H	
f130b_L03	12	_7	H	
f130b_L03	13	20	H	
f130b_L03	14	36	H	
f130b_L03	15	_2	H	
f130b_L03	16	6	H	
f130b_L03	17	71	H	
f130b_L03	18	10	H	
f130b_L04	1	36	H	
f130b_L04	2	66	H	
f130b_L04	3	7	H	
f130b_L04	4	_11	H	
f130b_L04	5	_10	H	
f130b_L04	6	4	H	
f130b_L04	7	51	H	
f130b_L04	8	2	H	
f130b_L04	9	96	H	
f130b_L04	10	20	H	
f130b_L04	11	61	H	
f130b_L04	12	1	M	"digit partly obscured by a dark ink blot right after ""61"""
f130b_L04	13	40	H	
f130b_L04	14	15	H	
f130b_L04	15	_11	H	
f130b_L04	16	20	H	
f130b_L04	17	24	H	
f130b_L04	18	7	H	
f130b_L05	1	2	H	
f130b_L05	2	18	H	
f130b_L05	3	_19	H	
f130b_L05	4	21	H	
f130b_L05	5	_7	H	
f130b_L05	6	61	H	
f130b_L05	7	80	H	
f130b_L05	8	_16	H	
f130b_L05	9	10	H	
f130b_L05	10	_7	H	
f130b_L05	11	7	H	
f130b_L05	12	21	H	
f130b_L05	13	_16	H	
f130b_L05	14	18	H	
f130b_L05	15	76	M	"7/9 ambiguous, could be ""96"""
f130b_L05	16	4	H	
f130b_L05	17	50	H	
f130b_L05	18	21	H	
f130b_L06	1	21	H	
f130b_L06	2	_8	H	
f130b_L06	3	18	H	
f130b_L06	4	59	H	
f130b_L06	5	46	H	
f130b_L06	6	2	H	
f130b_L06	7	18	H	
f130b_L06	8	_1	H	
f130b_L06	9	18	H	
f130b_L06	10	_16	H	
f130b_L06	11	2	H	
f130b_L06	12	23	H	
f130b_L06	13	64	H	
f130b_L06	14	20	H	
f130b_L06	15	_23	H	
f130b_L06	16	20	H	
f130b_L06	17	19	H	
f130b_L07	1	37	H	
f130b_L07	2	_26	H	
f130b_L07	3	21	H	
f130b_L07	4	_22	H	
f130b_L07	5	21	H	
f130b_L07	6	_6	H	
f130b_L07	7	36	H	
f130b_L07	8	20	H	
f130b_L07	9	9	H	
f130b_L07	10	6	H	
f130b_L07	11	23	H	
f130b_L07	12	23	H	
f130b_L07	13	62	H	
f130b_L07	14	_6	H	
f130b_L07	15	21	H	
f130b_L07	16	,	M	a partial clear-text word begins right at the crop's cut edge after this comma and could not be read
