page	line	idx	group	doubt	plain	note
4	16	14	77	1	t	
4	16	15	28	1	z	
4	16	16	60	1	a	
4	16	17	81	1	c	
4	16	18	5	1	e	
4	16	19	10	1	q	
4	16	20	2	1	u	
4	16	21	21	1	i	
4	16	22	26	1	l	
4	16	23	41	1	z	
4	16	24	71	1	p	
4	16	25	88	1	o	
4	16	26	45	1	u	
4	16	27	51	1	r	
4	16	28	103	1	v	
4	16	29	66	1	o	
4	16	30	64	1	y	
4	16	31	87	1	e	
4	16	32	75	1	n	
4	16	33	99	1	t	
4	16	34	62	1	a	
4	16	35	100	1	s	
4	16	36	28	1	o	
4	16	37	60	1	n	
4	16	38	85	1	d	
4	16	39	116	1	i	
4	16	40	13	1	c	
4	16	41	2	1	t	
4	16	42	79	1	t	
4	16	43	65	1	r	
4	16	44	61	1	a	
4	16	45	22	1	i	
4	16	46	44	1	c	
4	16	47	20	1	t	
4	16	48	83	1	e	
4	16	49	129	1	m	
4	16	50	52	1	e	
4	16	51	75	1	n	
4	16	52	13	1	t	
4	16	53	43	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	54	18	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	55	85	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	56	26	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	57	56	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	58	27	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	59	58	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	60	82	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	61	111	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	62	3	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	63	4	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	64	122	1	?	trailing group beyond span letters (possible null/extra homophone)
4	16	65	9	1	?	trailing group beyond span letters (possible null/extra homophone)
4	21	RUN	RUN	0	ms: '...double de' [CIPHER] // print: 'le double de l'instruction' (Groen p.282); matches p7 item 6	word code: 2 groups for 1 word ('instruction', 12 letters), cannot subdivide
4	21	1	116	0	?	
4	21	2	119	0	?	
4	22	RUN	RUN	0	ms: continues directly after RUN F1, no clear text between // print: 'donnée au Conte Wolff de Hohenlohe' (Groen p.282); matches p7 item 6	letter-spelled, positional 1:1 guess: 26 groups vs 29 letters, span runs through letter 26, last 3 letters ('ohe') unmatched
4	22	1	1	1	d	
4	22	2	6	1	o	
4	22	3	30	1	n	
4	22	4	45	1	n	
4	22	5	60	1	e	
4	22	6	81	1	e	
4	22	7	84	1	a	
4	22	8	77	1	u	
4	22	9	89	1	c	
4	22	10	19	1	o	
4	22	11	83	1	n	
4	22	12	44	1	t	
4	22	13	63	1	e	
4	22	14	58	1	w	
4	22	15	1	1	o	
4	22	16	24	1	l	
4	22	17	62	1	f	
4	22	18	59	1	f	
4	22	19	58	1	d	
4	22	20	29	1	e	
4	22	21	28	1	h	
4	22	22	1	1	o	
4	22	23	12	1	h	
4	22	24	89	1	e	
4	22	25	158	1	n	
4	22	26	128	1	l	
4	24	RUN	RUN	0	ms: '...lors qu'il a esté' (clear) [CIPHER, last line of p4] // print: 'lorsqu'il a esté envoyé' (Groen p.282); matches p7 item 7 start	probably syllabic word code (3 groups for 'envoyé', 6 letters / 3 syllables en-voy-e), cannot subdivide
4	24	1	2	0	?	
4	24	2	4	0	?	
4	24	3	117	0	?	
5	1	RUN	RUN	0	ms: continues directly from p4 RUN G, page begins mid-cipher [CIPHER] 'et aussi ung' (clear) // print: 'vers le Duc de Saxe Electeur' (Groen p.282); matches p7 item 7 end	letter-spelled, positional 1:1 guess: 18 groups vs 23 letters, span runs through letter 18, last 5 letters ('cteur') unmatched
5	1	1	112	1	v	
5	1	2	27	1	e	
5	1	3	60	1	r	
5	1	4	88	1	s	
5	1	5	63	1	l	
5	1	6	99	1	e	
5	1	7	29	1	d	
5	1	8	5	1	u	
5	1	9	99	1	c	
5	1	10	28	1	d	
5	1	11	75	1	e	
5	1	12	80	1	s	
5	1	13	111	1	a	
5	1	14	52	1	x	
5	1	15	28	1	e	
5	1	16	134	1	e	
5	1	17	130	1	l	
5	1	18	125	1	e	
5	4	RUN	RUN	0	ms: '...et aussi ung' (clear) [CIPHER] then clear closing formula (not in Groen's print) // print: 'ung du traicté de mariage passé entre moy et celle de Saxe... Dordrecht, 29 septembre 1575.' (Groen p.282); matches p7 item 8	letter-spelled, positional 1:1 guess: 55 groups vs 44 letters, 11 trailing groups unmatched
5	4	1	3	1	d	
5	4	2	118	1	u	
5	4	3	24	1	t	
5	4	4	89	1	r	
5	4	5	84	1	a	
5	4	6	74	1	i	
5	4	7	13	1	c	
5	4	8	44	1	t	
5	4	9	19	1	e	
5	4	10	85	1	d	
5	4	11	26	1	e	
5	4	12	1	1	m	
5	4	13	22	1	a	
5	4	14	27	1	r	
5	4	15	2	1	i	
5	4	16	55	1	a	
5	4	17	10	1	g	
5	4	18	77	1	e	
5	4	19	43	1	p	
5	4	20	11	1	a	
5	4	21	34	1	s	
5	4	22	28	1	s	
5	4	23	3	1	e	
5	4	24	66	1	e	
5	4	25	10	1	n	
5	4	26	80	1	t	
5	4	27	78	1	r	
5	4	28	27	1	e	
5	4	29	1	1	m	
5	4	30	27	1	o	
5	4	31	59	1	y	
5	4	32	84	1	e	
5	4	33	75	1	t	
5	4	34	26	1	c	
5	4	35	55	1	e	
5	4	36	63	1	l	
5	4	37	100	1	l	
5	4	38	29	1	e	
5	4	39	85	1	d	
5	4	40	114	1	e	
5	4	41	20	1	s	
5	4	42	29	1	a	
5	4	43	53	1	x	
5	4	44	51	1	e	
5	4	45	28	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	46	118	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	47	23	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	48	29	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	49	81	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	50	12	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	51	97	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	52	28	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	53	3	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	54	114	1	?	trailing group beyond span letters (possible null/extra homophone)
5	4	55	129	1	?	trailing group beyond span letters (possible null/extra homophone)
