# tools/print_check.py, 24 Sep 2026. A search result, not a novelty verdict (CLAUDE.md rule 10).
phrase	source	result	detail	url
die adern zwei mahl schlagen	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
zwei mahl purgieren mussen	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
irer frucht erlediget worden	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
Königin so heftig krank geworden	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
zweimal purgieren müssen	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
ihrer Frucht erledigt worden	ia:wilhelmvonorani00rachgoog	no hits	downloaded djvu text; 	https://archive.org/details/wilhelmvonorani00rachgoog
auss Hispanien andere zeitung bekommen	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22&identifier=annachurfrstin00webe
seidhero auss Hispanien andere zeitung	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22seidhero%20auss%20Hispanien%20andere%20zeitung%22&identifier=annachurfrstin00webe
Konnigin so heftig kranck worden	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22Konnigin%20so%20heftig%20kranck%20worden%22&identifier=annachurfrstin00webe
die adern zwei mahl schlagen	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22die%20adern%20zwei%20mahl%20schlagen%22&identifier=annachurfrstin00webe
zwei mahl purgieren mussen	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22zwei%20mahl%20purgieren%20mussen%22&identifier=annachurfrstin00webe
irer frucht erlediget worden	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22irer%20frucht%20erlediget%20worden%22&identifier=annachurfrstin00webe
Königin so heftig krank geworden	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22K%C3%B6nigin%20so%20heftig%20krank%20geworden%22&identifier=annachurfrstin00webe
zweimal purgieren müssen	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22zweimal%20purgieren%20m%C3%BCssen%22&identifier=annachurfrstin00webe
ihrer Frucht erledigt worden	ia:annachurfrstin00webe	no hits	djvu text not available (HTTP 500); be-api page_num is not a page locator; 	https://be-api.us.archive.org/fts/v1/search?q=%22ihrer%20Frucht%20erledigt%20worden%22&identifier=annachurfrstin00webe
auss Hispanien andere zeitung bekommen	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
seidhero auss Hispanien andere zeitung	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
Konnigin so heftig kranck worden	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
die adern zwei mahl schlagen	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
zwei mahl purgieren mussen	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
irer frucht erlediget worden	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
Königin so heftig krank geworden	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
zweimal purgieren müssen	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
ihrer Frucht erledigt worden	ia:bub_gb_EQ4MAAAAYAAJ	no hits	downloaded djvu text; 	https://archive.org/details/bub_gb_EQ4MAAAAYAAJ
auss Hispanien andere zeitung bekommen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22
seidhero auss Hispanien andere zeitung	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22seidhero%20auss%20Hispanien%20andere%20zeitung%22
Konnigin so heftig kranck worden	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22Konnigin%20so%20heftig%20kranck%20worden%22
die adern zwei mahl schlagen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22die%20adern%20zwei%20mahl%20schlagen%22
zwei mahl purgieren mussen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22zwei%20mahl%20purgieren%20mussen%22
irer frucht erlediget worden	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22irer%20frucht%20erlediget%20worden%22
Königin so heftig krank geworden	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22K%C3%B6nigin%20so%20heftig%20krank%20geworden%22
zweimal purgieren müssen	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22zweimal%20purgieren%20m%C3%BCssen%22
ihrer Frucht erledigt worden	ia-global	no hits		https://be-api.us.archive.org/fts/v1/search?q=%22ihrer%20Frucht%20erledigt%20worden%22
auss Hispanien andere zeitung bekommen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22&country=US&maxResults=10
seidhero auss Hispanien andere zeitung	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22seidhero%20auss%20Hispanien%20andere%20zeitung%22&country=US&maxResults=10
Konnigin so heftig kranck worden	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22Konnigin%20so%20heftig%20kranck%20worden%22&country=US&maxResults=10
die adern zwei mahl schlagen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22die%20adern%20zwei%20mahl%20schlagen%22&country=US&maxResults=10
zwei mahl purgieren mussen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22zwei%20mahl%20purgieren%20mussen%22&country=US&maxResults=10
irer frucht erlediget worden	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22irer%20frucht%20erlediget%20worden%22&country=US&maxResults=10
Königin so heftig krank geworden	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22K%C3%B6nigin%20so%20heftig%20krank%20geworden%22&country=US&maxResults=10
zweimal purgieren müssen	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22zweimal%20purgieren%20m%C3%BCssen%22&country=US&maxResults=10
ihrer Frucht erledigt worden	gbooks	no hits		https://www.googleapis.com/books/v1/volumes?q=%22ihrer%20Frucht%20erledigt%20worden%22&country=US&maxResults=10
auss Hispanien andere zeitung bekommen	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22
seidhero auss Hispanien andere zeitung	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22seidhero%20auss%20Hispanien%20andere%20zeitung%22
Konnigin so heftig kranck worden	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22Konnigin%20so%20heftig%20kranck%20worden%22
die adern zwei mahl schlagen	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22die%20adern%20zwei%20mahl%20schlagen%22
zwei mahl purgieren mussen	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22zwei%20mahl%20purgieren%20mussen%22
irer frucht erlediget worden	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22irer%20frucht%20erlediget%20worden%22
Königin so heftig krank geworden	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22K%C3%B6nigin%20so%20heftig%20krank%20geworden%22
zweimal purgieren müssen	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22zweimal%20purgieren%20m%C3%BCssen%22
ihrer Frucht erledigt worden	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=%22ihrer%20Frucht%20erledigt%20worden%22
(keywords) Wilhelm von Oranien August von Sachsen 1564	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=Wilhelm%20von%20Oranien%20August%20von%20Sachsen%201564
(keywords) Anna von Sachsen Oranien Heirat Kursachsen	openalex	not searched (blocked: HTTP 429 on https://api.openalex.org/works?per-page=5&search=%22auss%20Hispanien%20andere%20zeitung%20bekommen%22)		https://api.openalex.org/works?per-page=5&search=Anna%20von%20Sachsen%20Oranien%20Heirat%20Kursachsen
(keywords) Wilhelm von Oranien August von Sachsen 1564	crossref	1916670 record(s), top 5 by relevance	Prinz von Oranien 10.1515/9783112528662-003; Wilhelm von Nassau 10.1515/9783112528662-002; Wilhelm von Oranien 10.1163/2214-8264_dutchpamphlets-kb3-kb31064; Statthalter von Holland 10.1515/9783112528662-011; Frontmatter 10.1515/9783112528662-fm	https://api.crossref.org/works?rows=5&query.bibliographic=Wilhelm%20von%20Oranien%20August%20von%20Sachsen%201564
(keywords) Anna von Sachsen Oranien Heirat Kursachsen	crossref	1660884 record(s), top 5 by relevance	Kursachsen - agrargeschichtlich - weiblich. Ein Göttinger Fo 10.52411/nasg.bd.75.2004.s.423-429; Bildnisse Anna's von Oranien geb. von Sachsen 10.1515/9783111442297-041; Rezension von: Rombach, Otto, Anna von Oranien 10.53458/sh.v12i1.18523; Prinz von Oranien 10.1515/9783112528662-003; „Mutter Anna“, Kurfürstin von Sachsen 10.1007/978-3-662-25768-5_37	https://api.crossref.org/works?rows=5&query.bibliographic=Anna%20von%20Sachsen%20Oranien%20Heirat%20Kursachsen
(keywords) Wilhelm von Oranien Kurfürst August Sachsen Briefwechsel	crossref	1860698 record(s), top 5 by relevance	Prinz von Oranien 10.1515/9783112528662-003; August, Kurfürst v. Sachsen 10.1163/9789004337862_lgbo_com_011123; Wilhelm von Oranien 10.1163/2214-8264_dutchpamphlets-kb3-kb31064; Wilhelm von Nassau 10.1515/9783112528662-002; Frontmatter 10.1515/9783112528662-fm	https://api.crossref.org/works?rows=5&query.bibliographic=Wilhelm%20von%20Oranien%20Kurf%C3%BCrst%20August%20Sachsen%20Briefwechsel
