line	pos	code	marks	reason
4	28	wd		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
4	29	y		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
5	2	]	o	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
5	15	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
5	19	m	dot	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
5	24	]	ot	individually rechecked: clear bracket/box outline, matches ] not w
5	26	_		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
6	20	g		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	15	m		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	15.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	17	w		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	17.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	23	w		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
7	23.5	g		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
8	3	a		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
8	12	g	~	settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
8	22	#		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
8	22.5	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
8	25	m		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	3	#		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	3.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	4	#		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	4.5	e		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	12	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	12.5	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	13	bh		individually rechecked at 1x box crop: box visibly contains 4 signs in a row (bh, w, S7, o.) over a faint bleed-through smudge; pass B's 4-way split fully confirmed
9	13.1	w		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	13.2	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	13.3	o.		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
9	18	g		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
10	7	m		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
10	16	S7		settled to pass B: pass B's calls on this leaf were individually cross-checked against glyphs/atlas.png with documented per-box reasoning (recurring stacked-sign merges, the tall-ascender-hook 'g' pattern, o./bracket/hash shape distinctions), while this worker's pass A largely confirmed the classifier's share-based default without a per-box atlas cross-check. This worker independently re-examined a spread sample of the disagreements at 5x zoom across the leaf (line1 pos5/pos8/pos27, line2 pos1, line5 pos24, line9 pos13's 4-way split, line13 pos17's split, and the line17 pos15-24 marginal-note run) and in every sampled case pass B's read matched the ink more closely than pass A's; no sampled case supported pass A instead. Not individually re-verified box by box given the wall-clock box; a future settling worker should treat this as a batch policy, not 85 independent judgements.
