page	line	idx	group	chunk	run_span
4	5	11	78	p	ses parens eussent pourveu à son entreténement
4	5	12	126	a	ses parens eussent pourveu à son entreténement
4	5	13	26	r	ses parens eussent pourveu à son entreténement
4	5	14	88	e	ses parens eussent pourveu à son entreténement
4	5	15	9	n	ses parens eussent pourveu à son entreténement
4	5	16	78	s	ses parens eussent pourveu à son entreténement
4	5	17	29	e	ses parens eussent pourveu à son entreténement
4	5	18	60	u	ses parens eussent pourveu à son entreténement
4	5	19	85	s	ses parens eussent pourveu à son entreténement
4	5	20	4	s	ses parens eussent pourveu à son entreténement
4	5	21	68	e	ses parens eussent pourveu à son entreténement
4	5	22	60	n	ses parens eussent pourveu à son entreténement
4	5	23	89	t	ses parens eussent pourveu à son entreténement
4	5	24	76	p	ses parens eussent pourveu à son entreténement
4	5	25	89	o	ses parens eussent pourveu à son entreténement
4	5	26	29	u	ses parens eussent pourveu à son entreténement
4	5	27	86	r	ses parens eussent pourveu à son entreténement
4	5	28	1	u	ses parens eussent pourveu à son entreténement
4	5	29	12	e	ses parens eussent pourveu à son entreténement
4	5	30	3	u	ses parens eussent pourveu à son entreténement
4	5	31	80	a	ses parens eussent pourveu à son entreténement
4	5	32	62	s	ses parens eussent pourveu à son entreténement
4	5	33	61	o	ses parens eussent pourveu à son entreténement
4	5	34	29	n	ses parens eussent pourveu à son entreténement
4	5	35	61	e	ses parens eussent pourveu à son entreténement
4	5	36	83	n	ses parens eussent pourveu à son entreténement
4	5	37	76	t	ses parens eussent pourveu à son entreténement
4	5	38	26	r	ses parens eussent pourveu à son entreténement
4	5	39	85	e	ses parens eussent pourveu à son entreténement
4	5	40	29	t	ses parens eussent pourveu à son entreténement
4	5	41	68	e	ses parens eussent pourveu à son entreténement
4	5	42	28	n	ses parens eussent pourveu à son entreténement
4	5	43	56	e	ses parens eussent pourveu à son entreténement
4	5	44	29	m	ses parens eussent pourveu à son entreténement
4	5	45	60	e	ses parens eussent pourveu à son entreténement
4	5	46	84	n	ses parens eussent pourveu à son entreténement
4	5	47	120	t	ses parens eussent pourveu à son entreténement
4	10	1	119	ell	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	2	26	ede	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	3	53	meu	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	4	52	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	5	27	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	6	2	a	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	7	24	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	8	28	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	9	55	s	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	10	27	t	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	11	88	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	12	76	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	13	29	c	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	14	1	h	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	15	12	a	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	16	2	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	17	89	g	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	18	63	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	19	80	i	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	20	83	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	21	75	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	22	27	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	23	3	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	24	18	s	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	25	39	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	26	11	n	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	27	75	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	28	34	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	29	28	y	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	30	112	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	31	4	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	32	25	a	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	33	42	y	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	34	28	m	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	35	89	i	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	36	68	l	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	37	86	l	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	38	80	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	39	5	f	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	40	119	l	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	41	28	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	42	61	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	43	87	i	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	44	64	n	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	45	45	s	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	46	29	p	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	47	77	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	48	10	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	49	100	r	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	50	2	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	51	57	n	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	52	42	c	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	53	53	e	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	54	52	l	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	55	26	a	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	56	5	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	57	30	o	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	58	50	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	59	63	s	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	60	74	s	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	61	42	u	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	62	58	bue	elle demeure à vostre charge, je vous envoyeray mille florin
4	10	63	9	nir	elle demeure à vostre charge, je vous envoyeray mille florin
4	16	1	122	-	les dictz parentz à ce qu
4	16	2	4	-	les dictz parentz à ce qu
4	16	3	53	-	les dictz parentz à ce qu
4	16	4	28	-	les dictz parentz à ce qu
4	16	5	90	-	les dictz parentz à ce qu
4	16	6	25	-	les dictz parentz à ce qu
4	16	7	45	-	les dictz parentz à ce qu
4	16	8	19	-	les dictz parentz à ce qu
4	16	9	85	-	les dictz parentz à ce qu
4	16	10	105	-	les dictz parentz à ce qu
4	16	11	113	-	les dictz parentz à ce qu
4	16	12	68	-	les dictz parentz à ce qu
4	16	13	11	-	les dictz parentz à ce qu
4	16	14	77	-	les dictz parentz à ce qu
4	16	15	28	-	les dictz parentz à ce qu
4	16	16	60	-	les dictz parentz à ce qu
4	16	17	81	-	les dictz parentz à ce qu
4	16	18	5	-	les dictz parentz à ce qu
4	16	19	10	-	les dictz parentz à ce qu
4	16	20	2	-	les dictz parentz à ce qu
4	16	21	21	-	les dictz parentz à ce qu
4	16	22	26	l	les dictz parentz à ce qu
4	16	23	41	-	les dictz parentz à ce qu
4	16	24	71	-	les dictz parentz à ce qu
4	16	25	88	-	les dictz parentz à ce qu
4	16	26	45	-	les dictz parentz à ce qu
4	16	27	51	-	les dictz parentz à ce qu
4	16	28	103	-	les dictz parentz à ce qu
4	16	29	66	-	les dictz parentz à ce qu
4	16	30	64	-	les dictz parentz à ce qu
4	16	31	87	-	les dictz parentz à ce qu
4	16	32	75	-	les dictz parentz à ce qu
4	16	33	99	-	les dictz parentz à ce qu
4	16	34	62	-	les dictz parentz à ce qu
4	16	35	100	-	les dictz parentz à ce qu
4	16	36	28	-	les dictz parentz à ce qu
4	16	37	60	-	les dictz parentz à ce qu
4	16	38	85	-	les dictz parentz à ce qu
4	16	39	116	-	les dictz parentz à ce qu
4	16	40	13	-	les dictz parentz à ce qu
4	16	41	2	-	les dictz parentz à ce qu
4	16	42	79	-	les dictz parentz à ce qu
4	16	43	65	-	les dictz parentz à ce qu
4	16	44	61	-	les dictz parentz à ce qu
4	16	45	22	-	les dictz parentz à ce qu
4	16	46	44	-	les dictz parentz à ce qu
4	16	47	20	e	les dictz parentz à ce qu
4	16	48	83	s	les dictz parentz à ce qu
4	16	49	129	d	les dictz parentz à ce qu
4	16	50	52	i	les dictz parentz à ce qu
4	16	51	75	c	les dictz parentz à ce qu
4	16	52	13	t	les dictz parentz à ce qu
4	16	53	43	z	les dictz parentz à ce qu
4	16	54	18	p	les dictz parentz à ce qu
4	16	55	85	a	les dictz parentz à ce qu
4	16	56	26	r	les dictz parentz à ce qu
4	16	57	56	e	les dictz parentz à ce qu
4	16	58	27	n	les dictz parentz à ce qu
4	16	59	58	t	les dictz parentz à ce qu
4	16	60	82	z	les dictz parentz à ce qu
4	16	61	111	a	les dictz parentz à ce qu
4	16	62	3	c	les dictz parentz à ce qu
4	16	63	4	e	les dictz parentz à ce qu
4	16	64	122	q	les dictz parentz à ce qu
4	16	65	9	u	les dictz parentz à ce qu
4	21	1	116	?	le double de l
4	21	2	119	?	le double de l
4	22	1	1	d	donnée au Conte Wolff de Hohenlohe
4	22	2	6	o	donnée au Conte Wolff de Hohenlohe
4	22	3	30	n	donnée au Conte Wolff de Hohenlohe
4	22	4	45	n	donnée au Conte Wolff de Hohenlohe
4	22	5	60	e	donnée au Conte Wolff de Hohenlohe
4	22	6	81	e	donnée au Conte Wolff de Hohenlohe
4	22	7	84	a	donnée au Conte Wolff de Hohenlohe
4	22	8	77	u	donnée au Conte Wolff de Hohenlohe
4	22	9	89	c	donnée au Conte Wolff de Hohenlohe
4	22	10	19	ont	donnée au Conte Wolff de Hohenlohe
4	22	11	83	e	donnée au Conte Wolff de Hohenlohe
4	22	12	44	uuo	donnée au Conte Wolff de Hohenlohe
4	22	13	63	l	donnée au Conte Wolff de Hohenlohe
4	22	14	58	f	donnée au Conte Wolff de Hohenlohe
4	22	15	1	f	donnée au Conte Wolff de Hohenlohe
4	22	16	24	d	donnée au Conte Wolff de Hohenlohe
4	22	17	62	e	donnée au Conte Wolff de Hohenlohe
4	22	18	59	h	donnée au Conte Wolff de Hohenlohe
4	22	19	58	o	donnée au Conte Wolff de Hohenlohe
4	22	20	29	h	donnée au Conte Wolff de Hohenlohe
4	22	21	28	e	donnée au Conte Wolff de Hohenlohe
4	22	22	1	n	donnée au Conte Wolff de Hohenlohe
4	22	23	12	l	donnée au Conte Wolff de Hohenlohe
4	22	24	89	o	donnée au Conte Wolff de Hohenlohe
4	22	25	158	h	donnée au Conte Wolff de Hohenlohe
4	22	26	128	e	donnée au Conte Wolff de Hohenlohe
4	24	1	2	lo	lorsqu
4	24	2	4	rsq	lorsqu
4	24	3	117	u	lorsqu
5	1	1	112	ue	vers le Duc de Saxe Electeur
5	1	2	27	rsl	vers le Duc de Saxe Electeur
5	1	3	60	e	vers le Duc de Saxe Electeur
5	1	4	88	duc	vers le Duc de Saxe Electeur
5	1	5	63	d	vers le Duc de Saxe Electeur
5	1	6	99	e	vers le Duc de Saxe Electeur
5	1	7	29	s	vers le Duc de Saxe Electeur
5	1	8	5	a	vers le Duc de Saxe Electeur
5	1	9	99	x	vers le Duc de Saxe Electeur
5	1	10	28	e	vers le Duc de Saxe Electeur
5	1	11	75	e	vers le Duc de Saxe Electeur
5	1	12	80	l	vers le Duc de Saxe Electeur
5	1	13	111	e	vers le Duc de Saxe Electeur
5	1	14	52	c	vers le Duc de Saxe Electeur
5	1	15	28	t	vers le Duc de Saxe Electeur
5	1	16	134	e	vers le Duc de Saxe Electeur
5	1	17	130	u	vers le Duc de Saxe Electeur
5	1	18	125	r	vers le Duc de Saxe Electeur
5	4	1	3	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	2	118	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	3	24	u	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	4	89	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	5	84	n	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	6	74	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	7	13	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	8	44	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	9	19	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	10	85	-	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	11	26	g	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	12	1	d	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	13	22	u	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	14	27	t	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	15	2	r	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	16	55	a	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	17	10	i	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	18	77	c	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	19	43	t	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	20	11	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	21	34	d	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	22	28	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	23	3	m	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	24	66	a	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	25	10	r	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	26	80	i	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	27	78	a	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	28	27	g	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	29	1	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	30	27	p	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	31	59	a	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	32	84	s	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	33	75	s	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	34	26	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	35	55	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	36	63	n	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	37	100	t	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	38	29	r	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	39	85	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	40	114	m	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	41	20	o	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	42	29	y	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	43	53	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	44	51	t	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	45	28	c	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	46	118	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	47	23	l	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	48	29	l	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	49	81	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	50	12	d	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	51	97	e	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	52	28	s	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	53	3	a	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	54	114	x	ung du traicté de mariage passé entre moy et celle de Saxe
5	4	55	129	e	ung du traicté de mariage passé entre moy et celle de Saxe
