line	position	old	new	partner	gloss_seen	reason
# NOTE line 21 pos 4 and pos 26: an upright plain plus stands where t is needed twice (c'est, autre) and the glossator wrote t both times; the key's t signs are S37/S38 (to, tc). Either the scribe used S13 for t or dropped the o/c; a key-level question, not a transcription one.
# NOTE the S21/S36 confusion is systematic: the letter-body S36 is a long-s stroke from above ending in a single cross or x; the key's S21 crop (f with mid crossbar and left-curling tail) resembles it. Every S21 target in lines 18-21 was S36 on the ink.
# ANCHOR line 18: counted from 16 7 | Ao m (gloss m) 12 16, then 9 S33 64 S44 tc, the ily group (quil) and uui (S29), then 60 68 26 104 Ao | 62 7 44 5 82 15 to.
# ANCHOR line 19: ff (S27) 14 to 28 15 tc 16 Ao, the tall y (S32) and the que gloss, then 60 i4 uuu z8 64 before the f, then | z6 ss to 16 ct 5 (m z6 60 68 16.
# ANCHOR line 20: 7 Ao 62 16 then the x (pos 5) and the circle-on-stem with p gloss; 62 R 14 15 9 26; then 7 16 68 26 R 16 104, the x (pos 21), 9 60 Ao 14 5 82 15 to 22.
# ANCHOR line 21: 9 z6 ss + z6 17 16 7 A 62 60 62 lattice ss across the tick, then 9 7 64 x 5 60 R 16 | 12 102 + Ao 26 9 17 44 x at line end.
# NOTE S21 as used in L22-25 is never the f-with-arc of the atlas crop: every instance is a long s with a cross-stroke at its foot, i.e. the key's S cell (S35 stem + S36 x) written as one sign. Suggest treating it as S36 (s) wherever it appears in lines 18-33, not just here
# NOTE the 3-shape (S64 crop) is the period numeral 3: standing alone it is B (code 3); right after a 7 it completes 73 (Y). Check other S64 tokens for a preceding 7
# NOTE S74 (L23 pos 13, L25 pos 19) is always followed by 60 and sits where a short letter group is expected ('envoye [S74] ieuers', 'mae[S74]i s lien'); the ink is consistent between the two, so this is a key/value question, not a transcription one
# NOTE L24 pos 33 X (gloss f) is a crossed x joined to a t = S02 (F); L24 pos 30 is the stand-alone x S36 glossed s, the reference for L22 pos 17
# NOTE L25 pos 22 (5) has a heavy B-like mark above it, darker than the glosses; possibly an S01 correction or insertion, worth a check
# NOTE L25 pos 9 is transcribed 87 (not a key code); the ink looks like 8 plus a separate long 7-stroke under a heavy loop, worth a re-read
# ANCHOR L22: z6 | then the ornate f, 'to', and the Ao-z6-x-pi-z6-to run at the s1 tick; on s2, 104 Ao na 6z | 5 z6 tJ ff 64 102 at line end
# ANCHOR L23: 60 8z Y (S32 with its q gloss) at the start, the big crossed c-4 sign at the s1 tick, and 6z Ao x on s2 followed by 22 (gloss po)
# ANCHOR L24: the # (S04) and pi at line start, the | after i6, the uu (S29 gloss m) before the lone 3, and + | Y x at the end on s2
# ANCHOR L25: 'to' at the start, 22 with gloss po at pos 6, the heavy 8 with the big loop at pos 9, the Ao and S28 m at the s1 tick, the | before 5 9 44 at the end
# NOTE line 26 pos 6-7 (S27 + 4) and line 29 pos 13-14 (S27 + 4): both sit where 'ss' is needed (a-ss-eurer, po-ss-ible); the ink is a doubled long stroke followed by a 4, which may be the key's 54 (ss long) with the 5 written as a long-s stroke; worth a re-read against dbl_ss_long.jpg.
# NOTE line 26 pos 27 (X, gloss n): ink looks like the letters 'ua'/'na' on the baseline; the key's N cell shows S30 'cma'; possibly S30 without a visible c-hook.
# NOTE line 27 pos 8-9 (X + 6): a crossed t joined to a 6/o-like loop; with 73 after it gives aduer-t-y, so X+6 is likely one t sign (S37 'to'); worth a re-read.
# NOTE line 28 pos 11 (S44, gloss r): ink is a circle standing on a crossed stem, and "se pourra" needs p: likely S31 (key P), not the null S44, as at 20/6.
# NOTE line 28 pos 8 (S39): "de tout ce q[ue] se pourra faire" wants que; the ink is a q-like loop with a descender; check against S32/S63.
# NOTE line 29 pos 3-4 (S35 then 5): the only marks are a long-s stroke from above followed by one small 5-like s; together they are S35 (long s + small s), so the separate 5 at pos 4 is probably the second half of S35; merged, the line reads s-i-l sera possible.
# NOTE line 23 "iau[quant]enuoe": probably the same 7 + 3 = 73 (i'ay enuoye) as 29/21-22; check the ink.
# ANCHOR line 26: counted from uu-mark z6 S40 . | S35 z8 S27 4, then 16 104 Ao z6 R y at s1, S53 on the tick, 66 lattice + 60 x 16 Ao 14 y S35 15 16 'ua' S36 82 64 at line end.
# ANCHOR line 27: 62 then the 3-topped R, 14 5 102 16 Ao, the crossed-t-with-6, 7, small 3, # , y, 5 z6 5 16 across the tick, 9 28 lattice + 16 S35 S31 12 Ao g 15 62 R 14 LA 60 26 at line end.
# ANCHOR line 28: t 5 5 16 S57 9 z6, the q-like S39, x under a long-s stroke, 16, circle-on-cross, 44 102 56 28 at s1; after the tick X(f) 28 64 Ao 16 22 5 104 26 15 60 Ao 12, the 3, 44 at line end.
# ANCHOR line 29: 102 to at line start, long-s + 5, 64 5, x under long-s, 16 R 14 circle-on-cross 82 S27 4 24; after the tick the small 3 with 'bl' gloss, 5 z6 60 28, 7+3, 16 15 102 44 64 62, the looped tail sign, 26 15 at line end.
# NOTE line 30: pos4 "68[ll]" -- key ll is 69, not 68; check ink. pos18 8 decodes b but glosses over 8/S40 read "lz" (lesquelz); 8 is not in the key letter list.
# NOTE line 30: gloss convention -- the decipherer's e is a double-tick u-like mark; several "u"/"i"/"r"/"c" gloss readings in 30-33 are this e-form.
# NOTE line 32: pos17 X (unknown) is a long-s stroke from above ending in a cross at its foot = S36 (s): es-c-h-a-u-ff... "eschauff-".
# NOTE line 32: pos22 S34 (no gloss) sits raised at gloss height between 102 and 66; it may be the gloss over 66 (ff) rather than a cipher token; eschauffe(e)s needs no r.
# NOTE line 32: pos28 8[o] -- 8 is not an O sign (82/44); check whether it is 82 merged with a neighbour.
# NOTE line 33: pos7 06 carries gloss "nn" (listed uu) -- nn in the key is 106; check whether 1 of pos6 or a 1 is lost. pos11 "4" after 60 is a crossed "+" where ennemis needs s (possibly S36/x form). Text reads "comme [5 S63] les ennemis vouldroient faire".
# ANCHOR line 30: counted from the lone x at s1 x~720, then 5/12/68/16/cm(S28), the black blot (pos9 X, gloss g), the ff (pos12, gloss L) and the lattice S52 at s2 x~900.
# ANCHOR line 31: counted from the x with "fa" gloss, the two "to" (S37) signs at pos4/pos7, the Ao at s1 x~1720 and the "fait" gloss over pos21, then the ſx (S36) at pos25.
# ANCHOR line 32: counted from the ſs (S35) at s2 x~500 (pos14), 73 with gloss y, and the 9/17 with glosses c/h (pos18-19), then 66 18 x | 9 8 76 16.
# ANCHOR line 33: counted from the 5 at s1 x~700, the big descending ff (pos3), the long-s-with-cross (pos5), the uuu (S29) and the divider before 102/44/104.
