section	word_or_phrase	code	kind	grade	crop	note
LASTWORD	artillerie	S13	sign	M	atlas/p57_lastword_row.jpg	non-digit sign: a plus/cross mark, agreed by all three reads
LASTWORD	ligue	99	digit	M	atlas/p57_lastword_row.jpg	digit/doubled-loop read as "99" by two of three passes
LASTWORD	beaute	T	letter_sign	M	atlas/p57_lastword_row.jpg	code read as a capital "T"-like mark by two of three passes
LASTWORD	leurs	S14	sign	M	atlas/p57_lastword_row.jpg	non-digit sign: a script capital "E"-like loop
LASTWORD	?	?	unresolved	M	atlas/p57_lastword_row.jpg	final word of the row not confidently read by any of the three passes (candidates: "mumpvcs", "sone", a heavily abbreviated flourish); code likewise unresolved
LEFTLIST_P57	Le Roy de Boheme	S15	sign	H	atlas/p57_left_wordlist.jpg	word clear; code is a simple lowercase "e"-like loop, agreed by two of three passes
LEFTLIST_P57	Le Roy	?	unresolved	M	atlas/p57_left_wordlist.jpg	no code visible on this line in any of the three reads -- possibly continues onto the next line's entry
LEFTLIST_P57	Le Duc de Guyse	S16	sign	H	atlas/p57_left_wordlist.jpg	word clear; code is a tall long-s-like flourish, agreed by two of three passes; this is almost certainly the Guise addressee's own name-code
LEFTLIST_P57	Le Duc d'Aumale	A	letter_sign	H	atlas/p57_left_wordlist.jpg	word and code (capital A) agree across all three passes, and match the identical line on p69 -- highest-confidence word-list entry
LEFTLIST_P57	Monsr	S17	sign	M	atlas/p57_left_wordlist.jpg	word abbreviated/partly blotted; code read as a double-cross or "ff"/"H" ligature, not fully agreed
LEFTLIST_P57	Nemours	?	unresolved	M	atlas/p57_left_wordlist.jpg	word tentative (also read "Nonneux"); no code seen
LEFTLIST_P57	Aumale (variant spelling)	?	unresolved	M	atlas/p57_left_wordlist.jpg	tentative second entry near "Aumale"; no code seen
LEFTLIST_P57	Espagnols	?	unresolved	M	atlas/p57_left_wordlist.jpg	word very tentative; no code seen
LEFTLIST_P57	France	S18	sign	M	atlas/p57_left_wordlist.jpg	abbreviated "fran"; code is a distinctive figure-eight/infinity-like double loop, agreed by all three passes and matches the identical line on p69
LEFTLIST_P57	Suisse/Savoie	S19	sign	M	atlas/p57_left_wordlist.jpg	word disputed (Suisse vs Savoye); code is a circle-shaped mark, agreed by all three passes and matches p69
LEFTLIST_P57	gendarmerie	S20	sign	M	atlas/p57_left_wordlist.jpg	word tentative; code is a looped capital resembling "R", agreed loosely by all three and matches p69
LEFTLIST_P57	haulte ligue	S21	sign	M	atlas/p57_left_wordlist.jpg	code is a lowercase "f"-like mark, agreed by all three and matches p69
LEFTLIST_P57	gens de pied	S22	sign	M	atlas/p57_left_wordlist.jpg	code is a looped/tailed mark, agreed loosely by all three and matches p69
LEFTLIST_P57	armee de mer	S23	sign	M	atlas/p57_left_wordlist.jpg	code is a small x/z-like cursive mark, agreed by all three and matches p69
LEFTLIST_P57	cardinal de [Lorraine?]	S24	sign	M	atlas/p57_left_wordlist.jpg	word heavily abbreviated ("car. de"); code is a two-letter-looking ligature (L+B or similar), agreed loosely by all three and matches p69; the bracketed completion is this worker's guess, not transcribed
LEFTLIST_P57	Rome	S25	sign	M	atlas/p57_left_wordlist.jpg	code is a single cursive loop
LEFTLIST_P57	Naples	c	letter_sign	H	atlas/p57_left_wordlist.jpg	word and code (lowercase c) agree across all three passes
LEFTLIST_P57	Milan	dd	letter_sign	M	atlas/p57_left_wordlist.jpg	code read as a doubled loop/letter shape by two of three passes
LEFTLIST_P57	Florence	y	letter_sign	H	atlas/p57_left_wordlist.jpg	word and code (lowercase y) agree across all three passes
LEFTLIST_P57	Ferrare	S26	sign	M	atlas/p57_left_wordlist.jpg	word clear; code is "nre" (abbreviation, "nostre"?) plus a following flourish sign -- likely marks this as the correspondent's OWN side (cardinal de Ferrare = the letter-writer), not a simple place-code; not resolved
LEFTLIST_P57	Sienne	?	unresolved	M	atlas/p57_left_wordlist.jpg	rightmost entry, partly cut by the crop edge; word and code both unresolved
LEFTLIST_P69	[differs from p57 -- a second correspondent's own name-code list, not transcribed row by row this pass]	?	unresolved	M	atlas/p69_left_wordlist.jpg	spot check only: "Le Duc d'Aulme"/A, "fran"/(figure-eight sign), "gens de pied", "armee de mer", "cardinal de", "Naples"/c, "Milan"/dd, "Florence"/y all read the same as p57 (see key_alpha.tsv note on the doubles row -- consistent with a shared chancery template for common words/places, personalised only for the addressee-specific top rows); the top rows here name a different set of dignitaries ("L'Empereur", "Le Roy d'Allemagne", etc. per one blind pass) appropriate to a different correspondent's key, not transcribed to row-level confidence this pass
