line	pos	sign	gloss	source	why
04	24	S44	se	H	stem crossed low with a closed loop to the right at top (p-like loop, crossed stem), not a 4 diagonal; gloss tangled with line03 descenders, se or fe
04	26	62	e	H	two-part e-like gloss above the 62
04	27	4	s	G	clear 4 (stem, crossbar, slanted top); tall long-s gloss with no crossbar
04	30	60	z	G	crossed-z gloss
04	33	104		H	loop above is line03's final 6 descending; no gloss. A z-like mark in the gloss zone right of 104 over a colon is not a code
05	1	26	e	H	two-part e-form gloss; the tall stroke right of it is a line04 descender
05	3	DEL		DEL	10 and 2 are one code 102
05	4	102	u	H	one code 102, gloss u over the 10
05	9	S16	d	H	thin short long-s stroke with d gloss, as line04 pos5
05	11	9	c	G	gloss a single c-curve with top flag, not two-part
05	18	26	e	new	2 and 6 one code; gloss is two-part (blob + dot) e-form, not a dotted i
05	19	4	s	G	4 alone; tall long-s gloss, no crossbar
05	21	DEL		DEL	10 and 2 are one code 102
05	22	102	u	H	one code 102, gloss u over the 10
05	23	16	e	H	two-part e-form gloss
05	24	68	tt	H	crossed double stem gloss, tt
05	25	62	e	H	two-part e-form gloss
05	28	60	z	G	crossed-z gloss
05	32	26	e	H	lower curve + upper hook, e-form
06	1	4	s	H	tall long-s joined to the 4 top, no crossbar
06	3	16	e	H	two-part e-form gloss
06	6	60	i	G	i over the 6; the t above the 0 sits higher and is the bottom cross of line05's S31
06	7	15	en	H	first gloss letter two-part e-form, then n
06	10	DEL		DEL	2 and 6 one code 26; spacing same as line01 26
06	11	26		G	one code 26, no gloss
06	14	DEL		DEL	first sign is the double-barred 4 with gloss f; the following two 4s are one code 44
06	15	4	f	G	double-barred 4; gloss f has a visible crossbar
06	16	44	o	G	one code 44, gloss o over the first 4, second 4 unglossed (as line03 pos29)
06	21	7	y	G	gloss a y-form (two top strokes and a tail), as agreed y over 73
06	22	?		?	tall long-s from the gloss zone descends into a zigzag plus an s-curl below the line; could be S16 (tall hooked long-s) or a small 5/S53 whose tall top is the gloss s of the 4 at pos23; not settled
06	24	16	e	H	two-part e-form gloss
06	27	DEL		DEL	2 and 6 one code 26; spacing matches other 26s
06	28	26	e	new	one code 26; gloss over the 6 is the two-part e-form
06	31	62	e	H	two-part e-form gloss
06	34	S40	r	H	arch with descending left leg and right leg, no closed top loop (not S20); gloss the 2-shaped r crossed by a line05 descender
06	35	16	e	H	two-part e-form gloss
06	37	S32	que	G	gloss reads que, ending over the next sign; the l stands apart
06	38	5	l	new	sign is a flagged 5; the lower a-shape is line07's raised gloss a (seen in line07 crop); gloss l sits just right, as 5=l elsewhere
06	39	16	e	H	two-part e-form gloss over the 6
06	40	4	s	H	tall long-s gloss without crossbar, unlike the crossed f over pos41
07	1	DEL		DEL	8 and 2 are one code 82, as agreed 82 in line04
07	2	82	o	G	one code 82, gloss o over the 8
07	4	9	c	G	gloss c; the stroke rising from it is the bottom of line06's divider (checked across both crops)
07	5	16	e	H	two-part e-form gloss
07	8	S32	quel	H	u-stroke + y = S32 with its top-left hook; gloss quel
07	12	26	e	H	two-part e-form gloss
07	14	16	e	H	two-part e-form gloss
07	15	S40	r	H	gloss is the 2-shaped r with a downstroke
07	18	DEL		DEL	the two 4s are one code 44
07	19	44	o	G	one code 44, gloss o over the first 4
07	21	26	e	H	two-part e-form gloss
07	27	DEL		DEL	2 and 6 one code 26
07	28	26	e	new	one code 26; the two-part e gloss sits over the 2/6 gap
07	30	16	e	H	two-part e-form gloss
07	33	S32	que	H	n/u stroke + y = S32; gloss que
07	39	16	e	H	c with a detached top stroke, e-form
08	1	75		H	after the 7 a second digit: a top flag with a faint body going down-left, overlapped by the divider; read 5; no gloss
08	3	S06		G	large open c-loop joined to a crossed stroke, matches S06 atlas better than S74 small hook; no gloss
08	6	DEL		DEL	the two 4s are one code 44
08	7	44	o	G	one code 44, gloss o over the first 4
08	9	4	s	H	tall long-s joined to the 4 top, no crossbar
08	10	16	e	H	two-part e-form gloss
08	13	DEL		DEL	2 and 6 one code 26
08	14	26	e	new	one code 26; gloss is the two-part e-form over the 2
08	16	62	e	H	two-part e-form gloss (lower curve + upper blob)
08	20	22	po	G	wavy 2 + z = 22 (as agreed 22 po on lines 03/04); gloss crossed p + o, maybe pro
08	22	S27	f	H	gloss has a crossbar through its stem: f, not the looped l seen over S27 elsewhere
08	23	16	e	H	two-part e-form gloss
08	24	S40	r	G	arch with long left leg and dot after (S40 form, no delta loop); gloss 2-shaped r crossed by a line07 stroke
08	25	26	e	H	two-part e-form gloss
08	26	DEL		DEL	only one 6 visible between the z and the looped sign
08	27	S14	g	G	small loop with a long tail sweeping down-left into an S-curve; closer to S14 than to a plain 9; gloss g
08	32	DEL		DEL	the thin long-s and 102 cover this column
08	33	S16	d	H	thin long-s stroke with hairline top, d gloss
08	34	102	u	H	one code 102, gloss u over the 10
08	36	4	f	G	blotted cross with arms like a 4, no long descender below the blot; gloss a crossed f
09	3	4	s	both	cross 4; gloss a tall tapering long-s stroke, no crossbar, no l-foot
09	5	64	z	both	gloss a crossed z
09	6	9	c	both	one-stroke c with top flag (not the two-stroke e)
09	9	4	f	G	cross-form 4 ending at baseline (no descender, so not S36); rising f/long-s gloss with a left nub at mid-height
09	13	4	s	both	gloss long s with head, no crossbar at gloss height
09	14	16	e	both	gloss is two-stroke secretary e (crescent + separate top tick)
09	17	DEL		DEL	z and 6 are one code 26, gloss over the 2
09	18	26	e	G	z+6 tight pair, single two-stroke e gloss over the 2
09	20	16	e	both	two-stroke e gloss
09	23	62	e	both	two-stroke e gloss
09	25	S33	r	new	two-legged pi/R shape with foot, top spike/gloss r; matches S33 better than S20 or S40
09	29	9	c	both	one-stroke c gloss
09	31	4	s	both	tall long s rising, no crossbar at gloss height
09	32	24	z	both	gloss a crossed z
09	33	DEL		DEL	H split 44 into two tokens; image shows 4 4 as one code with a single gloss over the first
09	34	DEL		DEL	see pos 33
09	35	44	o	G	two cross-4s tight together, open o gloss over the first
09	36	45	?	new	small hooked (closed) 4 then 5, tight pair; blotted mark above the 4, crossed by line-08 descender
09	39	16	e	both	two-stroke e gloss
09	41	DEL		DEL	z+6 one code
09	42	26	e	G	z+6 tight pair, two-stroke e gloss over the 2
10	5	16	e	both	two-stroke e gloss
10	11	9	c	both	one-stroke c with flag; stroke above it is a line-09 descender
10	12	26	u	both	gloss over the 6 is an open u (two minims), not a closed o
10	15	16	e	both	two-stroke e gloss
10	17	102	-	H	slash, then 1 0 2 spaced tightly as one code; loop above the 0 is the end of line-09's long-s descender, not a gloss
10	18	DEL		DEL	the 2 belongs to 102 (G split it)
10	19	44	o	G	two cross-4s together, o gloss over the first
10	20	64	z	both	gloss crossed z
10	21	26	e	both	two-stroke e over the 2
10	24	12	a	both	open secretary a (curved left stroke), not u
10	27	26	e	both	two-stroke e over the 2
10	28	S27	-	H	looped long-s stem and a second straight stem descending below the line, joined by a crossbar = S27; no separate gloss
10	29	16	e	both	two-stroke e gloss
10	30	DEL		DEL	the thin vertical is a ruled line running through lines 10 and 11, not a divider
10	32	9	c	both	one-stroke c gloss
10	33	DEL		DEL	8 and z are one code 82
10	34	82	o	G	8+z tight, o gloss over the 8 (dotted line from above ends in it)
10	36	62	e	both	two-stroke e over the 6
10	37	4	s	both	gloss a tall thick long s, no crossbar
11	2	S37	tc	both	gloss (seen whole in line-10 crop bottom) is crossed t + one-stroke c with flag, like the S38 form
11	6	16	e	both	two-stroke e gloss
11	7	4	s	new	cross 4 whose strokes end near the baseline (no long descender, so not S36); tall long s rising, no crossbar
11	9	28	a	H	gloss is a secretary a over the 8
11	10	DEL		DEL	1 0 z tight = one code 102
11	11	102	u	H	1 0 2 one code, u gloss over the 1/0
11	14	16	e	both	two-stroke e gloss
11	15	4	s	both	tall headed long s, no crossbar at gloss height
11	20	4	s	both	tall headed long s over cross 4, no crossbar at gloss height
11	22	DEL		DEL	only one 6 in the image (the 16 i); H double-counted it
11	23	44	o	G	two 4s tight, o gloss over the first
11	25	4	s	new	closed-form 4 (as in 104) with a tall headed long s rising from its stem; no crossbar; not an atlas sign
11	28	102	u	H	1 0 2 tight, u gloss over the 1/0
11	29	DEL		DEL	the 2 belongs to 102
11	30	44	o	G	two 4s, o gloss over the first
11	31	64	z	both	crossed z gloss
11	33	15	h	both	gloss clearly h (tall ascender with arch)
11	40	S58	?	G	long s crossed by a 2-shape descending into row below; small letter inside a drawn box above (correction?), unread
11	42	S27	l	G	A-like looped stem fused to crossed ff with descending stems = S27
11	44	DEL		DEL	1 0 z one code
11	45	102	u	H	1 0 2 tight, u gloss
11	48	16	e	both	two-stroke e gloss
11	49	102	u	H	1 0 2 tight, u gloss over the 1/0
11	50	DEL		DEL	2 belongs to 102
11	51	44	o	G	4 4 with o gloss over the first, straddling the tick
11	52	73		G	line-12 crop top shows crossed 7 joined to a round-bottomed 3, not a z-2
11	54	26	e	both	two-stroke e over the 2
11	55	5	?	G	5 at the left edge of the ink blot; gloss zone blotted
11	56	?		H	large ink blot about 3 digits wide; a token may be hidden, none visible
11	57	6	?	both	gloss a small filled blob at the blot edge, c/e not distinguishable
11	64	60	z	both	crossed z gloss
11	67	62	e	both	two-stroke e gloss
11	68	4	s	new	x-shaped 4 under a large headed long s (gloss); stem end hidden by row-A strokes, no clear long descender, so not S36
11	70	S32	que	H	n/hook-like left part before the y = S32's hooked arm; gloss q-u-e, the tall stroke after it is the stem of row A's S31
11	72	DEL		DEL	filled triangle is a heavily inked 7 with flat top, first digit of the 73 (G)
11	73	73		G	blotted 7 + 3-shape one code; only a faint grey tick above the 3, no legible gloss
11	74	S40	z	G	z-shaped gloss above the looped n (visible in line-11 crop bottom)
12	2	64	i	G	short single stroke over the 6, no l-foot or loop
12	3	S38		G	crossed mark above is the descending S58 of line-11 row B, not a gloss
12	4	DEL		DEL	one sign here (A fused with crossed ff); kept at pos 5
12	5	S27	r	new	A-like stem fused to crossed ff with descending stems = S27 (same shape as line-11 row B pos 42); gloss r; the thin vertical after it is row B S27's descender, not a divider
12	7	26	e	both	two-stroke e gloss
12	8	DEL		DEL	blotted 1 + 0 + z one code 102
12	9	102	u	H	1 (ink blot) 0 2 tight, u gloss
12	11	S32	que	H	gloss is q with a bar above (que abbreviation)
12	12	S35	vos	H	gloss three letters v/b, o, final s (3-shaped)
12	15	DEL		DEL	4 4 one code
12	16	44	o	G	two 4s tight, one o gloss between/over them
12	18	62	e	both	two-stroke e gloss
12	19	73	ll	G	heavy gloss of two tall joined strokes, no arch (ll rather than n)
12	20	S44		G	mark above is the lower end of line-11 row B's divider and S31 cross, not a gloss
12	22	S31	p	new	circle standing on a cross (same as pos 28), not a 9; p gloss
12	23	12	a	H	1 z with a gloss
12	24	54	s?	new	5 and 4 tight with one two-letter gloss spanning both (long s/f without crossbar + a hook, e or r); G also read 54
12	25	DEL		DEL	the 4 belongs to 54
12	26	26		H	z 6, no gloss
12	27	|		H	divider stroke before the S31
12	29	28	a	H	z 8 with a gloss (G skipped this group)
12	30	S40	r	H	n-shape with closed loop and crossbar, r-like gloss; G's 12 here is misaligned
12	31	5	d	H	single 5 before 26; faint small gloss word spans 30-33
12	32	26	o	H	faint gloss letter o in the small word above
12	33	9	n	H	faint gloss letter n in the small word above
13	1	12	a	H	gloss a sits between the lines (seen in line-12 crop bottom), a separate letter, not a descender
13	2	S31	p	H	crossed-stem p gloss above (line-12 crop bottom), separate from line-12 strokes
13	3	S34	r	H	small r gloss above the Ao
13	4	62	e	both	two-stroke e gloss
13	5	4		G	the tall stroke above is the descending stem of line-12's S27, not a gloss
13	7	S35	vo	new	gloss is v/b-like looped letter + o + dot (seen whole across line-12/13 crops); not s-o, not u-e
13	9	DEL		DEL	1 0 2 one code
13	10	102	u	H	1 0 z tight, u gloss
13	12	16	e	both	two-stroke e gloss
13	13	73	z	G	crossed 7 + 3 with a long tail crossed by the divider; gloss a 3/z-shaped letter
13	15	62	e	both	two-stroke e gloss
13	18	16	e	both	two-stroke e gloss
13	24	44	o	G	two 4s, o/a-like gloss between them
13	25	7	u	G	7 with its own u gloss (7 u is an agreed code elsewhere); H's second 4 belongs to 44
13	26	61	?	G	6 and 1 each have a u-like gloss letter over them (u, u/w); segmentation of 6-1-8 uncertain, H read 7 6 + 1 6
13	27	8	c	G	8 with looped tail (last digit is an 8, not a 6); one-stroke c gloss above
13	30	DEL		DEL	4 4 one code
13	31	44	o	G	two 4s, o gloss between
13	34	26	e	both	two-stroke e over the 2
13	35	4	s	both	headed long s gloss, no crossbar
13	40	4	s	both	headed long s gloss, no crossbar
14	1	DEL		DEL	z and 6 one code 26
14	2	26		G	z+6 tight, no gloss
14	7	DEL		DEL	5 and 4 tight = one code 54
14	8	54		G	5+4 tight; tall strokes above run up to the crop top = line-13 descenders, not glosses
14	9	16		G	g/8-like curl above is the curled tail of line-13's S35 long s, not a gloss
14	15	S61		G	5-body whose top stroke continues without a break into an open loop above = S61; no separate gloss
14	16	4	f	G	x-form 4 at baseline; heavy f with crossbar descends into it (gloss), no long descender below the line
14	20	16	e	both	two-stroke e gloss
14	22	S45	toue	new	open c/epsilon curl with a bar through it (S45, not the Q-like S14); gloss reads t-o-u-e
14	24	12	d	H	d-shaped gloss over the 2
14	25	64	z	both	crossed z gloss
14	30	S32	q	G	large closed spiral loop gloss, same position/form as the q loop on other S32s
14	34	14	u	H	gloss is two equal minims (u)
14	35	5	d	G	5 with d gloss directly above
14	36	DEL		DEL	blotted 1 + 0 + 2 one code
14	37	102	u	new	1 (ink blot) 0 2 tight; u gloss over the 0 (H's d belongs to the 5 before it)
14	40	16	e	both	two-stroke e gloss
14	41	S40	x	H	gloss is two crossing diagonals (x), unlike the footed r over the Ao in this line
14	42	26	e	both	two-stroke e over the 2
14	43	2		G	faint z-shaped 2 at the paper edge, ink present
15	2	DEL		DEL	thin slanting stroke running the full crop height is the long-s descender of line-14's S35, not a divider
15	3	S35	vo	new	gloss letters v/b-looped + o (seen in line-14 crop bottom), same form as line 13 pos 7
15	7	16	e	both	two-stroke e gloss (6 overwritten by a line-14 stroke)
15	8	72	i	new	crossed 7 whose diagonal runs into a looped z-base with a long foot (7+2 fused, as H); only a dot above the foot (i-dot gloss as G)
15	10	62	e	both	two-stroke e gloss
15	13	DEL		DEL	z and 6 one code
15	14	26	u	G	z+6 tight, u gloss over the 2
15	20	82	o	G	8+z one code with o gloss; tall stroke above the z is line-14's long divider running down, not an l gloss
15	21	7	u	G	7 with its own u gloss (agreed code 7 u elsewhere)
15	22	6	um	G	uncertain segmentation: glosses u / m-like over 6 and 1; H reads 7+6 as 76 'uu'. Same 7-6-1-x pattern as line 13 pos 25-27
15	23	16	e	both	two-stroke e over the final 6
15	25	60	z	both	crossed z gloss
15	26	62	e	both	two-stroke e gloss
15	28	44		G	two 4s; the hook-with-dot above is the lower end of line-14's divider, not a gloss
15	29	DEL		DEL	see 28/30: 4 4 then 1 0 2
15	30	102	u	H	1 0 z tight, u gloss over the 0
15	35	|		G	tall stroke rising above and descending below the line, joined to the 4's arm (a divider), not a separate bold H sign
15	36	S28	m	G	open c-hook joined to m = S28 (no descending tail as S49)
15	37	26	e	both	two-stroke e over the 2
16	1	S53		G	3/8-like looped curl with a tail running down-left; touches but is distinct from the following 7
16	2	7		G	plain 7 (top bar + diagonal, no 4-cross), so the pair is not S74
16	4	62	e	both	two-stroke e gloss
16	6	DEL		DEL	1 0 2 one code
16	7	102	u	H	1 0 z tight, u gloss over the 0
16	8	4	s	both	headed long s rising from the cross 4, no crossbar
16	10	5	x	H	gloss two crossing strokes (x), unlike the footed r over the Ao in this line
16	18	DEL		DEL	1 0 2 one code
16	19	102	u	H	1 0 z tight, u gloss
16	20	16	e	both	two-stroke e gloss
16	27	DEL		DEL	only a dot between the 8 of 28 and the next pair; no t/to sign present
16	28	52	pr	new	s-curl digit (5-like, possibly 3; dot at its foot) + z, tight; p gloss over the first, r over the second; stems of glosses touch the digits
16	32	64	i	G	short single stroke with a small head over the 6, no l-foot
16	34	16	e	both	two-stroke e gloss
16	36	S27	l	G	A-like stem fused to crossed ff = S27 (as line 11 pos 42, line 12 pos 5); gloss an l with a foot and a cross-stroke
17	2	DEL		DEL	image: 10 4 then gap then 6; the 4 belongs to 104 (gloss u over 10)
17	3	64	z	both	gloss is a 3/z-shaped mark over the 6
17	4	DEL		DEL	no separate 4 between 64 and the next group
17	5	DEL		DEL	third group is one 44 (first 4 carries the gloss), not three 4s
17	6	44	e	G	44 with one gloss over first 4; gloss is an epsilon/e-like loop (could be s), not o
17	8	16	e	both	two-stroke gloss (hook plus stroke) read e, as in the agreed 16 e at 19/8
17	11	16	c	both	c directly above 16; the cross higher up is a descender from line 16
17	14	S37		both	heavy t-top belongs to the sign; no separate gloss above
17	15	X		G	vertical stroke with two slanting crossbars (double-barred cross), no 4 tail; not S36
17	17	S58		G	crossed long s with 2/7-shaped tail; tall stroke above is a descender from line 16, no gloss
17	18	X	faut	G	c-hook joined to a z-shape with tail below; gloss word faut over it
17	19	9	c	H	first of two c glosses after faut sits over 9
17	20	16	c	both	second c gloss over 16 (tall l beside it is a line-16 descender)
17	21	DEL		DEL	6 and 8 form 68 (G pos22); H's S58 here is the same 68
17	22	68	ll	G	6 then 8 with descender; gloss ll
17	23	104	u	G	1, blotted 0, 4 under one gloss u (same code as line start)
17	24	60	r	G	delta-like 6 then round 0; gloss r/v; uncertain 6 vs 8
17	28	DEL		DEL	z and 4 form one code under one H-like gloss
17	29	24	tt	G	z then 4, one H/tt-like gloss over both
17	32	X	t	G	heavy hooked long stroke (top bulb curls right, descends below line), cross gloss t; like S16 but no top loop
17	33	12	a	G	seen at top of line18_s2: 1 z, gloss a
17	34	10	u	G	line18_s2 top: 1 0, gloss u
17	35	2		G	line18_s2 top: lone z, no gloss
17	36	S37	t	G	line18_s2 top: crossed t joined to o, gloss t
17	37	X	o	G	line18_s2 top: 8-like closed bottom loop with top stroke curling back; gloss small o
17	38	7	u	new	line18_s2 top: final code is a 7 (G's X, code below crop); gloss u to its right before the line-end dash
18	1	16	e	both	two-stroke gloss, same form as agreed 16 e at 19/8
18	3	|		G	thin separate diagonal stroke between 7 and Ao, not the 7's tail
18	4	S34	f	G	capital A joined to closed o; F-like gloss above
18	5	S28	m	G	thin c-hook lead-in then m, no descending tail
18	7	16	e	both	two-stroke gloss, same form as agreed 16 e at 19/8
18	8	S21		G	tall f-like stroke with curved top and low crossbar
18	9	9	c	H	small hook above 9, partly merged with a descender from line 17
18	12	S44	t	G	small mark above the loop-on-stem sign read as gloss t (uncertain)
18	14	DEL		DEL	the two minims are part of the one written cluster under gloss quil
18	15	X	quil	G	written cluster like ily (minims then y) under the single gloss word quil; H split it 11+S79
18	17	5	cy	H	s-shaped 5 with descending tail, gloss letters cy above
18	18	S29	gm	G	run of minims with gloss gm(m) above
18	19	6	e	both	two-stroke gloss read e (as agreed 19/8)
18	21	68	ll	G	gloss ll (second l looped); same 68 ll as line 17
18	30	44	o	new	4 4 with one gloss o over the first 4 (as 44 in line 17); uncertain split
18	31	DEL		DEL	second 4 folded into 44
18	32	8	l	G	lone 8 with gloss l (crossed l), gloss not f; uncertain split
18	33	DEL		DEL	second 8 folded into 82
18	34	82	e	H	8 then z; two-stroke gloss between them read e (as agreed 19/8); uncertain split
18	37	DEL		DEL	1 and 6 form one code 16 under one gloss
18	38	16	e	G	1 6 under one two-stroke barred gloss, read e
18	40	12	d	H	thick 1 then z (no 5), large d gloss above
18	41	6	e	both	two-stroke gloss read e
18	42	|		H	tall thin stroke rising after the 6
19	4	DEL		DEL	z and 8 form one code under a single gloss a
19	5	28	a	H	z then 8 with one gloss a over the z
19	10	S32		H	the T-shape above the y is the base of line 18's S44 descending, not a gloss
19	11	5	que	G	gloss que begins directly over the s-shaped 5
19	12	S62		new	loop with a slash through it and a long tilde flourish (delta with slash, as H), gloss que belongs to the 5 (as G)
19	15	60	l	G	gloss is a vertical with a small hook, no clear crossbar: l (t possible)
19	18	DEL		DEL	z and 8 form one code under a single gloss a
19	19	28	a	H	z then 8, one gloss a
19	20	64	h	H	gloss is an h with ascender
19	22	|		G	thin faint slash before the z is a divider, not a 1
19	23	2		G	lone z after the divider
19	24	6	e	G	two-stroke gloss read e (as agreed 19/8)
19	27	16	e	G	two-stroke gloss read e
19	28	X	et	G	c-hook then crossed t (ct order), reverse of S38; kept apart
19	29	5	en	new	s-shaped 5 with a 3n/en-like gloss above it
19	30	S28	m	G	gloss over the c-hook-m is a plain m
19	31	2		G	the stroke before z is the m's last leg; z has no gloss
19	32	6	e	G	two-stroke gloss sits over the 6, read e
19	35	16	e	G	two-stroke gloss read e
20	1	7	u	H	u-like gloss above the 7 at the crop top
20	3	62	e	G	two-stroke gloss read e
20	4	16	e	G	two-stroke gloss above the 16 at crop top
20	5	S21		G	tall stroke with crossbar and curved top, lead-in from the 6; same shape settled S21 at 18/8
20	7	62	e	G	two-stroke gloss read e
20	8	S33	r	G	clear r gloss above the pi-shape
20	11	9	e	G	two-stroke hook gloss read e
20	12	26	e	G	two-stroke gloss centred over 2 and 6
20	13	X		G	circle on descending stem, crossbar through the circle top, hook at top right; crossbar not on the stem so not S63
20	15	16	e	G	two-stroke gloss read e
20	17	26	e	G	two-stroke gloss between 2 and 6
20	18	S33		G	the crossed dark mark above is the long stem of line 19's ct sign descending, not a gloss
20	19	16	e	G	two-stroke gloss read e, no u
20	20	DEL		DEL	1 0 4 is one code under a single gloss u
20	21	104	u	H	1 0 4 with gloss u over the 10
20	23	9	e	G	two-stroke hook gloss read e
20	24	60	l	new	short vertical with curl and blob, l-like (t possible); not c
20	25	S34	r	G	r-like gloss with flourish, as S34 r elsewhere
20	30	S37		G	the tall cross above is the sign's own t, no separate gloss
20	31	DEL		DEL	the bold bo-like mark is not a separate cipher sign; it sits in gloss position over the faint 2s
20	32	22	bo	G	two faint grey 2s on the baseline under a bold bo mark read as gloss (uncertain: could be an overwritten S47)
21	1	9	e	H	hook-shaped two-stroke mark above the 9 at crop top, read e
21	2	DEL		DEL	z and 6 form one code under one gloss
21	3	26	e	H	z then 6 under one two-blob gloss, read e (H's u doubtful)
21	5	S13	t	H	plain cross, no 4 hook or tail (checked at 6x)
21	6	26	e	G	two-stroke gloss read e
21	7	17		G	heavy mark above is the foot of line 20's S44 descending, not a gloss
21	8	16	e	G	two-stroke gloss read e
21	10	S76	r	H	small r/k-like gloss above the barred A
21	11	62	e	G	two-stroke gloss read e
21	13	62	e	G	two-stroke gloss read e
21	14	S52	m	G	three minims (m) above the lattice
21	15	DEL		DEL	the thin diagonal is a line-20 stroke at the crop top; no divider on the baseline
21	16	S35	le	new	long s then small 8/s shape, as agreed S35 at pos4; gloss thick l plus 3/e-like mark
21	19	DEL		DEL	6 and 4 form one code under one gloss t
21	20	64	t	H	6 then 4, single gloss t over the 6
21	24	S33	u	H	gloss u above the pi-shape, a small hook at its right
21	30	S13	tu	H	plain cross, no 4 hook; gloss tu spans cross and Ao
21	32	DEL		DEL	z and faint 6 form one code under one gloss
21	33	26	e	new	z then faint 6, two-stroke gloss over the z read e
21	34	9	e	G	two-stroke gloss read e
21	35	17	s	G	tall looped long-s-like gloss (s), not h
21	37	4	s	G	tall long s (no crossbar) above the second 4 read as gloss s
22	1	DEL		DEL	no token before the z; the high dark mark is in gloss position
22	2	26	?	G	z and 6 close, one code; a dark a/u-like mark high above may be its gloss or interference from line 21
22	5	16	a	H	small a-like mark with dots above the 16 (e possible)
22	14	9	c	H	single c-hook gloss, not the two-stroke e form
22	18	DEL		DEL	z and 6 form one code under one gloss d
22	19	26	d	H	z straddles the tick, 6 follows; d-like gloss over the z
22	20	S23	e	G	two-stroke hook gloss sits above the x
22	21	S33		G	blob above is fused with a descender from line 21, read as interference (H's u possible)
22	22	26	e	G	two-stroke gloss over the 2
22	24	DEL		DEL	8 and z form one code under one gloss o
22	25	82	o	H	8 with descender then z; single o gloss over the 8
22	28	S69		G	A with a raised hooked v-like element, not a closed o on the baseline
