line	position	token	kind	gloss	grade	note
04	14	S13	sign		M	plus/cross (x-shaped) mark
04	15	14	digit	z	H
04	16	64	digit		H
04	17	X?	X?		M	"crossed-t-like shape resembling ""to""; no confident atlas match"
04	18	|	divider		M	horizontal double-dash style divider
04	19	22	digit		M	digit boundary uncertain
04	20	5	digit		M	"digit boundary uncertain; small cursive marginal annotation resembling ""quel"" visible nearby, not transcribed as a token"
04	21	6	digit	dv	M
04	22	S44	sign		H	p-like loop with crossed stem
04	23	62	digit		H
04	24	S13	sign		M	plus/cross (x-shaped) mark
04	25	S37	sign	z	M	crossed t joined to o
04	26	60	digit		H
04	27	S38	sign		M	crossed t joined to c, with a tick
04	28	|	divider		H	true bold vertical divider
04	29	104	digit		H
04	30	S64	sign		M	3-shape with a trailing tail; last token before right edge of leaf, low confidence
05	1	S21	sign	z	M	hooked ascender with tail
05	2	6	digit		H
05	3	15	digit	n	M	digit boundary uncertain
05	4	10	digit	u	M	digit boundary uncertain
05	5	|	divider		M	horizontal double-dash style divider
05	6	S44	sign	z	M	p-like loop with crossed stem
05	7	S34	sign	9	M	Ao ligature; low confidence on gloss
05	8	26	digit		M	written as z-curl(2) + 6; boundary uncertain
05	9	9	digit		H
05	10	14	digit		H
05	11	1	digit		M
05	12	S44	sign		M	p-like loop with crossed stem, low confidence
05	13	|	divider		M	horizontal double-dash style divider
05	14	X?	X?		M	small n/loop shape; no confident atlas match
05	15	S27	sign		M	tall doubled long-s with crossbar (ff)
05	16	|	divider		M	horizontal double-dash style divider
05	17	64	digit		H
05	18	X?	X?		M	loop flourish; no confident atlas match
05	19	102	digit		M	written as 10 + z-curl(2); boundary uncertain
05	20	16	digit		M
05	21	68	digit		M	digit boundary uncertain
05	22	62	digit		M
05	23	S21	sign		M	hooked ascender with tail, low confidence
05	24	5	digit		M
05	25	|	divider		H	true bold vertical divider
05	26	601	digit		M	digit run, boundary uncertain
05	27	2	digit		M	z-curl alone, standalone digit 2
05	28	7	digit		M
05	29	|	divider		H	true bold vertical divider
05	30	26	digit		M	last legible cluster before right edge; low confidence for this line's second half throughout
06	1	S13	sign		M	plus/cross (x-shaped) mark
06	2	X?	X?	?	M	"crossed ascender resembling ""to""; no confident atlas match"
06	3	16	digit		H
06	4	|	divider		H	true bold vertical divider
06	5	3	digit	0	M
06	6	X?	X?	2	M	"hooked ligature resembling ""bo"" plus loop, cf. line02 pos.8; low confidence"
06	7	69	digit		M
06	8	|	divider		M	horizontal double-dash style divider
06	9	9	digit		H
06	10	X?	X?		M	ua-like ligature; no confident atlas match
06	11	|	divider		H	true bold vertical divider
06	12	S54	sign		M	f with a closed loop
06	13	4	digit		H
06	14	4	digit		H
06	15	S34	sign		H	Ao ligature
06	16	S37	sign		M	crossed t joined to o
06	17	|	divider		H	true bold vertical divider
06	18	12	digit	a	H
06	19	5	digit		M
06	20	X?	X?		M	loop flourish; no confident atlas match
06	21	S13	sign		M	plus/cross mark
06	22	16	digit		H
06	23	|	divider		M	horizontal double-dash style divider
06	24	26	digit	9	M	written as z-curl(2) + 6
06	25	S13	sign		M	plus/cross mark
06	26	1	digit		H
06	27	X?	X?		M	"crossed ascender resembling ""to""; no confident atlas match"
06	28	62	digit		M
06	29	X?	X?		M	small n-shape; no confident atlas match
06	30	S40	sign		M	ornate hooked n/omega-loop shape, cf. line01 pos.20; tentative
06	31	16	digit		H
06	32	|	divider		H	true bold vertical divider
06	33	S79	sign		M	"y-shape, low confidence; small cursive marginal annotation resembling ""quel"" visible nearby, not transcribed as a token"
06	34	5	digit		H
06	35	16	digit		H
06	36	S13	sign		M	plus/cross mark
06	37	S13	sign		M	plus/cross mark; last token before right edge of leaf
07	1	5	digit	0	M
07	2	|	divider		M	horizontal double-dash style divider
07	3	S34	sign		H	Ao ligature
07	4	9	digit		H
07	5	16	digit		H
07	6	S13	sign		M	plus/cross mark
07	7	|	divider		H	true bold vertical divider
07	8	5	digit		M	"small cursive marginal annotation resembling ""quel 60?"" visible nearby, not transcribed as a token"
07	9	|	divider		H	true bold vertical divider
07	10	S29	sign		M	three minims (uu)
07	11	|	divider		M	horizontal double-dash style divider
07	12	6	digit		H
07	13	15	digit		M
07	14	16	digit		H
07	15	S40	sign		M	ornate hooked n/omega-loop shape, cf. line01 pos.20; tentative
07	16	|	divider		H	true bold vertical divider
07	17	S21	sign		M	hooked ascender with tail
07	18	544	digit		M	digit run, boundary uncertain
07	19	6	digit		H
07	20	02	digit		M
07	21	61	digit		M
07	22	S37	sign		M	crossed t joined to o
07	23	|	divider		H	true bold vertical divider
07	24	S37	sign		M	crossed t joined to o
07	25	|	divider		M	horizontal double-dash style divider
07	26	26	digit		M	written as z-curl(2) + 6
07	27	6	digit		H
07	28	S27	sign		M	tall doubled long-s with crossbar (ff)
07	29	16	digit		H
07	30	S13	sign		M	plus/cross mark
07	31	|	divider		H	true bold vertical divider
07	32	X?	X?		M	"small ligature resembling ""ny""; no confident atlas match; small cursive marginal annotation (""quo...mand[é]..."") visible nearby, not transcribed as tokens"
07	33	S21	sign		M	hooked ascender with tail
07	34	S29	sign		M	three minims (uu)
07	35	12	digit		H
07	36	15	digit		M
07	37	16	digit		H	last token before right edge of leaf
08	1	77	digit		H
08	2	|	divider		H	true bold vertical divider
08	3	X?	X?		M	"ligature resembling ""ra""; no confident atlas match"
08	4	62	digit		M
08	5	S13	sign		M	plus/cross mark
08	6	S30	sign		M	c-hook joined to na
08	7	44	digit	n	H
08	8	S21	sign		M	hooked ascender with tail
08	9	16	digit		H
08	10	10	digit		M
08	11	4	digit		H
08	12	65	digit		M
08	13	26	digit		M	written as z-curl(2) + 6
08	14	S29	sign		M	three minims (uu)
08	15	6	digit		H
08	16	215	digit		M	digit run, boundary uncertain
08	17	S37	sign		M	crossed t joined to o
08	18	|	divider		H	true bold vertical divider
08	19	X?	X?		M	"loop flourish resembling ""po""; no confident atlas match"
08	20	|	divider		H	true bold vertical divider
08	21	S27	sign		M	tall doubled long-s with crossbar (ff)
08	22	16	digit		H
08	23	26	digit		M	written as z-curl(2) + 6
08	24	12	digit		H
08	25	S34	sign		H	Ao ligature
08	26	|	divider		H	true bold vertical divider
08	27	102	digit	5	M	written as 10 + z-curl(2)
08	28	|	divider		H	true bold vertical divider
08	29	X?	X?		M	dense crossed blot, possibly ink blot rather than a sign; low confidence
08	30	12	digit		H
08	31	60	digit		M	last legible cluster before right edge; low confidence
09	1	|	divider		H	true bold vertical divider
09	2	5104	digit		M	digit run, boundary uncertain
09	3	S13	sign		M	plus/cross mark
09	4	5	digit		H
09	5	64	digit		H
09	6	9	digit		H
09	7	S38	sign		M	crossed t joined to c, with a tick
09	8	|	divider		H	true bold vertical divider
09	9	S13	sign		M	plus/cross mark
09	10	605	digit		M	digit run, boundary uncertain
09	11	|	divider		H	true bold vertical divider
09	12	S21	sign		M	hooked ascender with tail
09	13	16	digit		H
09	14	X?	X?		M	"ligature resembling ""gr""; no confident atlas match"
09	15	S34	sign		H	Ao ligature
09	16	26	digit		M	written as z-curl(2) + 6
09	17	5	digit		H
09	18	16	digit		H
09	19	115	digit		M	digit run, boundary uncertain
09	20	S37	sign		M	crossed t joined to o
09	21	62	digit		M	written as z-curl(2) + 6
09	22	|	divider		H	true bold vertical divider
09	23	S40	sign		M	ornate hooked n/omega-loop shape, cf. line01 pos.20; tentative
09	24	14	digit		H
09	25	S13	sign	5a	M	plus/cross mark
09	26	|	divider		H	true bold vertical divider
09	27	9	digit		H
09	28	14	digit		H
09	29	S21	sign		M	hooked ascender with tail
09	30	24	digit	7	M	written as 2 + 4, or z-curl(2)+4; boundary uncertain
09	31	S12	sign		M	small cross/dagger mark
09	32	S13	sign		M	plus/cross mark
09	33	X?	X?		M	ornate loop shape; no confident atlas match
09	34	|	divider		H	true bold vertical divider
09	35	16	digit		H
09	36	62	digit		M	written as z-curl(2) + 6
09	37	61	digit		M	last token before right edge of leaf
10	1	S37	sign	po	M	crossed t joined to o
10	2	1	digit		M
10	3	4	digit		H
10	4	X?	X?		M	small n-shape; no confident atlas match
10	5	S38	sign		M	crossed t joined to c, with a tick
10	6	6	digit		H
10	7	S34	sign		H	Ao ligature
10	8	|	divider		H	true bold vertical divider
10	9	3	digit		M
10	10	X?	X?		M	"ligature resembling ""ar""; no confident atlas match"
10	11	12	digit		H
10	12	X?	X?		M	small n-shape; no confident atlas match
10	13	26	digit		M	written as z-curl(2) + 6
10	14	S21	sign		M	hooked ascender with tail
10	15	S37	sign		M	crossed t joined to o
10	16	16	digit		H
10	17	102	digit		M	written as 1 + 0 + z-curl(2); boundary uncertain
10	18	24	digit		M	written as z-curl(2) + 4, or 2 + 4; boundary uncertain
10	19	64	digit		H
10	20	26	digit		M	written as z-curl(2) + 6
10	21	|	divider		H	true bold vertical divider
10	22	512	digit		M	digit run, boundary uncertain
10	23	S29	sign		M	three minims (uu)
10	24	26	digit		M	written as z-curl(2) + 6
10	25	S21	sign		M	hooked ascender with tail
10	26	16	digit		H
10	27	115	digit		M	digit run, boundary uncertain
10	28	98	digit		M	digit run, boundary uncertain
10	29	|	divider		M	horizontal double-dash style divider
10	30	X?	X?		M	ornate loop shape; no confident atlas match
10	31	62	digit		M	written as z-curl(2) + 6
10	32	S21	sign		M	hooked ascender with tail
10	33	|	divider		H	true bold vertical divider
10	34	5	digit		M	last legible token before right edge; low confidence
11	1	22	digit		M	line is unusually tall (222px); low confidence throughout
11	2	S37	sign		M	crossed t joined to o
11	3	X?	X?		M	"small cursive cluster resembling ""bonate""/""bonatc"" sits below-left of this token in a larger, more fluent hand than the digit-glosses -- not transcribed as tokens, possibly a later reader's marginal annotation or bleed-through"
11	4	S13	sign		M	plus/cross mark
11	5	S38	sign		M	crossed t joined to c, with a tick
11	6	104	digit		M	digit run, boundary uncertain
11	7	S24	sign		M	two-letter-looking ligature (L+B/8)
11	8	12	digit		H
11	9	X?	X?		M	"bold crossbarred ""A"" ligature, cf. S41; tentative"
11	10	14	digit	a	H
11	11	102	digit		M	written as 1+0+z-curl(2)
11	12	|	divider		H	true bold vertical divider
11	13	251	digit	z	M	digit run, boundary uncertain
11	14	S13	sign		M	plus/cross mark
11	15	S38	sign		M	crossed t joined to c, with a tick
11	16	S34	sign		M	Ao ligature
11	17	16	digit		H
11	18	S13	sign		M	plus/cross mark
11	19	|	divider		H	true bold vertical divider
11	20	82	digit		M	written as 8 + z-curl(2)
11	21	9	digit		M
11	22	12	digit	u	M
11	23	016	digit		M
11	24	102	digit		M	written as 1+0+z-curl(2)
11	25	44	digit		M
11	26	X?	X?		M	crossed flourish; no confident atlas match
11	27	|	divider		H	true bold vertical divider
11	28	S04	sign		M	hash/lattice mark
11	29	102	digit		M	written as 1+0+z-curl(2); a dense ink blot sits nearby, not transcribed as a token
11	30	S21	sign		M	hooked ascender with tail
11	31	X?	X?		M	ornate double-loop ligature; no confident atlas match
11	32	S13	sign	a	M	plus/cross mark
11	33	9	digit		M
11	34	244	digit		M	digit run, boundary uncertain
11	35	641	digit		M	digit run, boundary uncertain
11	36	4	digit		H
11	37	15	digit		M
11	38	S38	sign		M	crossed t joined to c, with a tick
11	39	104	digit	z	M	digit run, boundary uncertain
11	40	S19	sign		M	small plain circle
11	41	82	digit		M	"written as 8 + z-curl(2); small cursive marginal annotation resembling ""quel"" visible nearby, not transcribed as a token; last legible tokens before right edge of leaf, low confidence for this entire line"
12	1	4	digit		M	line is unusually tall (215px); low confidence throughout
12	2	S38	sign		M	crossed t joined to c, with a tick
12	3	X?	X?		M	ornate loop ligature; no confident atlas match
12	4	24	digit		M	written as z-curl(2) + 4
12	5	269	digit		M	digit run, boundary uncertain
12	6	X?	X?		M	dense round blot, possibly ink blot rather than a sign
12	7	|	divider		H	true bold vertical divider
12	8	S79	sign		M	y-shape, low confidence
12	9	S21	sign		M	hooked ascender with tail
12	10	S04	sign		M	hash/lattice mark
12	11	S21	sign		M	hooked ascender with tail
12	12	544	digit		M	digit run, boundary uncertain
12	13	60	digit		M
12	14	62	digit		M	written as z-curl(2) + 6
12	15	73	digit		M
12	16	S40	sign		M	ornate hooked n/omega-loop ligature (F+omega); tentative
12	17	X?	X?		M	p-loop with hook; no confident atlas match
12	18	12	digit		M	written as 1 + z-curl(2)
12	19	24	digit		M	written as z-curl(2) + 4
12	20	6	digit		H
12	21	|	divider		H	true bold vertical divider
12	22	8	digit		M
12	23	X?	X?		M	"ornate looped ligature resembling ""Sn""; no confident atlas match"
12	24	12	digit		M	written as 1 + z-curl(2)
12	25	269	digit		M	digit run, boundary uncertain
12	26	12	digit		M	written as 1 + z-curl(2)
12	27	|	divider		H	true bold vertical divider
12	28	12	digit		M	last legible token before right edge of leaf; low confidence for this entire line
13	1	12	digit		H
13	2	S13	sign		M	plus/cross mark
13	3	S34	sign		H	Ao ligature
13	4	62	digit		M	written as z-curl(2) + 6
13	5	S13	sign		M	plus/cross mark
13	6	S44	sign		H	p-like loop with crossed stem
13	7	S79	sign		M	y-shape, low confidence
13	8	5	digit		H
13	9	14	digit		H
13	10	102	digit		M	written as 1+0+z-curl(2)
13	11	S76	sign		M	plain capital A
13	12	16	digit		H
13	13	23	digit		M	digit run, boundary uncertain
13	14	|	divider		H	true bold vertical divider
13	15	62	digit		M	written as z-curl(2) + 6
13	16	15	digit		M
13	17	S37	sign		M	crossed t joined to o
13	18	6	digit		H
13	19	S30	sign		M	c-hook joined to na
13	20	5	digit		H
13	21	104	digit		M
13	22	|	divider		H	true bold vertical divider
13	23	94	digit		M
13	24	476	digit		M	digit run, boundary uncertain
13	25	6	digit		H
13	26	16	digit		H
13	27	|	divider		H	true bold vertical divider
13	28	S37	sign		M	crossed t joined to o
13	29	4	digit		H
13	30	104	digit		M
13	31	S37	sign		M	crossed t joined to o
13	32	62	digit		M	written as z-curl(2) + 6
13	33	S13	sign		M	plus/cross mark
13	34	|	divider		H	true bold vertical divider
13	35	S21	sign		M	hooked ascender with tail
13	36	X?	X?		M	"ligature resembling ""ch""; no confident atlas match"
13	37	9	digit		H
13	38	178	digit		M	digit run, boundary uncertain
13	39	52	digit		M	last legible token before right edge of leaf, written as z-curl(2)+5 or 5+z-curl(2); low confidence
14	1	26	digit		M	written as z-curl(2) + 6
14	2	S21	sign		M	hooked ascender with tail
14	3	5	digit	3	M
14	4	S13	sign		M	plus/cross mark
14	5	604	digit		M	digit run, boundary uncertain
14	6	14	digit		H
14	7	54	digit		H
14	8	16	digit	u	H
14	9	X?	X?		M	small n-shape; no confident atlas match
14	10	15	digit		M
14	11	S37	sign		M	crossed t joined to o
14	12	|	divider		H	true bold vertical divider
14	13	X?	X?		M	"ligature resembling ""sy""; no confident atlas match"
14	14	S13	sign		M	plus/cross mark
14	15	12	digit		H
14	16	60	digit		M
14	17	S34	sign		H	Ao ligature
14	18	16	digit		H
14	19	|	divider		H	true bold vertical divider
14	20	12	digit		H
14	21	6	digit		H
14	22	S13	sign		M	plus/cross mark
14	23	15	digit		M
14	24	S21	sign		M	hooked ascender with tail
14	25	60	digit		H
14	26	|	divider		H	true bold vertical divider
14	27	S79	sign		M	y-shape, low confidence
14	28	|	divider		H	true bold vertical divider
14	29	15	digit		M
14	30	14	digit		H
14	31	102	digit		M	written as 1+0+z-curl(2)
14	32	60	digit		H
14	33	S21	sign		M	hooked ascender with tail
14	34	16	digit		H
14	35	X?	X?		M	small n-shape; no confident atlas match
14	36	26	digit		M	last token before right edge of leaf, written as z-curl(2)+6
15	1	X?	X?		M	dense blot, possibly ink blot rather than a sign; low confidence
15	2	X?	X?		M	"looped ""S""-ligature; no confident atlas match"
15	3	12	digit		M	written as 1 + z-curl(2)
15	4	104	digit		M
15	5	S34	sign		H	Ao ligature
15	6	16	digit		M
15	7	X?	X?		M	"looped ""S""-ligature (cont); no confident atlas match"
15	8	62	digit		M	written as z-curl(2) + 6
15	9	15	digit		M
15	10	S37	sign		M	crossed t joined to o
15	11	26	digit		M	written as z-curl(2) + 6
15	12	S30	sign		M	c-hook joined to na
15	13	5	digit		H
15	14	|	divider		H	true bold vertical divider
15	15	98	digit		M	digit run, boundary uncertain
15	16	76	digit		M
15	17	16	digit		H
15	18	|	divider		H	true bold vertical divider
15	19	60	digit		H
15	20	26	digit		M	written as z-curl(2) + 6
15	21	7	digit		H
15	22	44	digit		H
15	23	102	digit		M	written as 1+0+z-curl(2)
15	24	52	digit		M	digit run, boundary uncertain
15	25	60	digit		H
15	26	S75	sign		M	bold capital H
15	27	X?	X?		M	small m-shape; no confident atlas match
15	28	26	digit		M	written as z-curl(2) + 6
15	29	58	digit		M
15	30	16	digit		M	last legible token before right edge of leaf; small cursive marginal annotation visible nearby, not transcribed as a token; low confidence for this entire line
16	1	X?	X?		M	cross-loop ligature; no confident atlas match
16	2	S34	sign	12	M	Ao ligature
16	3	62	digit		M	written as z-curl(2) + 6
16	4	S21	sign		M	hooked ascender with tail
16	5	102	digit		M	written as 1+0+z-curl(2)
16	6	|	divider		H	true bold vertical divider
16	7	5	digit		H
16	8	14	digit		H
16	9	9	digit		M
16	10	S34	sign		H	Ao ligature
16	11	12	digit		M	written as 1 + z-curl(2)
16	12	S37	sign		M	crossed t joined to o
16	13	60	digit		H
16	14	X?	X?		M	crossed loop; no confident atlas match
16	15	102	digit		M	written as 1+0+z-curl(2)
16	16	16	digit		H
16	17	|	divider		H	true bold vertical divider
16	18	5	digit		H
16	19	7	digit		H
16	20	9	digit		M
16	21	744	digit		M	digit run, boundary uncertain
16	22	102	digit		M	written as 1+0+z-curl(2)
16	23	52	digit		M
16	24	60	digit		H
16	25	X?	X?		M	"ligature resembling ""ff+e""; no confident atlas match"
16	26	60	digit		H
16	27	S13	sign		M	plus/cross mark
16	28	12	digit		M	written as 1 + z-curl(2)
16	29	64	digit		H
16	30	15	digit		M
16	31	16	digit		H
16	32	|	divider		H	true bold vertical divider
16	33	X?	X?		M	Ao-phi combined ligature; no confident atlas match
16	34	4	digit		M	"dense ink blot nearby, not transcribed as a token; last legible token before right edge of leaf; small cursive marginal annotation (""m"") visible, not transcribed; low confidence for this entire line"
17	1	104	digit	u	M
17	2	64	digit		H
17	3	S13	sign		M	plus/cross mark
17	4	916	digit		M	"digit run, boundary uncertain; small cursive marginal annotation resembling ""fait a"" visible nearby, not transcribed as a token"
17	5	X?	X?		M	"tall ascender (""V""-like); no confident atlas match"
17	6	14	digit		H
17	7	16	digit		H
17	8	12	digit		M	written as 1 + z-curl(2)
17	9	15	digit		M
17	10	S37	sign		M	crossed t joined to o
17	11	S13	sign		M	plus/cross mark
17	12	|	divider		H	true bold vertical divider
17	13	S21	sign		M	hooked ascender with tail
17	14	7	digit		M	"small cursive marginal annotation resembling ""fait"" visible nearby, not transcribed as a token"
17	15	S27	sign		M	tall doubled long-s with crossbar (ff)
17	16	62	digit		M	written as z-curl(2) + 6
17	17	104	digit		M
17	18	40	digit		M
17	19	9	digit		M
17	20	|	divider		H	true bold vertical divider
17	21	24	digit		M	written as z-curl(2) + 4
17	22	5	digit		M
17	23	|	divider		H	true bold vertical divider
17	24	X?	X?		M	"ligature resembling ""ffa""; no confident atlas match"
17	25	142	digit		M	digit run, boundary uncertain
17	26	102	digit		M	written as 1+0+z-curl(2)
17	27	X?	X?		M	ornate hash-like ligature; no confident atlas match
17	28	4	digit		M	"last legible token before right edge of leaf; small cursive marginal annotation (""m"") visible nearby, not transcribed; low confidence for this entire line"
18	1	167	digit	u	M	digit run, boundary uncertain
18	2	S37	sign		M	crossed t joined to o
18	3	X?	X?		M	small m-shape; no confident atlas match
18	4	12	digit		M	written as 1 + z-curl(2)
18	5	16	digit		H
18	6	S21	sign		M	hooked ascender with tail
18	7	9	digit		H
18	8	S21	sign		M	hooked ascender with tail
18	9	64	digit		H
18	10	S13	sign		M	plus/cross mark
18	11	S13	sign		M	"plus/cross mark; small cursive marginal annotation resembling ""guil..."" visible nearby, not transcribed as a token"
18	12	X?	X?		M	"looped ligature resembling ""ny""; no confident atlas match"
18	13	S29	sign		M	three minims (uu)
18	14	60	digit		H
18	15	60	digit		H
18	16	62	digit		M	written as z-curl(2) + 6
18	17	104	digit		M
18	18	S34	sign		H	Ao ligature
18	19	|	divider		H	true bold vertical divider
18	20	62	digit		M	written as z-curl(2) + 6
18	21	74	digit		M
18	22	48	digit		M
18	23	S21	sign		M	hooked ascender with tail
18	24	24	digit		M	written as z-curl(2) + 4
18	25	S37	sign		M	crossed t joined to o
18	26	12	digit		M	written as 1 + z-curl(2)
18	27	102	digit		M	written as 1+0+z-curl(2)
18	28	S37	sign		M	crossed t joined to o
18	29	9	digit		M
18	30	7	digit		M	"last legible token before right edge of leaf; small cursive marginal annotation (""tas"") visible, not transcribed; low confidence for this entire line"
19	1	S27	sign		M	tall doubled long-s with crossbar (ff)
19	2	14	digit	a	H
19	3	S37	sign		M	crossed t joined to o
19	4	62	digit		M	written as z-curl(2) + 6
19	5	15	digit		M
19	6	S38	sign		M	crossed t joined to c, with a tick
19	7	16	digit		H
19	8	S34	sign		H	Ao ligature
19	9	X?	X?	que	M	"looped ""Y""-ligature; no confident atlas match"
19	10	S21	sign		M	hooked ascender with tail
19	11	X?	X?		M	"ligature resembling ""ua""; no confident atlas match"
19	12	12	digit		M	written as 1 + z-curl(2)
19	13	60	digit		H
19	14	14	digit		H
19	15	S29	sign		M	three minims (uu)
19	16	28	digit		M
19	17	64	digit		H
19	18	S21	sign		M	hooked ascender with tail
19	19	26	digit		M	written as z-curl(2) + 6
19	20	744	digit		M	digit run, boundary uncertain
19	21	58	digit		M
19	22	15	digit		M
19	23	S37	sign		M	crossed t joined to o
19	24	126	digit		M	digit run, boundary uncertain
19	25	52	digit		M
19	26	9	digit		M
19	27	S21	sign		M	hooked ascender with tail
19	28	S37	sign		M	crossed t joined to o
19	29	16	digit		H
19	30	S13	sign		M	plus/cross mark
19	31	5	digit		H
19	32	X?	X?		M	small m-shape; no confident atlas match
19	33	26	digit		M	written as z-curl(2) + 6
19	34	60	digit		H
19	35	6	digit		H
19	36	S27	sign		M	tall doubled long-s with crossbar (ff)
19	37	16	digit		H	last token before right edge of leaf
20	1	S34	sign		H	Ao ligature
20	2	62	digit		M	written as z-curl(2) + 6
20	3	S21	sign		M	hooked ascender with tail
20	4	64	digit		M
20	5	X?	X?		M	small ligature; no confident atlas match
20	6	69	digit		M	digit run, boundary uncertain
