family	unit	selector	offset	direction	best_window_score	best_window	cover_run	cover_text
C book-wide words	sentence	first word	6	rev	0.428	astro where hastily all yes and	6448	
C book-wide words	sentence	first word	6	rev	0.428	de mout looked de one look	1402	
C book-wide words	sentence	first word	6	rev	0.426	then was that it as she	26	
C book-wide words	sentence	first word	6	rev	0.419	it i see what it but	3437	
C book-wide words	sentence	first word	6	rev	0.412	i and i have but that	3956	
C book-wide words	sentence	first word	6	rev	0.412	there's i see to it if	8245	
C book-wide words	sentence	first word	8	rev	0.371	but if then oh yes have you well	3153	
C book-wide words	sentence	first word	8	rev	0.307	oh i but you do how on every	8753	
C book-wide words	sentence	first word	8	rev	0.233	astro in it there there but with was	8675	
C book-wide words	sentence	first word	8	rev	0.222	he little in ten now but our it	3241	
C book-wide words	sentence	first word	8	rev	0.216	valeska in it it it and if he	6321	
C book-wide words	sentence	first word	8	rev	0.189	she was it what then she as could	75	
C book-wide words	sentence	first word	8	rev	0.175	here at from it as the in the	6173	
C book-wide words	sentence	first word	8	rev	0.163	he it as he could his could by	2355	
C book-wide words	sentence	first word	8	rev	0.163	but he did you oh then why i	7623	
C book-wide words	sentence	first word	8	rev	0.162	where the black could then was that it	22	
C book-wide words	sentence	first word	8	rev	0.148	her her for it so she of a	10	
C book-wide words	sentence	first word	8	rev	0.139	he he that with a as if you	6027	
C book-wide words	sentence	first word	8	rev	0.122	how about what i on where i no	2068	
C book-wide words	sentence	first word	8	rev	0.118	valeska do by think think in most and	8858	
C book-wide words	sentence	first word	8	rev	0.103	when the her when he at once at	6620	
C book-wide words	sentence	first word	12	rev	-0.026	i i do now the he little in ten now but our	3236	
C book-wide words	sentence	first word	12	rev	-0.041	he yes there but why of when i but now but i	9304	
C book-wide words	sentence	first word	12	rev	-0.068	certainly then all you it it the all through but he with	6070	
C book-wide words	sentence	first word	12	rev	-0.089	but now he i every in one it and well but some	4212	
C book-wide words	sentence	first word	12	rev	-0.090	she was it what then she as could could she it but	75	
C book-wide words	sentence	first word	12	rev	-0.091	if i i oh i but you do how on every it	8750	
C book-wide words	sentence	first word	12	rev	-0.112	you oh out what a you well it i before you i	3794	
C book-wide words	sentence	first word	12	rev	-0.147	so where the black could then was that it as she yet	21	
C book-wide words	sentence	first word	12	rev	-0.149	i and pity my that his as you use now you very	7362	
C book-wide words	sentence	first word	12	rev	-0.156	when i but the but i you you but of it you	5160	
C book-wide words	sentence	first word	12	rev	-0.167	i and i have but that it's and simple easily can of	3956	
C book-wide words	sentence	first word	12	rev	-0.173	he that well he you and just where well when and perhaps	2098	
C book-wide words	sentence	first word	12	rev	-0.207	that's how but when then he of that you then he he	4375	
C book-wide words	sentence	first word	12	rev	-0.210	valeska do do you i he will well he ah shall shall	209	
C book-wide words	sentence	first word	12	rev	-0.215	it there there but with was they let's then they have we	8677	
C book-wide words	sentence	last word	6	fwd	0.728	motive her husband her course that	9797	
C book-wide words	sentence	last word	6	fwd	0.697	amazement unlikely he who know i	6612	
C book-wide words	sentence	last word	6	fwd	0.682	do to me was it you	5895	
C book-wide words	sentence	last word	6	fwd	0.480	her how curious way imagine not	9528	
C book-wide words	sentence	last word	6	fwd	0.474	you was doing something street in	7747	
C book-wide words	sentence	last word	6	fwd	0.453	jove ha you that you it	4981	
C book-wide words	sentence	last word	6	fwd	0.396	wife fashion me that is it	6892	
C book-wide words	sentence	last word	6	fwd	0.388	none campaign least it would ever	10082	
C book-wide words	sentence	last word	6	fwd	0.337	prints asked that direction bad for	6974	
C book-wide words	sentence	last word	6	fwd	0.307	goodnaturedly that though should say go	9411	
C book-wide words	sentence	last word	6	fwd	0.288	package folio received this matter white	885	
C book-wide words	sentence	last word	6	fwd	0.237	dinner time ago there others like	6077	
C book-wide words	sentence	last word	6	fwd	0.205	eater hashish that to know now	5430	
C book-wide words	sentence	last word	6	fwd	0.195	astro basket laughed in him there	5810	
C book-wide words	sentence	last word	6	fwd	0.190	means it with so over yet	7962	
C book-wide words	sentence	last word	8	fwd	0.299	embarrassing you was doing something street in there	7746	
C book-wide words	sentence	last word	8	fwd	0.239	astro exclaimed do to me was it you	5893	
C book-wide words	sentence	last word	8	fwd	0.135	room still intently him frantically house there cried	278	
C book-wide words	sentence	last word	8	fwd	0.132	doubt test motive her husband her course that	9795	
C book-wide words	sentence	last word	8	fwd	0.125	glass really amazement unlikely he who know i	6610	
C book-wide words	sentence	last word	8	fwd	0.114	her how curious way imagine not suppose sensitive	9528	
C book-wide words	sentence	last word	8	fwd	0.101	solve you understand master on here had all	6804	
C book-wide words	sentence	last word	8	fwd	0.038	enter street none campaign least it would ever	10080	
C book-wide words	sentence	last word	8	fwd	0.025	astro lion you you rage you what you	4611	
C book-wide words	sentence	last word	8	fwd	-0.005	nobody soul there look could arrested day with	8402	
C book-wide words	sentence	last word	8	fwd	-0.006	heredity count prints asked that direction bad for	6972	
C book-wide words	sentence	last word	8	fwd	-0.025	fronts parlor wished news sir you everything in	4262	
C book-wide words	sentence	last word	8	fwd	-0.035	rapt reversed is also glance evident course get	2218	
C book-wide words	sentence	last word	8	fwd	-0.051	too it though fists rare though of her	6868	
C book-wide words	sentence	last word	8	fwd	-0.060	me something me that her clumsy it to	9148	
C book-wide words	sentence	last word	12	fwd	-0.161	embarrassing you was doing something street in there time now bedroom good	7746	
C book-wide words	sentence	last word	12	fwd	-0.166	dove upstairs face room still intently him frantically house there cried all	275	
C book-wide words	sentence	last word	12	fwd	-0.229	master on here had all millions away pectoris day i you not	6807	
C book-wide words	sentence	last word	12	fwd	-0.255	exclaimed do to me was it you him now it stared yes	5894	
C book-wide words	sentence	last word	12	fwd	-0.265	weren't way her how curious way imagine not suppose sensitive good distinguished	9526	
C book-wide words	sentence	last word	12	fwd	-0.288	basket pier company bulk enter street none campaign least it would ever	10076	
C book-wide words	sentence	last word	12	fwd	-0.292	doesn't go sun type too it though fists rare though of her	6864	
C book-wide words	sentence	last word	12	fwd	-0.338	really amazement unlikely he who know i either presents essays gloves sea	6611	
C book-wide words	sentence	last word	12	fwd	-0.353	trained are part anything should yet outright it think all right life	9385	
C book-wide words	sentence	last word	12	fwd	-0.375	blushing that are girl it i notes replied last it strange how	3808	
C book-wide words	sentence	last word	12	fwd	-0.381	astro eyes revolver not fall office to downstairs nobody soul there look	8394	
C book-wide words	sentence	last word	12	fwd	-0.407	asked haven't you alone will i document evidence it it have then	8016	
C book-wide words	sentence	last word	12	fwd	-0.413	conscience hopeless way live him said you not about on it you	7059	
C book-wide words	sentence	last word	12	fwd	-0.425	worry mistaken saw mysteriously then asked decidedly that there sure him i	2122	
C book-wide words	sentence	last word	12	fwd	-0.431	ah he name flynn that lives believe see somewhere him which it	8724	
C book-wide words	sentence	last word	6	rev	0.787	presents either i know who he	3566	
C book-wide words	sentence	last word	6	rev	0.734	know me has worked me so	327	
C book-wide words	sentence	last word	6	rev	0.719	job publicity on me that i	4914	
C book-wide words	sentence	last word	6	rev	0.615	automobile that in broadway it go	961	
C book-wide words	sentence	last word	6	rev	0.592	wager for this eyes are about	2758	
C book-wide words	sentence	last word	6	rev	0.556	specter times baby same thinking does	8708	
C book-wide words	sentence	last word	6	rev	0.530	you it was me to do	4285	
C book-wide words	sentence	last word	6	rev	0.471	jenson off in number her carriage	2859	
C book-wide words	sentence	last word	6	rev	0.444	suit muff seen him tell upon	7165	
C book-wide words	sentence	last word	6	rev	0.442	jewels of milk easily true things	3962	
C book-wide words	sentence	last word	6	rev	0.428	means me sight it is that	3285	
C book-wide words	sentence	last word	6	rev	0.422	it on about not you said	3116	
C book-wide words	sentence	last word	6	rev	0.360	handcuffs refuse me that it off	1675	
C book-wide words	sentence	last word	6	rev	0.349	moan afraid i god now fast	4664	
C book-wide words	sentence	last word	6	rev	0.342	over so with it means said	2219	
C book-wide words	sentence	last word	8	rev	0.374	honeymoon own know me has worked me so	325	
C book-wide words	sentence	last word	8	rev	0.367	baby same thinking does dear it out too	8710	
C book-wide words	sentence	last word	8	rev	0.308	victim considerably job publicity on me that i	4912	
C book-wide words	sentence	last word	8	rev	0.299	gloves essays presents either i know who he	3564	
C book-wide words	sentence	last word	8	rev	0.274	factory see from surveying scantling time yes it	9078	
C book-wide words	sentence	last word	8	rev	0.206	settled you it on about not you said	3114	
C book-wide words	sentence	last word	8	rev	0.107	fakers already means me sight it is that	3283	
C book-wide words	sentence	last word	8	rev	0.106	mean now here you water that before him	9818	
C book-wide words	sentence	last word	8	rev	0.099	tool yet over so with it means said	2217	
C book-wide words	sentence	last word	8	rev	0.053	now him you it was me to do	4283	
C book-wide words	sentence	last word	8	rev	0.037	automobile that in broadway it go thing sight	961	
C book-wide words	sentence	last word	8	rev	0.015	lashes gown you what you rage you you	5565	
C book-wide words	sentence	last word	8	rev	0.006	maverick not jove rats her little world for	3294	
C book-wide words	sentence	last word	8	rev	-0.006	wager for this eyes are about appointment situation	2758	
C book-wide words	sentence	last word	8	rev	-0.007	off in number her carriage eyes block three	2860	
C book-wide words	sentence	last word	12	rev	-0.143	himalayas lot you both fakers already means me sight it is that	3279	
C book-wide words	sentence	last word	12	rev	-0.155	see from surveying scantling time yes it girl bullet is it there	9079	
C book-wide words	sentence	last word	12	rev	-0.157	sincere name specter times baby same thinking does dear it out too	8706	
C book-wide words	sentence	last word	12	rev	-0.187	astro jealousy honeymoon own know me has worked me so see could	323	
C book-wide words	sentence	last word	12	rev	-0.193	hysterically it settled you it on about not you said him live	3112	
C book-wide words	sentence	last word	12	rev	-0.196	know to victim considerably job publicity on me that i side you	4910	
C book-wide words	sentence	last word	12	rev	-0.265	now here you water that before him gone it him up then	9819	
C book-wide words	sentence	last word	12	rev	-0.265	presents either i know who he unlikely amazement really glass fist what	3566	
C book-wide words	sentence	last word	12	rev	-0.294	not jove rats her little world for hope again worry though all	3295	
C book-wide words	sentence	last word	12	rev	-0.324	course her husband her motive test doubt surer know them right there	384	
C book-wide words	sentence	last word	12	rev	-0.325	it which him somewhere see believe lives that flynn name he ah	1450	
C book-wide words	sentence	last word	12	rev	-0.332	jenson off in number her carriage eyes block three end stopped again	2859	
C book-wide words	sentence	last word	12	rev	-0.338	know yes stared it now him you it was me to do	4279	
C book-wide words	sentence	last word	12	rev	-0.344	moan afraid i god now fast effects waited him hell it away	4664	
C book-wide words	sentence	last word	12	rev	-0.368	girl wager for this eyes are about appointment situation wanted name house	2757	
C book-wide words	paragraph	first word	6	fwd	0.975	love but it all at the	884	
C book-wide words	paragraph	first word	6	fwd	0.842	valeska mrs of her on a	1336	
C book-wide words	paragraph	first word	6	fwd	0.703	oh yes and of i was	1063	
C book-wide words	paragraph	first word	6	fwd	0.641	at we have they then they	523	
C book-wide words	paragraph	first word	6	fwd	0.635	ah yes it well i is	3274	
C book-wide words	paragraph	first word	6	fwd	0.616	astro read my having myself though	2181	
C book-wide words	paragraph	first word	6	fwd	0.600	the tell well but only the	2330	
C book-wide words	paragraph	first word	6	fwd	0.579	she did oh you not was	2922	
C book-wide words	paragraph	first word	6	fwd	0.568	cause morning the soul and am	794	
C book-wide words	paragraph	first word	6	fwd	0.559	wait but it but if but	555	
C book-wide words	paragraph	first word	6	fwd	0.547	but as black so of it	3498	
C book-wide words	paragraph	first word	6	fwd	0.533	no it why in the good	359	
C book-wide words	paragraph	first word	6	fwd	0.524	absolutely and one did i did	990	
C book-wide words	paragraph	first word	6	fwd	0.500	ah he will he do as	3469	
C book-wide words	paragraph	first word	6	fwd	0.487	that's from well and again that	153	
C book-wide words	paragraph	first word	8	fwd	0.722	we have they then they but there there	524	
C book-wide words	paragraph	first word	8	fwd	0.510	but it all at the and as it	885	
C book-wide words	paragraph	first word	8	fwd	0.454	why you she did oh you not was	2920	
C book-wide words	paragraph	first word	8	fwd	0.446	absolutely and one did i did one which	990	
C book-wide words	paragraph	first word	8	fwd	0.404	is undoubtedly but i it well now with	1360	
C book-wide words	paragraph	first word	8	fwd	0.346	sewed she no it why in the good	357	
C book-wide words	paragraph	first word	8	fwd	0.306	to still at the at what god in	1147	
C book-wide words	paragraph	first word	8	fwd	0.305	oh i on and on you yes i	18	
C book-wide words	paragraph	first word	8	fwd	0.289	for the then it it it oh no	1867	
C book-wide words	paragraph	first word	8	fwd	0.286	why my the tell well but only the	2328	
C book-wide words	paragraph	first word	8	fwd	0.286	astro have not well he going in here	1803	
C book-wide words	paragraph	first word	8	fwd	0.283	valeska's it then oh he well yes you	3220	
C book-wide words	paragraph	first word	8	fwd	0.267	valeska easily but have i and i rather	2087	
C book-wide words	paragraph	first word	8	fwd	0.222	why then still i something you what i	85	
C book-wide words	paragraph	first word	8	fwd	0.207	but she but as black so of it	3496	
C book-wide words	paragraph	first word	12	fwd	0.485	j at we have they then they but there there he there	522	
C book-wide words	paragraph	first word	12	fwd	0.253	then and it love but it all at the and as it	881	
C book-wide words	paragraph	first word	12	fwd	0.145	oh if but oh then i it i that he oh he	2380	
C book-wide words	paragraph	first word	12	fwd	0.099	astro a to still at the at what god in when what	1145	
C book-wide words	paragraph	first word	12	fwd	0.086	she no the or is undoubtedly but i it well now with	1356	
C book-wide words	paragraph	first word	12	fwd	0.062	he will he do as but do again after i that at	3470	
C book-wide words	paragraph	first word	12	fwd	0.013	it's he and it it in valeska mrs of her on a	1330	
C book-wide words	paragraph	first word	12	fwd	-0.014	that's where ten now i colonel besides that oh i for the	2352	
C book-wide words	paragraph	first word	12	fwd	-0.020	astro for the then it it it oh no under my oh	1866	
C book-wide words	paragraph	first word	12	fwd	-0.023	do not she quite when it the why and master well perhaps	3399	
C book-wide words	paragraph	first word	12	fwd	-0.046	astro have not well he going in here please good he he	1803	
C book-wide words	paragraph	first word	12	fwd	-0.069	valeska then at nobody what now oh search no see for mr	1643	
C book-wide words	paragraph	first word	12	fwd	-0.114	sewed she no it why in the good what as until the	357	
C book-wide words	paragraph	first word	12	fwd	-0.122	oh well why you she did oh you not was oh yes	2918	
C book-wide words	paragraph	first word	12	fwd	-0.131	mrs you that for if my oh oh she i really she	3436	
C book-wide words	paragraph	first word	6	rev	0.926	had last but what have no	3341	
C book-wide words	paragraph	first word	6	rev	0.846	but they then they have we	2979	
C book-wide words	paragraph	first word	6	rev	0.831	ah but if but it but	2947	
C book-wide words	paragraph	first word	6	rev	0.817	are not the young he certainly	2897	
C book-wide words	paragraph	first word	6	rev	0.808	when in god what at the	2353	
C book-wide words	paragraph	first word	6	rev	0.736	they're well after once as a	1293	
C book-wide words	paragraph	first word	6	rev	0.735	hardly keep in the at a	1602	
C book-wide words	paragraph	first word	6	rev	0.735	how about what on where no	707	
C book-wide words	paragraph	first word	6	rev	0.703	assuredly i have a there at	3493	
C book-wide words	paragraph	first word	6	rev	0.698	and rather i and i have	1413	
C book-wide words	paragraph	first word	6	rev	0.639	valeska in it it and he	2172	
C book-wide words	paragraph	first word	6	rev	0.637	astro and i but one his	3218	
C book-wide words	paragraph	first word	6	rev	0.589	what with it back there in	16	
C book-wide words	paragraph	first word	6	rev	0.576	eighteen all no go but it	467	
C book-wide words	paragraph	first word	6	rev	0.563	oh my if for that you	66	
C book-wide words	paragraph	first word	8	rev	0.772	there there but they then they have we	2977	
C book-wide words	paragraph	first word	8	rev	0.524	at that i after again do but as	27	
C book-wide words	paragraph	first word	8	rev	0.506	hardly keep in the at a well the	1602	
C book-wide words	paragraph	first word	8	rev	0.497	my are not the young he certainly the	2896	
C book-wide words	paragraph	first word	8	rev	0.490	for that you mrs who it then mr	69	
C book-wide words	paragraph	first word	8	rev	0.440	no what with it back there in saint	15	
C book-wide words	paragraph	first word	8	rev	0.419	valeska and and rather i and i have	1411	
C book-wide words	paragraph	first word	8	rev	0.396	astro only how about what on where no	705	
C book-wide words	paragraph	first word	8	rev	0.366	what when in god what at the at	2352	
C book-wide words	paragraph	first word	8	rev	0.344	i'll what you the two when he then	3385	
C book-wide words	paragraph	first word	8	rev	0.343	valeska now it i well oh i do	89	
C book-wide words	paragraph	first word	8	rev	0.335	oh how on but he think do and	3007	
C book-wide words	paragraph	first word	8	rev	0.309	oh you what he why did why did	3325	
C book-wide words	paragraph	first word	8	rev	0.302	that i it i then oh but if	1120	
C book-wide words	paragraph	first word	8	rev	0.268	at all it but love it and then	2620	
C book-wide words	paragraph	first word	12	rev	0.552	astro there he there there but they then they have we at	2974	
C book-wide words	paragraph	first word	12	rev	0.418	oh oh my if for that you mrs who it then mr	65	
C book-wide words	paragraph	first word	12	rev	0.358	then at that i after again do but as do he will	26	
C book-wide words	paragraph	first word	12	rev	0.229	but she as no what with it back there in saint she	12	
C book-wide words	paragraph	first word	12	rev	0.228	that i it i then oh but if oh yes have you	1120	
C book-wide words	paragraph	first word	12	rev	0.180	had last but what have no barrister an er that again and	3341	
C book-wide words	paragraph	first word	12	rev	0.155	what what when in god what at the at still to a	2351	
C book-wide words	paragraph	first word	12	rev	0.072	they're well after once as a thompson on the then he and	1293	
C book-wide words	paragraph	first word	12	rev	0.038	as and the at all it but love it and then and	2617	
C book-wide words	paragraph	first word	12	rev	0.016	but this the because my turn the now he poor yea thou	2667	
C book-wide words	paragraph	first word	12	rev	0.010	death and how the cries brothers from brigham there step up here	379	
C book-wide words	paragraph	first word	12	rev	0.002	what we how the for i oh that besides colonel i now	1142	
C book-wide words	paragraph	first word	12	rev	-0.030	astro of and why the no the only but well tell the	1167	
C book-wide words	paragraph	first word	12	rev	-0.044	there's then my to touch through the she and she well at	1201	
C book-wide words	paragraph	first word	12	rev	-0.049	come in very mrs which one did i did one and absolutely	2507	
C book-wide words	paragraph	last word	6	fwd	0.971	arm me was it all his	1168	
C book-wide words	paragraph	last word	6	fwd	0.768	you was doing something street in	2661	
C book-wide words	paragraph	last word	6	fwd	0.678	satisfaction more be it on me	3295	
C book-wide words	paragraph	last word	6	fwd	0.618	up you then here exclaimed all	261	
C book-wide words	paragraph	last word	6	fwd	0.597	myself a mask she circle she	1402	
C book-wide words	paragraph	last word	6	fwd	0.514	roof object way asked for something	377	
C book-wide words	paragraph	last word	6	fwd	0.395	said calm suddenly in question i	2930	
C book-wide words	paragraph	last word	6	fwd	0.372	standard perceived by far yesterday eye	2433	
C book-wide words	paragraph	last word	6	fwd	0.355	cool it me too it that	2536	
C book-wide words	paragraph	last word	6	fwd	0.324	name that lives him it sir	3061	
C book-wide words	paragraph	last word	6	fwd	0.306	barrister then do as hand said	144	
C book-wide words	paragraph	last word	6	fwd	0.272	bosh you that stranger acquaintance all	3332	
C book-wide words	paragraph	last word	6	fwd	0.247	asked too it it down said	1937	
C book-wide words	paragraph	last word	6	fwd	0.237	course yes carefully end will i	2709	
C book-wide words	paragraph	last word	6	fwd	0.209	yawned them then it myself word	2038	
C book-wide words	paragraph	last word	8	fwd	0.702	walk her arm me was it all his	1166	
C book-wide words	paragraph	last word	8	fwd	0.595	embarrassing you was doing something street in there	2660	
C book-wide words	paragraph	last word	8	fwd	0.418	slumbered but already so barrister then do as	140	
C book-wide words	paragraph	last word	8	fwd	0.407	suddenly in question i trouble see it here	2932	
C book-wide words	paragraph	last word	8	fwd	0.365	already i up you then here exclaimed all	259	
C book-wide words	paragraph	last word	8	fwd	0.254	sighed up myself a mask she circle she	1400	
C book-wide words	paragraph	last word	8	fwd	0.194	satisfaction more be it on me envelopes these	3295	
C book-wide words	paragraph	last word	8	fwd	0.193	casually course yes carefully end will i i	2708	
C book-wide words	paragraph	last word	8	fwd	0.180	utensils that asked too it it down said	1935	
C book-wide words	paragraph	last word	8	fwd	0.156	roof object way asked for something nowhere there	377	
C book-wide words	paragraph	last word	8	fwd	0.085	valeska advice cool it me too it that	2534	
C book-wide words	paragraph	last word	8	fwd	0.016	presume way asked death impression them of course	1492	
C book-wide words	paragraph	last word	8	fwd	-0.009	clue lesson standard perceived by far yesterday eye	2431	
C book-wide words	paragraph	last word	8	fwd	-0.027	then it myself word gorilla ago there like	2040	
C book-wide words	paragraph	last word	8	fwd	-0.039	yep night boy name that lives him it	3058	
C book-wide words	paragraph	last word	12	fwd	0.062	embarrassing you was doing something street in there time now bedroom hour	2660	
C book-wide words	paragraph	last word	12	fwd	-0.015	downstairs nobody soul there with gruffly said calm suddenly in question i	2924	
C book-wide words	paragraph	last word	12	fwd	-0.036	tomorrow walk her arm me was it all his grunt comment remarked	1165	
C book-wide words	paragraph	last word	12	fwd	-0.067	follows perhaps about i funny five strict understand beautiful but had it	2182	
C book-wide words	paragraph	last word	12	fwd	-0.102	roof object way asked for something nowhere there bullet it see is	377	
C book-wide words	paragraph	last word	12	fwd	-0.111	satisfaction more be it on me envelopes these them complimentary them come	3295	
C book-wide words	paragraph	last word	12	fwd	-0.143	poker that him him already i up you then here exclaimed all	255	
C book-wide words	paragraph	last word	12	fwd	-0.152	yawned them then it myself word gorilla ago there like ahead fact	2038	
C book-wide words	paragraph	last word	12	fwd	-0.193	slumbered but already so barrister then do as hand said smiled age	140	
C book-wide words	paragraph	last word	12	fwd	-0.253	follows s question news read file problem constable long grim plane country	1000	
C book-wide words	paragraph	last word	12	fwd	-0.255	her course nurse visitors course men that likely person disappearance him you	1424	
C book-wide words	paragraph	last word	12	fwd	-0.264	furs her that her clumsy it to engagement then her say comes	3186	
C book-wide words	paragraph	last word	12	fwd	-0.281	sighed up myself a mask she circle she others enthusiasm parted calmly	1400	
C book-wide words	paragraph	last word	12	fwd	-0.281	casually course yes carefully end will i i it pocket balance in	2708	
C book-wide words	paragraph	last word	12	fwd	-0.284	astro i carefully james dollars sought shining supper berries before finger and	655	
C book-wide words	paragraph	last word	6	rev	1.147	pocket it i i will end	791	
C book-wide words	paragraph	last word	6	rev	1.114	envelopes me on it be more	207	
C book-wide words	paragraph	last word	6	rev	0.807	here then you up i already	3244	
C book-wide words	paragraph	last word	6	rev	0.765	again i asked you her way	2901	
C book-wide words	paragraph	last word	6	rev	0.679	comment grunt his all it was	2333	
C book-wide words	paragraph	last word	6	rev	0.560	ones her seat it it to	2254	
C book-wide words	paragraph	last word	6	rev	0.349	officer right too in died of	1991	
C book-wide words	paragraph	last word	6	rev	0.346	insane that it too me it	966	
C book-wide words	paragraph	last word	6	rev	0.292	sincerely time mail it had but	1312	
C book-wide words	paragraph	last word	6	rev	0.290	seer course of them impression death	2008	
C book-wide words	paragraph	last word	6	rev	0.245	asked do you live story times	1116	
C book-wide words	paragraph	last word	6	rev	0.155	avenue valeska him how that it	1391	
C book-wide words	paragraph	last word	6	rev	0.143	laughter murder interrupted and finger before	2839	
C book-wide words	paragraph	last word	6	rev	0.128	it see trouble i question in	570	
C book-wide words	paragraph	last word	6	rev	0.118	circle she mask a myself up	2102	
C book-wide words	paragraph	last word	8	rev	0.737	it all exclaimed here then you up i	3241	
C book-wide words	paragraph	last word	8	rev	0.563	pocket it i i will end carefully yes	791	
C book-wide words	paragraph	last word	8	rev	0.494	envelopes me on it be more satisfaction see	207	
C book-wide words	paragraph	last word	8	rev	0.383	hamphurst again i asked you her way me	2900	
C book-wide words	paragraph	last word	8	rev	0.289	valeska suspicious ones her seat it it to	2252	
C book-wide words	paragraph	last word	8	rev	0.209	entrance here it see trouble i question in	568	
C book-wide words	paragraph	last word	8	rev	0.143	her three insane that it too me it	964	
C book-wide words	paragraph	last word	8	rev	0.130	offered remarked comment grunt his all it was	2331	
C book-wide words	paragraph	last word	8	rev	0.099	officer right too in died of officer inside	1991	
C book-wide words	paragraph	last word	8	rev	0.034	count left her away can money well i	1145	
C book-wide words	paragraph	last word	8	rev	-0.007	course of them impression death asked way presume	2009	
C book-wide words	paragraph	last word	8	rev	-0.167	avenue church do too anything on you you	469	
