row	codes
f30r_L35a	A2 ss2 r 2 9 rho 2 xr c q x J? ss2 9 III
f30r_L35b	BOX c lam ss2 J? 9 A2 h z3? m z eh xr lt r HASH fh ss2 Rt A2 lam
f30v_L01a	Mx A2 z D m ss2 z3? 9 5 J? lt HASH rho n
f30v_L01b	xr c D lam z h Rt r 9 fh ss2 2 z3? z3? eh BOX A2 m z3? lt
f30v_L02a	z3? Tb xr lam Mx 9 D 2 z3? 5 ss2 D BOX 2 m
f30v_L02b	5 h ss2 ss2 A2 z fh 9 5 c lam D z eh xr lt r fh 9 c z
f30v_L03a	c xr eh 9 D m 9 fh ss2 rho c lt J? 9 r 5 ss2
f30v_L03b	ss2 2 lt xr m 9 r h Tb Mx fh lam xr z3? 2 Mx ss2 2 xr c 9 2 n
f30v_L04a	ss2 z3? lam z3? D 2 xr h lt g 2 A2 Rt h
f30v_L04b	n 9 H Tb 2 xr fh 9 D BOX J? 2 xr h lt g 2 c fh 9 z BOX
f30v_L05a	c H lam g lt z3? g fh J? 9 A2 c xr BOX o xr
f30v_L05b	J? Mx h lt g 2 fh h BOX c z3? 9 m D 9 2 z3? g HASH eh c
f30v_L06a	v 9 r m 2 xr J? ss2 ss2 z3? v 9 h lt g c
f30v_L06b	lt z3? HASH J? A2 z D fh lt Mx 9 D 2 xr z3? 9 h lt g c
f30v_L07a	c r fh z3? 5 m 2 fh D lam eh fh h xr o
f30v_L07b	lam h xr 9 2 m v n 9 A2 fh xr 9 h c dl lam h
f30v_L08a	g lt h 2 fh lam h J? xr o Mx paren lam z3? D
f30v_L08b	c A2 lt g J? bb fh lam D fh 9 J? lam INF 9 2 m lt h eh xr
f30v_L09a	lam g Tb xr h c z h z3? Mx 9 TRI Mx c lam
f30v_L09b	ss2 z paren lt J? o A2 ss2 r m J? c h lt Mx fh lam z3? D 2
f30v_L10a	z h 9 A2 xr h 9 2 fh ss2 5 c lam J? z
f30v_L10b	m z3? lt D fh 9 c lam A2 xr eh 9 J? m ss2 lt h q xr D
f30v_L11a	z ss2 A2 xr D 2 lt h eh Mx fh lam z3? r
f30v_L11b	fh Tb Mx lam r m eh lt Mx 9 2 A2 z J? lt Mx 9 o xr
f30v_L12a	c z Mx q lam T xr fh 9 h D Tb g
f30v_L12b	INF Mx lam g c r J? 9 2 fh A2 2 r xr D z3? fh J? 9 2
f30v_L13a	fh lam xr D m ss2 r xr fh c ss2 2 fh xr m
f30v_L13b	h Mx z3? xr D 2 z3? ss2 v c 9 fh lam
f30v_L14a	Mx A2 lam D c ss2 v lt Mx 9 D fh A2 sq
f30v_L14b	dl xr h xr c 5 lt z3? D fh xr T 9 xr n 9
f30v_L15a	h lt d 2 ss2 g Mx lam A2 9 Mx BOX m
f30v_L15b	D lam J? xr 9 xr c 9 2 m lam 5 J? lam H D fh z r?
f30v_L16a	Rt h A2 dl z3? D 5 xr fh lam 9 J?
f30v_L16b	9 2 g lt n o D c lam A2 fh z3? m z r n lam
f30v_L17a	h lt g 2 m J? fh bb Mx z D fh 9 v A2
f30v_L17b	r m T v 9 lam g fh Mx 9 h dl z J? c A2 lam T 9
f30v_L18a	dl xr h 9 D fh lam d m Mx lt xr r 2
f30v_L18b	ss2 v 2 xr c lam Mx m v lam g c h lam bb 2 r xr D
f30v_L19a	z z o Mx 9 fh ss2 2 z3? m xr lam g
f30v_L19b	Mx c m J? 9 2 xr c 2 ss2 ss2 c bb fh 5 m J? r m J?
f30v_L20a	HASH c ss2 g D z3? 2 eh D lam H A2 z D
f30v_L20b	fh ss2 fh 9 2 A2 Tb xr J? 2 n o ss2 HASH
